SF	Freq	Lemma	Segmentation	Analysis
csúszda	11	csúszda	csúszda	N.NOM.SG
bogarat	35	bogár	bogár-at	N.SG-ACC
megtölteni	2	megtölt	megtölt-eni	V-NFIN
elővesszük	2	előves	előves-sz-ük	előves-IND.PRS.INDF.2.SG.asz-PSS3P
lelövök	3	lelő	lelő-ök	V-IND.PRS.INDF.1.SG
kockából	3	kocka	kocka-ból	N.SG-IN+ABL
rántottak	1	ránt	ránt-ottak	V-IND.PST.INDF.3.PL
próbálsz	2	próbál	próbál-sz	V-IND.PRS.INDF.2.SG.asz
könnyebb	2	könnyebb	könnyebb	ADJ.NOM.SG
elvegyem	1	elvegy	elvegy-em	elvegy-PSS1S
kislányt	2	kislány	kislány-t	kislány-ACC
építhetünk	1	építh	építh-e-tünk	építh-PSS3S-IND.PST.INDF.1.PL
csinald	1	csinal	csinal-d	csinal-PSS2S
vonatnak	3	vonat	vonat-nak	N.SG-DAT.SG
motorja	2	motor	motor-ja	N.NOM-PSS3S.SG
sátorban	4	sátor	sátor-ban	N.SG-IN+ESS
padló	9	padló	padló	N.NOM.SG
nadrág	17	nadrág	nadrág	N.NOM.SG
japán	2	japán	japán	N.NOM.SG
elmentünk	3	elment	elment-ünk	V-IND.PRS.INDF.1.PL
körte	12	körte	körte	N.NOM.SG
hívod	2	hí	hí-od	V-IND.PRS.DEF.2.SG
motoloknak	1	m	m-ot-ol-ok-nak	N.NOM-ACC-IND.PRS.INDF.2.SG.Ol-PL-DAT
hava	2	hava	hava	N.NOM.SG
magardra	1	magar	magar-d-ra	magar-PSS2S-ON+ALL
vettem	11	vesz	vesz-ttem	V-IND.PST.INDF.1.SG
megnézegessük	1	megnézegess	megnézegess-ük	megnézegess-PSS3P
szülinapot	4	szülinap	szülinap-ot	szülinap-ACC
ágyad	5	ágy	ágy-ad	N.NOM-PSS2S.SG
pingvinek	6	pingvin	pingvin-ek	N.NOM-PL
kakát	4	kaka	kaka-t	N.SG-ACC
rajzoljak	12	rajzol	rajzol-jak	V-SBJV.PRS.INDF.1.SG
városi	1	városi	városi	N.NOM.SG
lakott	2	lakik	lak-ott	V-IND.PST.INDF.3.SG
kérdezte	2	kérdez	kérdez-te	V-IND.PST.DEF.3.SG
nyuszival	2	nyuszi	nyuszi-val	N.SG-INST
engedjetek	1	enged	enged-jetek	V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.PL
beszélgetnek	3	beszélget	beszélget-nek	V-IND.PRS.INDF.3.PL
néztünk	1	néz	néz-tünk	V-IND.PST.INDF.1.PL
váza	1	váz	váz-a	N.NOM-PSS3S.SG
kapcsolva	12	kapcsol	kapcsol-va	V-V.CVB
motola	1	m	m-ot-ol-a	N.NOM-ACC-IND.PRS.INDF.2.SG.Ol-PSS3S
orrú	1	orrú	orrú	ADJ.NOM.SG
zsebkendöt	2	zseb	zseb-k-en-d-öt	N.NOM-PL-ON+ESS-PSS2S-ACC
utca	11	utca	utca	N.NOM.SG
kiscicák	2	kiscicá	kiscicá-k	kiscicá-PL
fektesd	2	fektet	fektet-d	V-SBJV.PRS.DEF.2.SG
doboz	19	doboz	doboz	N.NOM.SG
szemétbe	8	szemét	szemét-be	N.SG-IN+ALL
mmmmmmmm	1	m	m-m-m-m-m-m-m-m	N.NOM-PSS1S-PSS1S-PSS1S-PSS1S-PSS1S-PSS1S-PSS1S
félni	11	fél	fél-ni	V-NFIN
pelenkába	5	pelenka	pelenka-ba	N.SG-IN+ALL
épitettem	2	ép	ép-i-t-ettem	ADJ.NOM.SG-PSS3S.PL-ACC-IND.PST.DEF.1.SG
takaritó	1	takar	takar-i-t-ó	V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-V.PTCP.PRS
leánykám	2	leányká	leányká-m	leányká-PSS1S
lekvárral	1	lekvár	lekvár-val	N.SG-INST
golyókat	1	golyó	golyó-k-at	N.NOM-PL-ACC
körmömet	1	kör	kör-m-öm-et	N.NOM-PSS1S-IND.PRS.DEF.1.SG-ACC
pizsama	3	pizsama	pizsama	N.NOM.SG
belle	22	bell	bell-e	bell-PSS3S
gyerekekről	1	gyer	gyer-ek-ek-ről	gyer-PL-PL-ON+ABL
leteszem	4	letesz	letesz-em	V-IND.PRS.DEF.1.SG
nagyfej	1	nagyf	nagyf-e-j	nagyf-PSS3S-SBJV.PRS.INDF.2.SG
csoportnál	2	csoport	csoport-nál	N.SG-AT+ESS
jón	1	jó	jó-n	N.SG-ON+ESS
esve	1	esik	es-ve	V-V.CVB
tányérját	1	tányérjá	tányérjá-t	tányérjá-ACC
lusta	3	lusta	lusta	ADJ.NOM.SG
maugli	10	maugl	maugl-i	maugl-PSS3S.PL
megcsináltad	5	megcsinál	megcsinál-tad	V-IND.PST.DEF.2.SG
ráteszed	3	rátesz	rátesz-ed	V-IND.PRS.DEF.2.SG
gyötri	1	gyötör	gyötr-i	V-IND.PRS.DEF.3.SG.i
gránátalmát	1	gránátalma	gránátalma-t	N.SG-ACC
csinálhatunk	2	csinálh	csinálh-a-tunk	csinálh-PSS3S-IND.PST.INDF.1.PL
lesznek	1	lesz	lesz-nek	V-IND.PRS.INDF.3.PL
mesélsz	2	mesél	mesél-sz	mesél-IND.PRS.INDF.2.SG.asz
kakilni	6	kakil	kakil-ni	kakil-NFIN
törüljünk	1	tör	tör-ül-jünk	V.IND.PRS.INDF.3.SG-BYWAY-SBJV.PRS.INDF.1.PL
fölmentem	3	föl	föl-m-en-tem	N.NOM-PSS1S-ON+ESS-IND.PST.DEF.1.SG
mászok	5	mászik	mász-ok	V-IND.PRS.INDF.1.SG
fája	7	fa	fa-ja	N.NOM-PSS3S.SG
felültek	1	felül	felül-tek	V-IND.PST.INDF.3.PL
belenyúlni	1	belenyúl	belenyúl-ni	belenyúl-NFIN
legnehezebb	2	leg	leg-ne-hez-ebb	N.NOM-COND.PRS.INDF.3.SG-AT+ALL-CMPR
elveszett	3	elvész	elvész-ett	V-IND.PST.INDF.3.SG
állnak	6	áll	áll-nak	N.SG-DAT.SG
festékbe	1	fest	fest-é-k-be	V.IND.PRS.INDF.3.SG-PSS4S-PL-IN+ALL
hölgynél	1	hölgy	hölgy-nél	N.SG-AT+ESS
kötlek	2	köt	köt-lek	V-IND.PRS.LGSPEC1.1.SG
vinni	11	visz	visz-nni	V-NFIN
királya	3	király	király-a	N.NOM-PSS3S.SG
zoknid	1	zokni	zokni-d	N.NOM-PSS2S.SG
fázzon	4	fázik	fáz-jon	V-SBJV.PRS.INDF.3.SG
pihen	9	pihen	pihen	V.IND.PRS.INDF.3.SG
elrontottál	2	elront	elront-ottál	V-IND.PST.INDF.2.SG
viselkedtél	1	viselkedik	viselked-tél	V-IND.PST.INDF.2.SG
mentolost	1	mentolos	mentolos-t	mentolos-ACC
jelenti	1	jelent	jelent-i	V-IND.PRS.DEF.3.SG.i
kihúzom	2	kihúz	kihúz-om	V-IND.PRS.DEF.1.SG
kérem	639	kér	kér-em	V-IND.PRS.DEF.1.SG
felvételt	43	felvétel	felvétel-t	N.SG-ACC
eldőltél	2	eldől	eldől-tél	V-IND.PST.INDF.2.SG
táskádban	1	táská	táská-d-ban	táská-PSS2S-IN+ESS
kacsának	2	kacs	kacs-a-nak	N.SG-PSS3S-DAT.SG
balacska	1	balacs	balacs-k-a	balacs-PL-PSS3S
zolira	1	zoli	zoli-ra	N.SG-ON+ALL
visszaakasztjuk	1	vissza	vissza-ak-asz-t-juk	N.NOM-PL-IND.PRS.INDF.2.SG.asz-ACC-PSS3P
kapcsold	20	kapcsol	kapcsol-d	V-SBJV.PRS.DEF.2.SG
zúg	3	zúg	zúg	V.IND.PRS.INDF.3.SG
csúszdára	1	csúszda	csúszda-ra	N.SG-ON+ALL
zsebét	1	zseb	zseb-é-t	N.NOM-PSS4S-ACC
ágyikó	16	ágy	ágy-ik-ó	N.NOM-PSS3P.PL-V.PTCP.PRS
zsebkendő	3	zsebkendő	zsebkendő	N.NOM.SG
köszönsz	4	köszön	köszön-sz	V-IND.PRS.INDF.2.SG.asz
feladom	3	felad	felad-om	V-IND.PRS.DEF.1.SG
büdös	18	büdös	büdös	ADJ.NOM.SG
harmadikba	1	harmadik	harmadik-ba	N.SG-IN+ALL
várban	2	vár	vár-ban	N.SG-IN+ESS
fölhozzuk	1	fölhozz	fölhozz-uk	fölhozz-PSS3P
tevét	1	teve	teve-t	N.SG-ACC
jártál	6	jár	jár-tál	V-IND.PST.INDF.2.SG
meggyógyítottam	1	meggyógyít	meggyógyít-ottam	V-IND.PST.INDF.1.SG
levetted	6	levesz	levesz-tted	V-IND.PST.DEF.2.SG
felülök	2	felül	felül-ök	V-IND.PRS.INDF.1.SG
vicces	2	vicces	vicces	ADJ.NOM.SG
ágyát	5	ágy	ágy-a-t	N.SG-PSS3S-ACC
ágyból	6	ágy	ágy-ból	N.SG-IN+ABL
ritával	1	rita	rita-val	N.SG-INST
mikice	1	mikic	mikic-e	mikic-PSS3S
löktyek	1	lökty	lökty-ek	lökty-PL
harminc	3	harminc	harminc	N.NOM.SG
hála	2	hála	hála	N.NOM.SG
megvígasztalod	1	megvígasztal	megvígasztal-od	megvígasztal-PSS2S
viktor	32	viktor	viktor	N.NOM.SG
pigi	2	p	p-ig-i	N.NOM-TERM-PSS3S.PL
fenekedben	3	fene	fene-k-ed-ben	N.NOM-PL-PSS2S-IN+ESS
voltatok	10	volta	volta-tok	N.NOM-PSS2P
hátadra	1	háta	háta-d-ra	N.SG-PSS2S-ON+ALL
helybe	1	hely	hely-be	N.SG-IN+ALL
megcsinál	1	megcsinál	megcsinál	V.IND.PRS.INDF.3.SG
megjöttünk	3	meg	meg-j-öttünk	meg-SBJV.PRS.INDF.2.SG-IND.PST.INDF.1.PL
játékod	2	játék	játék-od	N.NOM-PSS2S.SG
farkas	114	farkas	farkas	N.NOM.SG
lábbal	1	láb	láb-val	N.SG-INST
ülnek	16	ül	ül-nek	V-IND.PRS.INDF.3.PL
előbújtak	1	előbú	előbú-j-tak	előbú-SBJV.PRS.INDF.2.SG-IND.PST.INDF.3.PL
agyonnyomod	1	agyonny	agyonny-om-od	agyonny-PSS1S-PSS2S
szék	124	szék	szék	N.NOM.SG
gyönyőrűen	1	gyönyőrű	gyönyőrű-en	gyönyőrű-ON+ESS
kékkel	2	kék	kék-vel	N.SG-INST
szájad	1	száj	száj-ad	N.NOM-PSS2S.SG
viselkedni	2	viselkedik	viselked-ni	V-NFIN
betegedni	1	betegszik	betegsz-ni	V-NFIN
krokodilgyermek	1	krokodilgyer	krokodilgyer-m-ek	krokodilgyer-PSS1S-PL
könyvnek	1	könyv	könyv-nek	N.SG-DAT.SG
dezodor	1	dezodor	dezodor	N.NOM.SG
elbújok	30	elbújik	elbúj-ok	V-IND.PRS.INDF.1.SG
emeletre	3	emel	emel-et-re	V.IND.PRS.INDF.3.SG-ACC-ON+ALL
újság	12	újság	újság	N.NOM.SG
puskázol	1	puskáz	puskáz-ol	puskáz-IND.PRS.INDF.2.SG.Ol
alváshoz	1	alvás	alvás-hoz	N.SG-AT+ALL
tegyek	11	tesz	tesz-jek	V-SBJV.PRS.INDF.1.SG
indult	3	indul	indul-t	V-IND.PST.INDF.3.SG
vágni	1	vág	vág-ni	V-NFIN
megharapna	1	megharap	megharap-na	megharap-COND.PRS.INDF.3.SG
tizenegy	6	tizenegy	tizenegy	N.NOM.SG
anyuciról	1	anyuc	anyuc-i-ról	anyuc-PSS3S.PL-ON+ABL
kerítés	2	kerítés	kerítés	N.NOM.SG
anyucim	1	anyuc	anyuc-im	anyuc-PSS1S.PL
durván	1	durva	durva-n	ADJ.SG-ON+ESS
halottád	1	halottá	halottá-d	halottá-PSS2S
legtöbbet	1	legtöbb	legtöbb-et	ADJ.SG-ACC
tíz	13	tíz	tíz	N.NOM.SG
pizzát	2	pizza	pizza-t	N.SG-ACC
bélust	2	bélus	bélus-t	bélus-ACC
világit	3	világi	világi-t	ADJ.SG-ACC
helyére	11	hely	hely-é-re	N.NOM-PSS4S-ON+ALL
fogaival	1	foga	foga-i-val	N.SG-PSS3S.PL-INST
paula	3	p	p-a-ul-a	N.NOM-PSS3S-BYWAY-PSS3S
fodrászüzletet	1	fodrászüzlet	fodrászüzlet-et	N.SG-ACC
kémenyt	1	kémeny	kémeny-t	kémeny-ACC
gagyogni	1	gagyog	gagyog-ni	gagyog-NFIN
hóba	2	hó	hó-ba	N.SG-IN+ALL
hozzunk	2	hoz	hoz-junk	V-SBJV.PRS.INDF.1.PL
pipámat	1	pipá	pipá-m-at	pipá-PSS1S-ACC
dobott	4	dob	dob-ott	V-IND.PST.INDF.3.SG
nagyuon	1	nagyu	nagyu-on	nagyu-ON+ESS
kamera	6	kamera	kamera	N.NOM.SG
mozdony	23	mozdony	mozdony	N.NOM.SG
kicsimikikém	1	kicsi	kicsi-m-ik-ik-é-m	ADJ.SG-PSS1S-PSS3P.PL-PSS3P.PL-PSS4S-PSS1S
emeletes	10	emeletes	emeletes	ADJ.NOM.SG
tortán	2	torta	torta-n	N.SG-ON+ESS
bölcsibe	2	bölcs	bölcs-i-be	ADJ.NOM.SG-PSS3S.PL-IN+ALL
lenyomta	1	leny	leny-om-ta	leny-PSS1S-IND.PST.DEF.3.SG
motorral	8	motor	motor-val	N.SG-INST
egyenesen	2	egyenes	egyenes-en	N.SG-ON+ESS
kacsát	12	kacs	kacs-a-t	N.SG-PSS3S-ACC
dugom	2	dug	dug-om	V-IND.PRS.DEF.1.SG
rakták	1	rak	rak-ták	V-IND.PST.DEF.3.PL
elérte	1	elér	elér-te	V-IND.PST.DEF.3.SG
legény	1	legény	legény	N.NOM.SG
rendre	1	rend	rend-re	N.SG-ON+ALL
fölvettem	1	fölv	fölv-ettem	fölv-IND.PST.DEF.1.SG
sütemény	11	sütemény	sütemény	N.NOM.SG
fújom	1	fúj	fúj-om	V-IND.PRS.DEF.1.SG
rádió	36	rádió	rádió	N.NOM.SG
hasadat	3	has	has-ad-at	N.SG-PSS2S-ACC
tésztát	5	tészta	tészta-t	N.SG-ACC
húsz	6	húsz	húsz	N.NOM.SG
porszívózni	1	porszívóz	porszívóz-ni	porszívóz-NFIN
gyöngyök	1	gyöngy	gyöngy-ök	N.NOM-PL
például	22	példa	példa-ul	N.SG-BYWAY
lész	1	lé	lé-sz	N.NOM-IND.PRS.INDF.2.SG.asz
kékem	1	kék	kék-em	N.NOM-PSS1S.SG
hálózsákban	1	hálózsák	hálózsák-ban	N.SG-IN+ESS
berci	3	berci	berci	N.NOM.SG
választanunk	1	választ	választ-anunk	V-NFIN.1.PL
miből	1	m	m-i-ből	N.NOM-PSS3S.PL-IN+ABL
szivacsra	4	szivacs	szivacs-ra	N.SG-ON+ALL
leszem	1	lesz	lesz-em	V.IND.PRS.INDF.3.SG-PSS1S
eset	1	eset	eset	N.NOM.SG
húzza	2	húz	húz-ja	V-IND.PRS.DEF.3.SG
macika	11	maci	maci-k-a	N.NOM-PL-PSS3S
világosbarna	1	világosbar	világosbar-na	világosbar-COND.PRS.INDF.3.SG
járdát	1	járda	járda-t	N.SG-ACC
ládán	1	láda	láda-n	N.SG-ON+ESS
fogkefe	3	fogkefe	fogkefe	N.NOM.SG
kapcsolgatni	1	kapcsolg	kapcsolg-at-ni	kapcsolg-ACC-NFIN
téged	62	tég	tég-ed	tég-PSS2S
konyhában	5	konyha	konyha-ban	N.SG-IN+ESS
tüsszentett	1	tüsszent	tüsszent-ett	V-IND.PST.INDF.3.SG
ad	61	ad	ad	V.IND.PRS.INDF.3.SG
vágod	1	vág	vág-od	V-IND.PRS.DEF.2.SG
fölkeljen	1	föl	föl-k-el-jen	N.NOM-PL-IND.PRS.INDF.2.SG.Ol-SBJV.PRS.INDF.3.SG
találtam	12	talál	talál-tam	V-IND.PST.INDF.1.SG
hosszan	1	hossz	hossz-a-n	N.NOM-PSS3S-ON+ESS
levelecskét	1	levelecs	levelecs-k-é-t	levelecs-PL-PSS4S-ACC
nyaka	16	nyak	nyak-a	N.NOM-PSS3S.SG
jössz	89	jön	jön-sz	V-IND.PRS.INDF.2.SG.asz
szoltál	2	szol	szol-tál	N.NOM-IND.PST.INDF.2.SG
szeretgeted	1	szeretg	szeretg-e-ted	szeretg-PSS3S-IND.PST.DEF.2.SG
rókácskám	1	rókácská	rókácská-m	rókácská-PSS1S
dönti	1	dönt	dönt-i	V-IND.PRS.DEF.3.SG.i
öltözve	1	öltözik	öltöz-ve	V-V.CVB
felálltál	2	feláll	feláll-tál	V-IND.PST.INDF.2.SG
bántja	1	bánt	bánt-ja	V-IND.PRS.DEF.3.SG
szagoljam	1	szagol	szagol-jam	V-SBJV.PRS.DEF.1.SG
sírtam	7	sír	sír-tam	V-IND.PST.INDF.1.SG
hölgyet	1	hölgy	hölgy-et	N.SG-ACC
lökni	2	lök	lök-ni	V-NFIN
izgatottan	1	izgatott	izgatott-a-n	ADJ.SG-PSS3S-ON+ESS
karikát	2	karika	karika-t	N.SG-ACC
lepke	4	lepke	lepke	N.NOM.SG
farkasnak	2	farkas	farkas-nak	N.SG-DAT.SG
bántotta	1	bánt	bánt-otta	V-IND.PST.DEF.3.SG
kupacban	1	kupac	kupac-ban	N.SG-IN+ESS
vonatosdit	1	vonatos	vonatos-d-i-t	vonatos-PSS2S-PSS3S.PL-ACC
sétál	11	sétál	sétál	V.IND.PRS.INDF.3.SG
mamuci	1	mamuc	mamuc-i	mamuc-PSS3S.PL
eperlét	1	eperl	eperl-é-t	eperl-PSS4S-ACC
kötényedben	2	kötény	kötény-ed-ben	N.NOM-PSS2S-IN+ESS
kiabálta	2	kiabál	kiabál-ta	V-IND.PST.DEF.3.SG
ebédelni	31	ebédel	ebédel-ni	V-NFIN
alapbaba	1	alap	alap-ba-ba	N.NOM-IN+ALL-IN+ALL
vonaton	11	vonat	vonat-on	N.SG-ON+ESS
úszott	1	úszik	úsz-ott	V-IND.PST.INDF.3.SG
szalad	7	szalad	szalad	V.IND.PRS.INDF.3.SG
fürödhet	1	fürdik	füröd-het	V-POT
papírhoz	1	papír	papír-hoz	N.SG-AT+ALL
piac	3	piac	piac	N.NOM.SG
neve	8	név	név-e	N.NOM-PSS3S.SG
zolitól	4	zoli	zoli-tól	N.SG-AT+ABL
pohárban	2	pohár	pohár-ban	N.SG-IN+ESS
kistestvére	2	kistes	kistes-t-vé-re	kistes-ACC-TRANS-ON+ALL
régi	9	régi	régi	N.NOM.SG
párnád	2	párna	párna-d	N.NOM-PSS2S.SG
vigyázunk	1	vigyáz	vigyáz-unk	V-IND.PRS.INDF.1.PL
pénztárgépet	1	pénztárgép	pénztárgép-et	N.SG-ACC
mert	782	mer	mer-t	V-IND.PST.INDF.3.SG
apácák	1	apáca	apáca-k	N.NOM-PL
pirinyó	2	piriny	piriny-ó	piriny-V.PTCP.PRS
komoly	3	komoly	komoly	ADJ.NOM.SG
rózsam	1	rózsa	rózsa-m	N.NOM-PSS1S
kivirít	2	kivirí	kivirí-t	kivirí-ACC
megszerelem	1	megszer	megszer-el-em	megszer-IND.PRS.INDF.2.SG.Ol-PSS1S
rakják	1	rak	rak-ják	V-IND.PRS.DEF.3.PL
teríteni	1	terít	terít-eni	V-NFIN
gőz	2	gőz	gőz	N.NOM.SG
meglátod	5	meglát	meglát-od	V-IND.PRS.DEF.2.SG
udvar	2	udvar	udvar	N.NOM.SG
megütöttem	3	megüt	megüt-öttem	V-IND.PST.INDF.1.SG
szemedet	1	szeme	szeme-d-et	N.SG-PSS2S-ACC
anyu	546	anyu	anyu	N.NOM.SG
ennyi	13	enny	enny-i	N.NOM-PSS3S.PL
konyhát	2	konyha	konyha-t	N.SG-ACC
beletesszük	9	beletes	beletes-sz-ük	beletes-IND.PRS.INDF.2.SG.asz-PSS3P
nyögsz	2	nyög	nyög-sz	V-IND.PRS.INDF.2.SG.asz
köszönbm	1	köszönb	köszönb-m	köszönb-PSS1S
tejes	2	tejes	tejes	ADJ.NOM.SG
hógolyóval	1	hógolyó	hógolyó-val	N.SG-INST
nagyra	6	nagy	nagy-ra	N.SG-ON+ALL
vezetni	4	vezet	vezet-ni	V-NFIN
lemossa	2	lemos	lemos-ja	V-IND.PRS.DEF.3.SG
alma	54	alom	alom-a	N.NOM-PSS3S.SG
modern	2	modern	modern	ADJ.NOM.SG
évika	2	év	év-ik-a	N.NOM-PSS3P.PL-PSS3S
egyikbe	1	egy	egy-ik-be	N.NOM-PSS3P.PL-IN+ALL
mátrába	1	mátrá	mátrá-ba	mátrá-IN+ALL
keményrekerekre	1	keményreker	keményreker-ek-re	keményreker-PL-ON+ALL
busznak	1	busz	busz-nak	N.SG-DAT.SG
fölboritott	1	fölbor	fölbor-i-t-ott	fölbor-PSS3S.PL-ACC-V.PTCP.PST
halacskának	1	halacská	halacská-nak	halacská-DAT
asszonykám	7	asszonyká	asszonyká-m	asszonyká-PSS1S
ismered	11	ismer	ismer-ed	V-IND.PRS.DEF.2.SG
lehet	395	lesz	lesz-het	V-POT
vigyázna	1	vigyáz	vigyáz-na	V-COND.PRS.INDF.3.SG
fodrászolsz	1	fodrász	fodrász-ol-sz	N.NOM-IND.PRS.INDF.2.SG.Ol-IND.PRS.INDF.2.SG.asz
csikók	2	csikó	csikó-k	N.NOM-PL
helyükre	1	hely	hely-ük-re	N.NOM-PSS3P-ON+ALL
külsőt	1	külső	külső-t	N.SG-ACC
máriám	1	máriá	máriá-m	máriá-PSS1S
pihannek	1	pih	pih-a-n-nek	pih-PSS3S-ON+ESS-DAT
felvételnek	6	felvétel	felvétel-nek	N.SG-DAT.SG
engedékeny	1	engedékeny	engedékeny	ADJ.NOM.SG
kedvencem	1	kedvenc	kedvenc-em	N.NOM-PSS1S.SG
nézzünk	24	néz	néz-jünk	V-SBJV.PRS.INDF.1.PL
vár	24	vár	vár	N.NOM.SG
zsömlét	8	zsömle	zsömle-t	N.SG-ACC
kocsmába	1	kocsma	kocsma-ba	N.SG-IN+ALL
bánatát	1	bánatá	bánatá-t	bánatá-ACC
okosakat	1	okos	okos-ak-at	ADJ.NOM.SG-PL-ACC
rontottad	4	ront	ront-ottad	V-IND.PST.DEF.2.SG
leülünk	2	leül	leül-ünk	V-IND.PRS.INDF.1.PL
miben	6	m	m-i-ben	N.NOM-PSS3S.PL-IN+ESS
