SF	Freq	Lemma	Segmentation	Analysis
szúr	16	szúr	szúr	V.IND.PRS.INDF.3.SG
mutat	3	mutat	mutat	V.IND.PRS.INDF.3.SG
veszítettük	1	veszít	veszít-ettük	V-IND.PST.DEF.1.PL
szedjetek	1	szed	szed-jetek	V-SBJV.PRS.INDF.2.PL
bevenni	4	bevesz	bevesz-nni	V-NFIN
megkapja	2	megkap	megkap-ja	V-IND.PRS.DEF.3.SG
fülem	2	fül	fül-em	N.NOM-PSS1S.SG
szoros	1	szoros	szoros	N.NOM.SG
kockán	2	kocka	kocka-n	N.SG-ON+ESS
mondott	15	mond	mond-ott	V-IND.PST.INDF.3.SG
hajót	37	hajó	hajó-t	N.SG-ACC
nyaklánc	8	nyaklánc	nyaklánc	N.NOM.SG
csizmája	1	csizma	csizma-ja	N.NOM-PSS3S.SG
pohár	26	pohár	pohár	N.NOM.SG
kimenni	22	kimegy	kimegy-nni	V-NFIN
játszotok	4	játszik	játsz-otok	V-IND.PRS.INDF.2.PL
csíp	9	csíp	csíp	V.IND.PRS.INDF.3.SG
pipák	4	pipa	pipa-k	N.NOM-PL
diákjaim	1	diák	diák-jaim	N.NOM-PSS1S.PL
őszi	3	őszi	őszi	ADJ.NOM.SG
születésnapot	2	születésnap	születésnap-ot	N.SG-ACC
beszélgetnénk	1	beszélget	beszélget-nénk	V-COND.PRS.INDF.1.PL
tésztát	5	tészta	tészta-t	N.SG-ACC
mozgó	2	mozgó	mozgó	ADJ.NOM.SG
végállomásnál	1	végállomás	végállomás-nál	N.SG-AT+ESS
gyárba	2	gyár	gyár-ba	N.SG-IN+ALL
bezárni	5	bezár	bezár-ni	V-NFIN
város	5	város	város	N.NOM.SG
újság	12	újság	újság	N.NOM.SG
meghaltam	6	meghal	meghal-tam	V-IND.PST.INDF.1.SG
kapaszkodj	4	kapaszkodik	kapaszkod-j	V-SBJV.PRS.INDF.2.SG
aludtam	10	alszik	alud-tam	V-IND.PST.INDF.1.SG
busz	13	busz	busz	N.NOM.SG
ennivalót	17	ennivaló	ennivaló-t	N.SG-ACC
szólt	3	szól	szól-t	V-IND.PST.INDF.3.SG
piros	144	piros	piros	N.NOM.SG
kevés	12	kevés	kevés	ADJ.NOM.SG
vicces	2	vicces	vicces	ADJ.NOM.SG
kivesz	8	kivesz	kivesz	V.IND.PRS.INDF.3.SG
kenőcsből	1	kenőcs	kenőcs-ből	N.SG-IN+ABL
gúnár	1	gúnár	gúnár	N.NOM.SG
asztalt	26	asztal	asztal-t	N.SG-ACC
macskát	3	macska	macska-t	N.SG-ACC
menni	167	megy	megy-nni	V-NFIN
vinni	11	visz	visz-nni	V-NFIN
meggyógyítja	4	meggyógyít	meggyógyít-ja	V-IND.PRS.DEF.3.SG
krémet	1	krém	krém-et	N.SG-ACC
felszívja	1	felszív	felszív-ja	V-IND.PRS.DEF.3.SG
fürdőkádba	2	fürdőkád	fürdőkád-ba	N.SG-IN+ALL
engedelmes	1	engedelmes	engedelmes	ADJ.NOM.SG
úton	2	út	út-on	N.SG-ON+ESS
legyünk	3	legyünk	legyünk	N.NOM.SG
vinnünk	1	visz	visz-nünk	V-NFIN.1.PL
kivisz	1	kivisz	kivisz	V.IND.PRS.INDF.3.SG
szélt	1	szél	szél-t	N.SG-ACC
törjétek	1	tör	tör-jétek	V-SBJV.PRS.DEF.2.PL
üzletbe	1	üzlet	üzlet-be	N.SG-IN+ALL
ellopta	2	ellop	ellop-ta	V-IND.PST.DEF.3.SG
róka	288	róka	róka	N.NOM.SG
almából	1	alom	alom-a-ból	N.SG-PSS3S-IN+ABL
tányért	16	tányér	tányér-t	N.SG-ACC
mutassuk	1	mutat	mutat-juk	V-SBJV.PRS.DEF.1.PL
falát	1	fal	fal-a-t	N.SG-PSS3S-ACC
falra	1	fal	fal-ra	N.SG-ON+ALL
leült	2	leül	leül-t	V-IND.PST.INDF.3.SG
keress	5	keres	keres-j	V-SBJV.PRS.INDF.2.SG
bekapcsoltál	1	bekapcsol	bekapcsol-tál	V-IND.PST.INDF.2.SG
zé	1	zé	zé	N.NOM.SG
visszük	19	visz	visz-jük	V-IND.PRS.DEF.1.PL
malac	18	malac	malac	N.NOM.SG
lenyeled	2	lenyel	lenyel-ed	V-IND.PRS.DEF.2.SG
történetet	1	történet	történet-et	N.SG-ACC
füst	10	füst	füst	N.NOM.SG
aput	3	apu	apu-t	N.SG-ACC
megnézzem	4	megnéz	megnéz-jem	V-SBJV.PRS.DEF.1.SG
hozunk	7	hoz	hoz-unk	V-IND.PRS.INDF.1.PL
felállítjuk	1	felállít	felállít-juk	V-IND.PRS.DEF.1.PL
vakarjatok	1	vakar	vakar-jatok	V-SBJV.PRS.INDF.2.PL
játékkal	3	játék	játék-val	N.SG-INST
feltéve	1	feltesz	feltesz-ve	V-V.CVB
mamánál	4	mama	mama-nál	N.SG-AT+ESS
homokos	12	homokos	homokos	N.NOM.SG
bekenjem	6	beken	beken-jem	V-SBJV.PRS.DEF.1.SG
pelikánt	2	pelikán	pelikán-t	N.SG-ACC
akarta	7	akar	akar-ta	V-IND.PST.DEF.3.SG
megmondtam	4	megmond	megmond-tam	V-IND.PST.INDF.1.SG
házra	2	ház	ház-ra	N.SG-ON+ALL
felet	2	fél	fél-et	N.SG-ACC
függönynél	1	függöny	függöny-nél	N.SG-AT+ESS
ért	3	ér	ér-t	V-IND.PST.INDF.3.SG
pingvinünk	1	pingvin	pingvin-ünk	N.NOM-PSS1P.SG
bírok	5	bír	bír-ok	V-IND.PRS.INDF.1.SG
andinak	16	andi	andi-nak	N.SG-DAT.SG
mani	6	mani	mani	N.NOM.SG
elmúlt	1	elmúlik	elmúl-t	V-IND.PST.INDF.3.SG
eset	1	eset	eset	N.NOM.SG
elküldjem	1	elküld	elküld-jem	V-SBJV.PRS.DEF.1.SG
galamb	2	galamb	galamb	N.NOM.SG
teszed	19	tesz	tesz-ed	V-IND.PRS.DEF.2.SG
tudja	45	tud	tud-ja	V-IND.PRS.DEF.3.SG
találkozunk	3	találkozik	találkoz-unk	V-IND.PRS.INDF.1.PL
teherautóban	1	teherautó	teherautó-ban	N.SG-IN+ESS
tető	3	tető	tető	N.NOM.SG
gonosz	25	gonosz	gonosz	N.NOM.SG
ágyát	5	ágy	ágy-a-t	N.SG-PSS3S-ACC
tik	4	ti	ti-k	N.NOM-PL
zsuzsa	6	zsuzsa	zsuzsa	N.NOM.SG
fodrászüzletet	1	fodrászüzlet	fodrászüzlet-et	N.SG-ACC
tükörképed	1	tükörkép	tükörkép-ed	N.NOM-PSS2S.SG
fürdesd	3	fürdet	fürdet-d	V-SBJV.PRS.DEF.2.SG
vízzel	4	víz	víz-vel	N.SG-INST
beteszik	2	betesz	betesz-ik	V-IND.PRS.DEF.3.PL.ik
sötétet	1	sötét	sötét-et	N.SG-ACC
báránynál	1	bárány	bárány-nál	N.SG-AT+ESS
könyvbe	2	könyv	könyv-be	N.SG-IN+ALL
takaróért	1	takaró	takaró-ért	N.SG-PRP
banánnak	1	banán	banán-nak	N.SG-DAT.SG
felveszed	1	felvesz	felvesz-ed	V-IND.PRS.DEF.2.SG
fürödnek	2	fürdik	füröd-nek	V-IND.PRS.INDF.3.PL
kaptál	16	kap	kap-tál	V-IND.PST.INDF.2.SG
kádat	3	kád	kád-at	N.SG-ACC
lábát	31	láb	láb-a-t	N.SG-PSS3S-ACC
bajuszt	1	bajusz	bajusz-t	N.SG-ACC
nyafogsz	2	nyafog	nyafog-sz	V-IND.PRS.INDF.2.SG.asz
részen	1	rész	rész-en	N.SG-ON+ESS
késem	1	kés	kés-em	N.NOM-PSS1S.SG
emeltelek	1	emel	emel-telek	V-IND.PST.LGSPEC1.1.SG
uzsonnában	1	uzsonna	uzsonna-ban	N.SG-IN+ESS
hógolyót	6	hógolyó	hógolyó-t	N.SG-ACC
segít	20	segít	segít	V.IND.PRS.INDF.3.SG
keresi	9	keres	keres-i	V-IND.PRS.DEF.3.SG.i
macira	1	maci	maci-ra	N.SG-ON+ALL
állatokkal	2	áll	áll-atok-val	N.SG-PSS2P-INST
fejemet	2	fej	fej-em-et	N.SG-PSS1S-ACC
tollak	1	toll	toll-ak	N.NOM-PL
kamilla	1	kamilla	kamilla	N.NOM.SG
verekedjünk	1	verekedik	vereked-jünk	V-SBJV.PRS.INDF.1.PL
kalapáltad	1	kalapál	kalapál-tad	V-IND.PST.DEF.2.SG
kecskét	2	kecske	kecske-t	N.SG-ACC
jója	3	jó	jó-ja	N.NOM-PSS3S.SG
velencei	1	velencei	velencei	N.NOM.SG
ültél	5	ül	ül-tél	V-IND.PST.INDF.2.SG
oldalt	2	oldal	oldal-t	N.SG-ACC
hallottad	4	hall	hall-ottad	V-IND.PST.DEF.2.SG
tegyük	82	tesz	tesz-jük	V-SBJV.PRS.DEF.1.PL
disznó	2	disznó	disznó	N.NOM.SG
apuval	5	apu	apu-val	N.SG-INST
magnóról	4	magnó	magnó-ról	N.SG-ON+ABL
pörkölt	5	pörkölt	pörkölt	N.NOM.SG
cumi	57	cumi	cumi	N.NOM.SG
dalát	2	dal	dal-a-t	N.SG-PSS3S-ACC
lóg	5	lóg	lóg	V.IND.PRS.INDF.3.SG
kocsi	94	kocsi	kocsi	N.NOM.SG
kockák	11	kocka	kocka-k	N.NOM-PL
postaláda	2	postaláda	postaláda	N.NOM.SG
szőlő	5	szőlő	szőlő	N.NOM.SG
teherautót	9	teherautó	teherautó-t	N.SG-ACC
mikrofonba	1	mikrofon	mikrofon-ba	N.SG-IN+ALL
leves	4	leves	leves	N.NOM.SG
ökröt	2	ökör	ökör-öt	N.SG-ACC
csipát	3	csipa	csipa-t	N.SG-ACC
bekapcsolja	2	bekapcsol	bekapcsol-ja	V-IND.PRS.DEF.3.SG
pofája	2	pofa	pofa-ja	N.NOM-PSS3S.SG
turmixgép	1	turmixgép	turmixgép	N.NOM.SG
sarkát	3	sarka	sarka-t	N.SG-ACC
kérded	1	kérd	kérd-ed	V-IND.PRS.DEF.2.SG
kalapács	43	kalapács	kalapács	N.NOM.SG
írás	2	írás	írás	N.NOM.SG
porszívót	1	porszívó	porszívó-t	N.SG-ACC
hajlamai	1	hajlam	hajlam-ai	N.NOM-PSS3S.PL
ruhád	4	ruha	ruha-d	N.NOM-PSS2S.SG
bundás	1	bundás	bundás	N.NOM.SG
áruházba	1	áruház	áruház-ba	N.SG-IN+ALL
fényképezd	2	fényképez	fényképez-d	V-SBJV.PRS.DEF.2.SG
gyümölcslevet	1	gyümölcslé	gyümölcslé-et	N.SG-ACC
birkák	1	birka	birka-k	N.NOM-PL
fél	19	fél	fél	N.NOM.SG
fogsz	57	fog	fog-sz	V-IND.PRS.INDF.2.SG.asz
abbahagyta	1	abbahagy	abbahagy-ta	V-IND.PST.DEF.3.SG
szerelnek	1	szerel	szerel-nek	V-IND.PRS.INDF.3.PL
fakadni	1	fakad	fakad-ni	V-NFIN
picik	4	pici	pici-k	N.NOM-PL
visszament	8	visszamegy	visszamegy-t	V-IND.PST.INDF.3.SG
panda	7	panda	panda	N.NOM.SG
ujjam	17	ujj	ujj-am	N.NOM-PSS1S.SG
kergetsz	1	kerget	kerget-sz	V-IND.PRS.INDF.2.SG.asz
istennek	2	isten	isten-nek	N.SG-DAT.SG
vegyem	7	vesz	vesz-jem	V-SBJV.PRS.DEF.1.SG
tudjon	8	tud	tud-jon	V-SBJV.PRS.INDF.3.SG
anyu	546	anyu	anyu	N.NOM.SG
erkélyen	1	erkély	erkély-en	N.SG-ON+ESS
vár	24	vár	vár	N.NOM.SG
etesd	1	etet	etet-d	V-SBJV.PRS.DEF.2.SG
kopogjuk	1	kopog	kopog-juk	V-IND.PRS.DEF.1.PL
kellene	13	kell	kell-ene	V-COND.PRS.INDF.3.SG
fürdőkádat	2	fürdőkád	fürdőkád-at	N.SG-ACC
vezeti	11	vezet	vezet-i	V-IND.PRS.DEF.3.SG.i
bután	1	bután	bután	N.NOM.SG
gombóc	11	gombóc	gombóc	N.NOM.SG
szarva	3	szarva	szarva	N.NOM.SG
hava	2	hava	hava	N.NOM.SG
értettem	3	ért	ért-ettem	V-IND.PST.INDF.1.SG
látjuk	3	lát	lát-juk	V-IND.PRS.DEF.1.PL
zsír	2	zsír	zsír	N.NOM.SG
férnek	3	fér	fér-nek	V-IND.PRS.INDF.3.PL
tél	3	tél	tél	N.NOM.SG
házikóban	6	házikó	házikó-ban	N.SG-IN+ESS
megvizsgáljuk	1	megvizsgál	megvizsgál-juk	V-IND.PRS.DEF.1.PL
fontos	4	fontos	fontos	ADJ.NOM.SG
tóba	4	tó	tó-ba	N.SG-IN+ALL
zölddel	1	zöld	zöld-vel	ADJ.SG-INST
megmosni	5	megmos	megmos-ni	V-NFIN
arcát	8	arc	arc-a-t	N.SG-PSS3S-ACC
macihoz	1	maci	maci-hoz	N.SG-AT+ALL
tölcsér	1	tölcsér	tölcsér	N.NOM.SG
absztrakt	1	absztrakt	absztrakt	N.NOM.SG
mosogató	6	mosogató	mosogató	N.NOM.SG
babám	3	babám	babám	N.NOM.SG
hógolyóhoz	1	hógolyó	hógolyó-hoz	N.SG-AT+ALL
megvered	2	megver	megver-ed	V-IND.PRS.DEF.2.SG
repülőben	1	repülő	repülő-ben	N.SG-IN+ESS
megkértelek	1	megkér	megkér-telek	V-IND.PST.LGSPEC1.1.SG
segítek	28	segít	segít-ek	V-IND.PRS.INDF.1.SG
kapcsolók	2	kapcsoló	kapcsoló-k	N.NOM-PL
észrevette	1	észrevesz	észrevesz-tte	V-IND.PST.DEF.3.SG
szopja	1	szopik	szop-ja	V-IND.PRS.DEF.3.SG
verjek	1	ver	ver-jek	V-SBJV.PRS.INDF.1.SG
fognak	8	fog	fog-nak	N.SG-DAT.SG
orvos	2	orvos	orvos	N.NOM.SG
megkéri	1	megkér	megkér-i	V-IND.PRS.DEF.3.SG.i
láttalak	4	lát	lát-talak	V-IND.PST.LGSPEC1.1.SG
szeretsz	19	szeret	szeret-sz	V-IND.PRS.INDF.2.SG.asz
csap	8	csap	csap	N.NOM.SG
takarom	1	takar	takar-om	V-IND.PRS.DEF.1.SG
felmászott	4	felmászik	felmász-ott	V-IND.PST.INDF.3.SG
tálaltál	2	tálal	tálal-tál	V-IND.PST.INDF.2.SG
ázzon	1	ázik	áz-jon	V-SBJV.PRS.INDF.3.SG
egyre	1	egy	egy-re	N.SG-ON+ALL
elbújik	20	elbújik	elbújik	V.IND.PRS.INDF.3.SG
ugrás	1	ugrás	ugrás	N.NOM.SG
vendégünk	2	vendég	vendég-ünk	N.NOM-PSS1P.SG
kiabálás	2	kiabál	kiabál-ás	V-V.MSDR
betörő	1	betörő	betörő	N.NOM.SG
sorakozni	1	sorakozik	sorakoz-ni	V-NFIN
kalácsot	6	kalács	kalács-ot	N.SG-ACC
egy	2090	egy	egy	N.NOM.SG
keresztet	2	kereszt	kereszt-et	N.SG-ACC
fülkéje	1	fülke	fülke-je	N.NOM-PSS3S.SG
elkalandoznak	1	elkalandozik	elkalandoz-nak	V-IND.PRS.INDF.3.PL
teremtette	7	teremt	teremt-ette	V-IND.PST.DEF.3.SG
harangot	1	harang	harang-ot	N.SG-ACC
várja	14	vár	vár-ja	V-IND.PRS.DEF.3.SG
oson	1	oson	oson	V.IND.PRS.INDF.3.SG
villanyt	8	villany	villany-t	N.SG-ACC
perc	10	perc	perc	N.NOM.SG
fehéret	18	fehér	fehér-et	N.SG-ACC
banda	1	banda	banda	N.NOM.SG
kiskacsa	1	kiskacsa	kiskacsa	N.NOM.SG
közlekedési	1	közlekedési	közlekedési	ADJ.NOM.SG
piac	3	piac	piac	N.NOM.SG
halljuk	8	halljuk	halljuk	N.NOM.SG
alszanak	15	alszik	alsz-anak	V-IND.PRS.INDF.3.PL
fodrászüzlet	3	fodrászüzlet	fodrászüzlet	N.NOM.SG
könyvünk	1	könyv	könyv-ünk	N.NOM-PSS1P.SG
szám	2	száj	száj-m	N.NOM-PSS1S.SG
elfelejtettem	2	elfelejt	elfelejt-ettem	V-IND.PST.INDF.1.SG
mókus	94	mókus	mókus	N.NOM.SG
kopognak	1	kopog	kopog-nak	V-IND.PRS.INDF.3.PL
kérdezi	3	kérdez	kérdez-i	V-IND.PRS.DEF.3.SG.i
eper	10	eper	eper	N.NOM.SG
almát	26	alom	alom-a-t	N.SG-PSS3S-ACC
sebességváltójuk	1	sebességváltó	sebességváltó-juk	N.NOM-PSS3P.SG
egyem	2	egy	egy-em	N.NOM-PSS1S.SG
csoki	12	csoki	csoki	N.NOM.SG
bácsid	2	bácsi	bácsi-d	N.NOM-PSS2S.SG
papi	9	papi	papi	N.NOM.SG
harmadikba	1	harmadik	harmadik-ba	N.SG-IN+ALL
feladom	3	felad	felad-om	V-IND.PRS.DEF.1.SG
mentél	12	megy	megy-tél	V-IND.PST.INDF.2.SG
ígérem	1	ígér	ígér-em	V-IND.PRS.DEF.1.SG
rombolva	1	rombol	rombol-va	V-V.CVB
szel	1	szel	szel	V.IND.PRS.INDF.3.SG
ágyába	2	ágy	ágy-a-ba	N.SG-PSS3S-IN+ALL
kosárban	3	kosár	kosár-ban	N.SG-IN+ESS
kicsit	268	kicsi	kicsi-t	ADJ.SG-ACC
leszeded	1	leszed	leszed-ed	V-IND.PRS.DEF.2.SG
száradni	2	szárad	szárad-ni	V-NFIN
bolha	9	bolha	bolha	N.NOM.SG
kilenc	14	kilenc	kilenc	N.NOM.SG
sálja	1	sál	sál-ja	N.NOM-PSS3S.SG
juditnak	1	judit	judit-nak	N.SG-DAT.SG
öltözve	1	öltözik	öltöz-ve	V-V.CVB
ugráltál	1	ugrál	ugrál-tál	V-IND.PST.INDF.2.SG
virágom	2	virág	virág-om	N.NOM-PSS1S.SG
kalapja	4	kalap	kalap-ja	N.NOM-PSS3S.SG
barát	2	barát	barát	N.NOM.SG
mondta	75	mond	mond-ta	V-IND.PST.DEF.3.SG
viszontlátom	1	viszontlát	viszontlát-om	V-IND.PRS.DEF.1.SG
oldala	2	oldala	oldala	N.NOM.SG
meggyógyítalak	1	meggyógyít	meggyógyít-alak	V-IND.PRS.LGSPEC1.1.SG
hold	5	hold	hold	N.NOM.SG
megvéd	2	megvéd	megvéd	V.IND.PRS.INDF.3.SG
érzem	2	érez	érez-em	V-IND.PRS.DEF.1.SG
majommal	3	majom	majom-val	N.SG-INST
egyet	213	egy	egy-et	N.SG-ACC
szarvas	1	szarvas	szarvas	N.NOM.SG
olló	6	olló	olló	N.NOM.SG
gyárban	1	gyár	gyár-ban	N.SG-IN+ESS
takaróval	3	takaró	takaró-val	N.SG-INST
énekelte	2	énekel	énekel-te	V-IND.PST.DEF.3.SG
terhes	1	terhes	terhes	N.NOM.SG
betegye	2	betesz	betesz-je	V-SBJV.PRS.DEF.3.SG
bevered	2	bever	bever-ed	V-IND.PRS.DEF.2.SG
bili	7	bili	bili	N.NOM.SG
megijedtem	6	megijed	megijed-tem	V-IND.PST.INDF.1.SG
ügye	1	ügy	ügy-e	N.NOM-PSS3S.SG
árulja	2	árul	árul-ja	V-IND.PRS.DEF.3.SG
farkast	4	farkas	farkas-t	N.SG-ACC
köhögsz	1	köhög	köhög-sz	V-IND.PRS.INDF.2.SG.asz
ragadva	2	ragad	ragad-va	V-V.CVB
vigyáztok	1	vigyáz	vigyáz-tok	V-IND.PRS.INDF.2.PL
értem	26	ér	ér-tem	V-IND.PST.INDF.1.SG
barackot	13	barack	barack-ot	N.SG-ACC
tea	10	tea	tea	N.NOM.SG
micsodát	10	micsoda	micsoda-t	N.SG-ACC
mosógép	1	mosógép	mosógép	N.NOM.SG
motorhoz	1	motor	motor-hoz	N.SG-AT+ALL
apát	4	apát	apát	N.NOM.SG
aludtunk	2	alszik	alud-tunk	V-IND.PST.INDF.1.PL
fele	1	fél	fél-e	N.NOM-PSS3S.SG
puskával	4	puska	puska-val	N.SG-INST
király	5	király	király	N.NOM.SG
száma	2	száj	száj-m-a	N.SG-NOM.PSS1S-PSS3S
eltöri	1	eltör	eltör-i	V-IND.PRS.DEF.3.SG.i
tartsa	1	tart	tart-ja	V-SBJV.PRS.DEF.3.SG
fáról	2	fa	fa-ról	N.SG-ON+ABL
választott	1	választott	választott	N.NOM.SG
megmosok	1	megmos	megmos-ok	V-IND.PRS.INDF.1.SG
csik	7	csi	csi-k	N.NOM-PL
papuccsal	5	papucs	papucs-val	N.SG-INST
tollat	8	toll	toll-at	N.SG-ACC
zsu	1	zsu	zsu	N.NOM.SG
hordja	2	hord	hord-ja	V-IND.PRS.DEF.3.SG
pályának	2	pálya	pálya-nak	N.SG-DAT.SG
törted	1	tört	tört-ed	N.NOM-PSS2S.SG
hordó	1	hordó	hordó	N.NOM.SG
éljen	7	él	él-jen	V-SBJV.PRS.INDF.3.SG
kenguruk	2	kenguru	kenguru-k	N.NOM-PL
motort	25	motor	motor-t	N.SG-ACC
ötöst	6	ötös	ötös-t	N.SG-ACC
végre	5	vég	vég-re	N.SG-ON+ALL
védsz	1	véd	véd-sz	V-IND.PRS.INDF.2.SG.asz
megütötte	9	megüt	megüt-ötte	V-IND.PST.DEF.3.SG
parancsolsz	1	parancsol	parancsol-sz	V-IND.PRS.INDF.2.SG.asz
gyógyítsa	2	gyógyít	gyógyít-ja	V-SBJV.PRS.DEF.3.SG
tíz	13	tíz	tíz	N.NOM.SG
kutyája	5	kutya	kutya-ja	N.NOM-PSS3S.SG
bácsinak	95	bácsi	bácsi-nak	N.SG-DAT.SG
pihenjünk	2	pihen	pihen-jünk	V-SBJV.PRS.INDF.1.PL
benézek	1	benéz	benéz-ek	V-IND.PRS.INDF.1.SG
meggyógyítják	1	meggyógyít	meggyógyít-ják	V-IND.PRS.DEF.3.PL
hoznak	2	hoz	hoz-nak	V-IND.PRS.INDF.3.PL
vécét	1	vécé	vécé-t	N.SG-ACC
takarózol	1	takarózik	takaróz-ol	V-IND.PRS.INDF.2.SG.Ol
bajuszom	5	bajusz	bajusz-om	N.NOM-PSS1S.SG
vért	1	vér	vér-t	N.SG-ACC
banánod	1	banán	banán-od	N.NOM-PSS2S.SG
legkisebb	1	legkisebb	legkisebb	ADJ.NOM.SG
abbahagyni	1	abbahagy	abbahagy-ni	V-NFIN
táncosnő	1	táncosnő	táncosnő	N.NOM.SG
szárad	1	szár	szár-ad	N.NOM-PSS2S.SG
növöd	1	nő	nő-öd	V-IND.PRS.DEF.2.SG
sütött	1	süt	süt-ött	V-IND.PST.INDF.3.SG
madárral	1	madár	madár-val	N.SG-INST
takard	10	takar	takar-d	V-SBJV.PRS.DEF.2.SG
hét	13	hé	hé-t	N.SG-ACC
kimondani	2	kimond	kimond-ani	V-NFIN
fogadja	1	fogad	fogad-ja	V-IND.PRS.DEF.3.SG
éles	3	éles	éles	ADJ.NOM.SG
asszony	1	asszony	asszony	N.NOM.SG
kómának	1	kóma	kóma-nak	N.SG-DAT.SG
sovány	1	sovány	sovány	ADJ.NOM.SG
könnyebb	2	könnyebb	könnyebb	ADJ.NOM.SG
mesét	8	mese	mese-t	N.SG-ACC
csúszdára	1	csúszda	csúszda-ra	N.SG-ON+ALL
rendes	13	rendes	rendes	ADJ.NOM.SG
mászok	5	mászik	mász-ok	V-IND.PRS.INDF.1.SG
oltani	1	olt	olt-ani	V-NFIN
vad	19	vad	vad	N.NOM.SG
hozzak	16	hoz	hoz-jak	V-SBJV.PRS.INDF.1.SG
duna	13	duna	duna	N.NOM.SG
viccelj	3	viccel	viccel-j	V-SBJV.PRS.INDF.2.SG
halát	4	hal	hal-a-t	N.SG-PSS3S-ACC
micsodája	1	micsoda	micsoda-ja	N.NOM-PSS3S.SG
létráról	5	létra	létra-ról	N.SG-ON+ABL
megnéztél	1	megnéz	megnéz-tél	V-IND.PST.INDF.2.SG
csibész	2	csibész	csibész	N.NOM.SG
született	2	születik	szület-ett	V-IND.PST.INDF.3.SG
kert	3	kert	kert	N.NOM.SG
