SF,Freq,Lemma,Analysis,Segmentation
popsija,1,popsi,N.NOM-PSS3S,popsi-ja
pisilt,3,pisil,V.IND.PRS.INDF.3.SG-ACC,pisil-t
rontotta,1,ront,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,ront-otta
fülét,2,fül,N.NOM-PSS4S-ACC,fül-é-t
tudod,69,tud,V.IND.PRS.INDF.3.SG-PSS2S,tud-od
gyógyitsad,1,gyógyits,gyógyits-PSS2S.SG,gyógyits-ad
adjad,2,ad,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG-PSS2S.SG,ad-j-ad
köszönöm,59,köszön,V.IND.PRS.INDF.3.SG-IND.PRS.DEF.1.SG,köszön-öm
lepisilte,1,lepisil,lepisil-IND.PST.DEF.3.SG,lepisil-te
gyógyit,1,gyógy,gyógy-PSS3S.PL-ACC,gyógy-i-t
adom,96,ad,V.IND.PRS.INDF.3.SG-PSS1S,ad-om
vérzett,1,vérz,vérz-V.PTCP.PST,vérz-ett
gyógyult,4,gyógyul,V.IND.PRS.INDF.3.SG-ACC,gyógyul-t
ennek,28,enn,N.NOM-PL,enn-ek
hátul,5,hát,N.NOM-BYWAY,hát-ul
nézem,11,néz,V.IND.PRS.INDF.3.SG-PSS1S,néz-em
farkát,2,farká,farká-ACC,farká-t
meggyógyult,7,meggyógy,meggyógy-BYWAY-ACC,meggyógy-ul-t
paplanban,1,paplan,N.NOM-IN+ESS,paplan-ban
leveszik,1,levesz,V.IND.PRS.INDF.3.SG-PSS3P.PL,levesz-ik
csecsem,6,csecs,N.NOM-PSS1S,csecs-em
bántsátok,1,bántsá,bántsá-PSS2P,bántsá-tok
beteszem,15,betesz,V.IND.PRS.INDF.3.SG-PSS1S,betesz-em
kivette,1,kivet,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,kivet-te
gyurika,1,gyur,gyur-PSS3P.PL-PSS3S,gyur-ik-a
gurissuk,2,guriss,guriss-PSS3P,guriss-uk
gyele,3,gy,gy-IND.PRS.INDF.2.SG-PSS3S,gy-el-e
lele,2,lel,V.IND.PRS.INDF.3.SG-PSS3S,lel-e
gulisuk,1,gulis,gulis-PSS3P,gulis-uk
gurigázunk,1,gurigáz,gurigáz-PSS1P,gurigáz-unk
levegyük,1,levegy,levegy-PSS3P,levegy-ük
kérlek,5,kér,V.IND.PRS.INDF.3.SG-IND.PRS.LGSPEC1.1.SG,kér-lek
mindjárt,86,mindjár,mindjár-ACC,mindjár-t
odaadom,19,odaad,V.IND.PRS.INDF.3.SG-PSS1S,odaad-om
látod,45,lát,V.IND.PRS.INDF.3.SG-PSS2S,lát-od
forgatom,1,forgat,V.IND.PRS.INDF.3.SG-PSS1S,forgat-om
adod,7,ad,V.IND.PRS.INDF.3.SG-PSS2S,ad-od
guritom,4,gur,gur-PSS3S.PL-ACC-PSS1S,gur-i-t-om
menjen,6,m,N.NOM-ON+ESS-SBJV.PRS.INDF.3.SG,m-en-jen
gabi,9,gab,gab-PSS3S.PL,gab-i
húslevest,1,húsleves,húsleves-ACC,húsleves-t
evettem,1,evet,N.NOM-IND.PST.DEF.1.SG,evet-tem
fogsz,2,fog,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,fog-sz
megreszelem,1,meg,meg-ON+ALL-IND.PRS.INDF.2.SG-IND.PRS.INDF.2.SG-PSS1S,meg-re-sz-el-em
elveszem,22,elvesz,V.IND.PRS.INDF.3.SG-PSS1S,elvesz-em
másik,308,más,ADJ.NOM.SG-PSS3P.PL,más-ik
lábast,1,lábas,ADJ.SG-ACC,lábas-t
teszem,13,tesz,V.IND.PRS.INDF.3.SG-PSS1S,tesz-em
csukom,1,csuk,V.IND.PRS.INDF.3.SG-PSS1S,csuk-om
pálacsinta,1,pálacs,pálacs-PSS3S.PL-ON+ESS-IND.PST.DEF.3.SG,pálacs-i-n-ta
sóval,1,só,N.NOM-INST,só-val
fogom,20,fog,V.IND.PRS.INDF.3.SG-PSS1S,fog-om
tölteni,2,tölt,V.IND.PRS.INDF.3.SG-NFIN,tölt-eni
kihúzom,1,kihúz,V.IND.PRS.INDF.3.SG-PSS1S,kihúz-om
nagyon,39,nagy,ADJ.NOM.SG-ON+ESS,nagy-on
letesze,1,letesz,V.IND.PRS.INDF.3.SG-PSS3S,letesz-e
gázt,4,gáz,N.NOM-ACC,gáz-t
becsukom,8,becsuk,V.IND.PRS.INDF.3.SG-PSS1S,becsuk-om
gázba,1,gáz,N.NOM-IN+ALL,gáz-ba
beleteszem,5,bele,N.SG-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG-PSS1S,bele-te-sz-em
ebbe,61,eb,N.NOM-IN+ALL,eb-be
készen,2,kész,ADJ.NOM.SG-ON+ESS,kész-en
mosogatok,4,mosogat,V.IND.PRS.INDF.3.SG-PL,mosogat-ok
minden,12,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-ON+ESS,m-i-n-d-en
ráteszem,1,rátesz,V.IND.PRS.INDF.3.SG-PSS1S,rátesz-em
erre,17,err,N.NOM-PSS3S,err-e
csavarom,2,csavar,V.IND.PRS.INDF.3.SG-PSS1S,csavar-om
eszek,8,esze,N.SG-PL,esze-k
hozzám,8,hozzá,hozzá-PSS1S,hozzá-m
leteszem,1,letesz,V.IND.PRS.INDF.3.SG-PSS1S,letesz-em
reszelek,5,reszel,V.IND.PRS.INDF.3.SG-PL,reszel-ek
visszatettem,6,vissza,N.NOM-ACC-IND.PST.DEF.1.SG,vissza-t-ettem
visszateszem,11,vissza,N.NOM-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG-PSS1S,vissza-te-sz-em
sajtot,1,sajt,N.NOM-ACC,sajt-ot
várj,8,vár,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,vár-j
nézze,1,nézz,nézz-PSS3S,nézz-e
leverted,1,lever,V.IND.PRS.INDF.3.SG-IND.PST.DEF.2.SG,lever-ted
kéremszépen,1,kéremszép,kéremszép-ON+ESS,kéremszép-en
kicsit,46,kicsi,ADJ.SG-ACC,kicsi-t
törleni,1,törl,törl-NFIN,törl-eni
csinálok,51,csinál,V.IND.PRS.INDF.3.SG-PL,csinál-ok
angyalt,1,angyal,N.NOM-ACC,angyal-t
akarok,43,akar,V.IND.PRS.INDF.3.SG-PL,akar-ok
angyalkám,1,angyalká,angyalká-PSS1S,angyalká-m
elvitte,31,elvi,ADJ.SG-IND.PST.DEF.3.SG,elvi-tte
malacok,4,malac,ADJ.SG-PL,malac-ok
tepsit,2,tepsi,N.NOM-ACC,tepsi-t
kórházba,5,kórház,N.NOM-IN+ALL,kórház-ba
miért,58,m,N.NOM-PSS3S.PL-PRP,m-i-ért
megfött,4,megf,megf-V.PTCP.PST,megf-ött
nyitni,1,nyit,V.IND.PRS.INDF.3.SG-NFIN,nyit-ni
ajtót,6,ajtó,N.NOM-ACC,ajtó-t
reszelt,1,reszel,V.IND.PRS.INDF.3.SG-ACC,reszel-t
kopogogom,1,kopogog,kopogog-PSS1S,kopogog-om
darálva,2,darál,V.IND.PRS.INDF.3.SG-V.CVB,darál-va
daráltam,1,darál,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,darál-tam
magasra,12,magas,ADJ.NOM.SG-ON+ALL,magas-ra
földobjam,1,földob,földob-SBJV.PRS.DEF.1.SG,földob-jam
fogjad,2,fog,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG-PSS2S.SG,fog-j-ad
tudom,248,tud,V.IND.PRS.INDF.3.SG-PSS1S,tud-om
rakni,4,rak,V.IND.PRS.INDF.3.SG-NFIN,rak-ni
egyedül,13,egyed,N.NOM-BYWAY,egyed-ül
ebédet,6,ebéd,N.NOM-ACC,ebéd-et
megcsinálom,6,megcsinál,V.IND.PRS.INDF.3.SG-PSS1S,megcsinál-om
hintát,3,hintá,hintá-ACC,hintá-t
szállok,3,száll,V.IND.PRS.INDF.3.SG-PL,száll-ok
babsz,1,bab,N.NOM-IND.PRS.INDF.2.SG,bab-sz
nézd,145,néz,V.IND.PRS.INDF.3.SG-PSS2S,néz-d
leült,1,leül,V.IND.PRS.INDF.3.SG-ACC,leül-t
hintázom,2,hintáz,hintáz-PSS1S,hintáz-om
leülsz,1,leül,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,leül-sz
hintalovat,1,hintalov,hintalov-ACC,hintalov-at
gyöjj,1,gyö,gyö-SBJV.PRS.INDF.2.SG-SBJV.PRS.INDF.2.SG,gyö-j-j
sárgát,1,sárgá,sárgá-ACC,sárgá-t
pirosat,5,piros,ADJ.NOM.SG-ACC,piros-at
adok,37,ad,V.IND.PRS.INDF.3.SG-PL,ad-ok
kéket,5,kék,ADJ.NOM.SG-ACC,kék-et
zöldet,6,zöld,ADJ.NOM.SG-ACC,zöld-et
raktam,1,rak,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,rak-tam
képzeld,8,képzel,V.IND.PRS.INDF.3.SG-PSS2S,képzel-d
focival,2,foci,N.NOM-INST,foci-val
csináljunk,31,csinál,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.1.PL,csinál-junk
addig,24,ad,V.IND.PRS.INDF.3.SG-PSS2S-TERM,ad-d-ig
fehéret,2,fehér,ADJ.NOM.SG-ACC,fehér-et
bácsit,30,bácsi,ADJ.SG-ACC,bácsi-t
falud,1,falu,N.NOM-PSS2S,falu-d
puskám,23,puská,puská-PSS1S,puská-m
elrontotta,11,elront,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,elront-otta
elrontotta,1,elront,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,elront-otta
petike,1,p,N.NOM-ACC-PSS3P.PL-PSS3S,p-et-ik-e
peti,6,p,N.NOM-ACC-PSS3S.PL,p-et-i
eldobom,3,eldob,V.IND.PRS.INDF.3.SG-PSS1S,eldob-om
eldobtam,12,eldob,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,eldob-tam
puskát,12,puská,puská-ACC,puská-t
elvitt,11,elvi,ADJ.SG-V.PTCP.PST,elvi-tt
pacsa,1,pacs,pacs-PSS3S,pacs-a
beledobja,1,beledob,beledob-PSS3S,beledob-ja
megharapta,8,megharap,megharap-IND.PST.DEF.3.SG,megharap-ta
ugrálni,6,ugrál,V.IND.PRS.INDF.3.SG-NFIN,ugrál-ni
gyerek,6,gyer,gyer-PL,gyer-ek
gyere,240,gy,gy-PSS3S-ON+ALL,gy-e-re
pedig,42,p,N.NOM-PSS2S-TERM,p-ed-ig
csináltam,11,csinál,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,csinál-tam
voltak,1,volta,N.NOM-PL,volta-k
nyuszikák,2,nyusziká,nyusziká-PL,nyusziká-k
farkasok,4,farkas,N.NOM-PL,farkas-ok
kézeld,1,kéz,N.NOM-IND.PRS.INDF.2.SG-PSS2S,kéz-el-d
kapta,3,kap,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,kap-ta
könyvem,1,könyv,N.NOM-PSS1S,könyv-em
meséskönyvet,1,meséskönyv,meséskönyv-ACC,meséskönyv-et
ujjam,6,ujj,N.NOM-PSS1S.SG,ujj-am
voltam,14,volta,N.NOM-PSS1S,volta-m
fájt,9,fáj,V-ACC,fáj-t
beleesett,4,belees,belees-V.PTCP.PST,belees-ett
lattad,1,lat,N.NOM-IND.PST.DEF.2.SG,lat-tad
mitcsináltam,1,mitcs,mitcs-PSS3S.PL-AT+ESS-IND.PST.INDF.1.SG,mitcs-i-nál-tam
puszilni,1,puszil,V.IND.PRS.INDF.3.SG-NFIN,puszil-ni
megpuszilom,1,megpuszil,megpuszil-PSS1S,megpuszil-om
ujjad,2,ujj,N.NOM-PSS2S.SG,ujj-ad
megyek,91,megye,N.NOM-PL,megye-k
kezdtem,2,kezd,V.IND.PRS.INDF.3.SG-IND.PST.DEF.1.SG,kezd-tem
szépe,1,szép,ADJ.NOM.SG-PSS3S,szép-e
kérsz,26,kér,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,kér-sz
szappant,5,szappan,N.NOM-ACC,szappan-t
földre,3,föld,N.NOM-ON+ALL,föld-re
metróval,2,metr,metr-V.PTCP.PRS-INST,metr-ó-val
ugráltam,2,ugrál,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,ugrál-tam
mozgölépcsöröl,1,mozgölépcsör,mozgölépcsör-IND.PRS.INDF.2.SG,mozgölépcsör-öl
szeretne,1,szeret,V.IND.PRS.INDF.3.SG-COND.PRS.INDF.3.SG,szeret-ne
beledobtam,1,beledob,beledob-IND.PST.INDF.1.SG,beledob-tam
tették,10,tett,N.NOM-PSS4S-PL,tett-é-k
sírhatsz,2,sír,V.IND.PRS.INDF.3.SG-POT-IND.PRS.INDF.2.SG,sír-hat-sz
valód,1,való,ADJ.NOM.SG-PSS2S,való-d
meghaltak,1,meghal,V.IND.PRS.INDF.3.SG-IND.PST.INDF.3.PL,meghal-tak
visszalöjjék,1,visszalö,visszalö-SBJV.PRS.INDF.2.SG-SBJV.PRS.DEF.3.PL,visszalö-j-jék
szervusz,43,szervu,szervu-IND.PRS.INDF.2.SG,szervu-sz
toronyt,6,torony,N.NOM-ACC,torony-t
térded,1,térd,N.NOM-PSS2S,térd-ed
kavicsot,6,kavics,N.NOM-ACC,kavics-ot
megrúglak,1,megrúg,megrúg-IND.PRS.LGSPEC1.1.SG,megrúg-lak
tudja,1,tud,V.IND.PRS.INDF.3.SG-PSS3S,tud-ja
másszunk,2,más,ADJ.NOM.SG-IND.PRS.INDF.2.SG-PSS1P,más-sz-unk
hajolj,2,hajol,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,hajol-j
ebben,9,eb,N.NOM-IN+ESS,eb-ben
hozok,19,hoz,V.IND.PRS.INDF.3.SG-PL,hoz-ok
megvan,11,meg,meg-V.CVB-ON+ESS,meg-va-n
teszek,6,tesz,V.IND.PRS.INDF.3.SG-PL,tesz-ek
limonádét,1,limonádé,N.NOM-ACC,limonádé-t
beletettem,6,bele,N.SG-ACC-IND.PST.DEF.1.SG,bele-t-ettem
cukort,2,cukor,N.NOM-ACC,cukor-t
leülök,4,leül,V.IND.PRS.INDF.3.SG-PL,leül-ök
kézzel,5,kézz,kézz-IND.PRS.INDF.2.SG,kézz-el
fogni,5,fog,V.IND.PRS.INDF.3.SG-NFIN,fog-ni
takaritni,1,takar,V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-NFIN,takar-i-t-ni
fogok,13,fog,V.IND.PRS.INDF.3.SG-PL,fog-ok
törülgetek,1,törülg,törülg-PSS2P,törülg-etek
mosogatam,1,mosogat,V.IND.PRS.INDF.3.SG-PSS1S.SG,mosogat-am
eltörölgetem,1,eltörölg,eltörölg-PSS3S-IND.PST.DEF.1.SG,eltörölg-e-tem
tiszták,1,tisztá,tisztá-PL,tisztá-k
nyakadba,1,nyaka,N.SG-PSS2S-IN+ALL,nyaka-d-ba
kapsz,9,kap,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,kap-sz
epert,1,eper,N.NOM-ACC,eper-t
törülközöm,1,törülköz,törülköz-IND.PRS.DEF.1.SG,törülköz-öm
mosakodni,1,mos,V.IND.PRS.INDF.3.SG-PL-PSS2S-NFIN,mos-ak-od-ni
gyertek,2,gyer,gyer-IND.PST.INDF.3.PL,gyer-tek
miklóskám,1,miklóská,miklóská-PSS1S,miklóská-m
néninek,8,néni,N.NOM-DAT,néni-nek
kislányod,1,kislány,kislány-PSS2S,kislány-od
egészen,3,egész,ADJ.SG-ON+ESS,egész-en
cumit,6,cumi,N.NOM-ACC,cumi-t
kötényet,2,kötény,N.NOM-ACC,kötény-et
kaptam,19,kap,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,kap-tam
csokit,16,csoki,N.NOM-ACC,csoki-t
köpd,4,köp,V.IND.PRS.INDF.3.SG-PSS2S,köp-d
leszel,5,lesz,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,lesz-el
szeretem,15,szeret,V.IND.PRS.INDF.3.SG-PSS1S,szeret-em
belül,1,bel,N.NOM-BYWAY,bel-ül
egyet,87,egy,N.NOM-ACC,egy-et
elrontjuk,1,elront,V.IND.PRS.INDF.3.SG-PSS3P,elront-juk
gyorsan,23,gyors,ADJ.NOM.SG-PSS3S-ON+ESS,gyors-a-n
szórd,3,szór,V.IND.PRS.INDF.3.SG-PSS2S,szór-d
fogd,6,fog,V.IND.PRS.INDF.3.SG-PSS2S,fog-d
szórom,1,szór,V.IND.PRS.INDF.3.SG-PSS1S,szór-om
hórukk,1,hór,hór-PSS3P-PL,hór-uk-k
szeptemberbe,1,szeptember,N.NOM-IN+ALL,szeptember-be
kocsid,2,kocsi,N.NOM-PSS2S,kocsi-d
eldöntöttem,2,eldönt,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,eldönt-öttem
kacska,1,kacs,N.NOM-PL-PSS3S,kacs-k-a
moszost,1,moszos,moszos-ACC,moszos-t
takaritok,1,takar,V.IND.PRS.INDF.3.SG-PSS2P.PL,takar-itok
adta,6,ad,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,ad-ta
délia,1,déli,ADJ.NOM.SG-PSS3S,déli-a
megkalapállak,1,megkalapál,megkalapál-IND.PRS.LGSPEC1.1.SG,megkalapál-lak
pupát,1,pupá,pupá-ACC,pupá-t
kalapálom,1,kalapál,V.IND.PRS.INDF.3.SG-PSS1S,kalapál-om
tied,16,ti,N.NOM-PSS2S,ti-ed
csináltunk,2,csinál,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.PL,csinál-tunk
megcsináltam,7,megcsinál,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,megcsinál-tam
csinálj,12,csinál,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,csinál-j
kalapálnom,1,kalapál,V.IND.PRS.INDF.3.SG-NFIN.1.SG,kalapál-nom
lábomat,9,láb,N.NOM-PSS1S-ACC,láb-om-at
megkalapáltam,1,megkalapál,megkalapál-IND.PST.INDF.1.SG,megkalapál-tam
tudtam,4,tud,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,tud-tam
megcsinálni,2,megcsinál,V.IND.PRS.INDF.3.SG-NFIN,megcsinál-ni
fakudi,1,faku,faku-PSS2S-PSS3S.PL,faku-d-i
elmegyünk,4,elmegy,elmegy-PSS1P,elmegy-ünk
térre,2,tér,V.IND.PRS.INDF.3.SG-ON+ALL,tér-re
elvinni,2,elvi,ADJ.SG-NFIN,elvi-nni
menjünk,64,m,N.NOM-ON+ESS-SBJV.PRS.INDF.1.PL,m-en-jünk
elverted,1,elver,V.IND.PRS.INDF.3.SG-IND.PST.DEF.2.SG,elver-ted
béliát,1,béliá,béliá-ACC,béliá-t
puskámra,1,puská,puská-PSS1S-ON+ALL,puská-m-ra
tudok,98,tud,V.IND.PRS.INDF.3.SG-PL,tud-ok
szilvás,2,szilv,szilv-V.MSDR,szilv-ás
cukorkát,1,cukorká,cukorká-ACC,cukorká-t
cseresznyét,1,csereszny,csereszny-PSS4S-ACC,csereszny-é-t
vettem,7,vet,V.IND.PRS.INDF.3.SG-IND.PST.DEF.1.SG,vet-tem
gombócot,3,gombóc,N.NOM-ACC,gombóc-ot
homokot,25,homok,N.NOM-ACC,homok-ot
teszünk,4,tesz,V.IND.PRS.INDF.3.SG-PSS1P,tesz-ünk
állitani,1,áll,V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-NFIN,áll-i-t-ani
fölállt,1,föláll,föláll-ACC,föláll-t
hordani,1,horda,N.NOM-NFIN,horda-ni
betyárját,1,betyárjá,betyárjá-ACC,betyárjá-t
betyárja,1,betyár,N.NOM-PSS3S,betyár-ja
betyára,1,betyár,N.NOM-PSS3S,betyár-a
viszek,1,visz,V.IND.PRS.INDF.3.SG-PL,visz-ek
emelgetjük,1,emelg,emelg-ACC-PSS3P,emelg-et-jük
sokat,16,sok,ADJ.SG-ACC,sok-at
kocsiját,1,kocsijá,kocsijá-ACC,kocsijá-t
kötlek,1,köt,V.IND.PRS.INDF.3.SG-IND.PRS.LGSPEC1.1.SG,köt-lek
tudsz,6,tud,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,tud-sz
megmozdulni,1,megmoz,megmoz-PSS2S-BYWAY-NFIN,megmoz-d-ul-ni
megkötellek,1,meg,meg-PL-ACC-IND.PRS.INDF.2.SG-IND.PRS.LGSPEC1.1.SG,meg-k-öt-el-lek
mozdulj,1,mozdul,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,mozdul-j
hadd,41,had,N.NOM-PSS2S,had-d
nézzem,28,nézz,nézz-PSS1S,nézz-em
nyelvedet,1,nyelve,N.SG-PSS2S-ACC,nyelve-d-et
kötsz,1,köt,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,köt-sz
faludi,18,falu,N.NOM-PSS2S-PSS3S.PL,falu-d-i
emeljük,3,emel,V.IND.PRS.INDF.3.SG-PSS3P,emel-jük
bélia,1,bél,N.NOM-PSS3S.PL-PSS3S,bél-i-a
nagyot,31,nagy,ADJ.NOM.SG-ACC,nagy-ot
hógolyót,3,hógolyó,N.NOM-ACC,hógolyó-t
kapcsolt,1,kapcsol,V.IND.PRS.INDF.3.SG-ACC,kapcsol-t
nézed,3,néz,V.IND.PRS.INDF.3.SG-PSS2S,néz-ed
tévét,3,tévé,N.NOM-ACC,tévé-t
lelölek,1,lelö,lelö-IND.PRS.LGSPEC1.1.SG,lelö-lek
bezárva,1,bezár,V.IND.PRS.INDF.3.SG-V.CVB,bezár-va
zsebembe,8,zseb,N.NOM-PSS1S-IN+ALL,zseb-em-be
zsebbe,1,zseb,N.NOM-IN+ALL,zseb-be
finomat,1,finom,ADJ.NOM.SG-ACC,finom-at
délika,1,déli,ADJ.NOM.SG-PL-PSS3S,déli-k-a
estem,4,este,N.NOM-PSS1S,este-m
elmegyek,8,elmegy,elmegy-PL,elmegy-ek
mici,4,mic,mic-PSS3S.PL,mic-i
hintáztam,2,hintáz,hintáz-IND.PST.INDF.1.SG,hintáz-tam
aszija,1,asz,N.NOM-PSS3S.PL-PSS3S,asz-i-ja
ugatott,1,ugat,V.IND.PRS.INDF.3.SG-V.PTCP.PST,ugat-ott
mamikával,1,mamiká,mamiká-INST,mamiká-val
taxival,2,taxi,N.NOM-INST,taxi-val
sárika,1,sár,N.NOM-PSS3P.PL-PSS3S,sár-ik-a
mindig,17,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-TERM,m-i-n-d-ig
guriga,2,gur,gur-TERM-PSS3S,gur-ig-a
fején,1,fej,V.IND.PRS.INDF.3.SG-PSS4S-ON+ESS,fej-é-n
dobd,6,dob,V.IND.PRS.INDF.3.SG-PSS2S,dob-d
mind,8,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S,m-i-n-d
egészet,4,egész,ADJ.SG-ACC,egész-et
lenszki,1,len,N.NOM-IND.PRS.INDF.2.SG-PL-PSS3S.PL,len-sz-k-i
manci,3,manc,manc-PSS3S.PL,manc-i
akarja,1,akar,V.IND.PRS.INDF.3.SG-PSS3S,akar-ja
adni,4,ad,V.IND.PRS.INDF.3.SG-NFIN,ad-ni
szeretnék,14,szeret,V.IND.PRS.INDF.3.SG-COND.PRS.INDF.1.SG,szeret-nék
babát,47,babá,babá-ACC,babá-t
fésülni,2,fésül,V.IND.PRS.INDF.3.SG-NFIN,fésül-ni
dobta,4,dob,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,dob-ta
kitörött,1,kitör,V.IND.PRS.INDF.3.SG-V.PTCP.PST,kitör-ött
törte,2,tört,ADJ.SG-PSS3S,tört-e
nénit,6,néni,N.NOM-ACC,néni-t
másikat,73,más,ADJ.NOM.SG-PSS3P.PL-ACC,más-ik-at
feje,14,fej,V.IND.PRS.INDF.3.SG-PSS3S,fej-e
emeld,3,emel,V.IND.PRS.INDF.3.SG-PSS2S,emel-d
fejedet,2,fejed,N.SG-ACC,fejed-et
épitünk,17,ép,ADJ.NOM.SG-PSS3S.PL-IND.PST.INDF.1.PL,ép-i-tünk
házat,24,háza,N.SG-ACC,háza-t
mókusnak,1,mókus,N.NOM-DAT,mókus-nak
rókának,2,róká,róká-DAT,róká-nak
tudjon,1,tud,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.3.SG,tud-jon
menni,29,m,N.NOM-PSS3S-NFIN,m-e-nni
misi,8,mis,mis-PSS3S.PL,mis-i
halacskát,61,halacská,halacská-ACC,halacská-t
kapod,1,kap,V.IND.PRS.INDF.3.SG-PSS2S,kap-od
csöngöje,2,csöngö,csöngö-PSS3S,csöngö-je
csöngöjét,1,csöngö,csöngö-SBJV.PRS.INDF.2.SG-PSS4S-ACC,csöngö-j-é-t
nyomd,2,nyom,V.IND.PRS.INDF.3.SG-PSS2S,nyom-d
szállnak,1,száll,V.IND.PRS.INDF.3.SG-DAT,száll-nak
csilingetni,1,csiling,csiling-ACC-NFIN,csiling-et-ni
akarom,17,akar,V.IND.PRS.INDF.3.SG-PSS1S,akar-om
nézni,7,néz,V.IND.PRS.INDF.3.SG-NFIN,néz-ni
megfogom,7,megfog,V.IND.PRS.INDF.3.SG-PSS1S,megfog-om
lesepertem,1,leseper,leseper-IND.PST.DEF.1.SG,leseper-tem
csináljuk,7,csinál,V.IND.PRS.INDF.3.SG-PSS3P,csinál-juk
kelenci,1,kelenc,kelenc-PSS3S.PL,kelenc-i
tóba,2,tó,N.NOM-IN+ALL,tó-ba
balagonra,1,balag,balag-ON+ESS-ON+ALL,balag-on-ra
balagojára,1,balagojá,balagojá-ON+ALL,balagojá-ra
