SF,Freq,Lemma,Analysis,Segmentation
odaadom,19,odaad,V.IND.PRS.INDF.3.SG-PSS1S,odaad-om
gyurika,28,gyur,gyur-PSS3P.PL-PSS3S,gyur-ik-a
fogadj,2,fogad,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,fogad-j
képzeld,11,képzel,V.IND.PRS.INDF.3.SG-PSS2S,képzel-d
kávét,32,kávé,N.NOM-ACC,kávé-t
miért,336,m,N.NOM-PSS3S.PL-PRP,m-i-ért
bajusza,25,bajusz,N.NOM-PSS3S,bajusz-a
bajuszom,5,bajusz,N.NOM-PSS1S,bajusz-om
sírok,11,sír,V.IND.PRS.INDF.3.SG-PL,sír-ok
látod,327,lát,V.IND.PRS.INDF.3.SG-PSS2S,lát-od
szegénynek,3,szegény,ADJ.NOM.SG-DAT,szegény-nek
melyik,137,mely,mely-PSS3P.PL,mely-ik
vigasztald,1,vigasztal,V.IND.PRS.INDF.3.SG-PSS2S,vigasztal-d
fogd,56,fog,V.IND.PRS.INDF.3.SG-PSS2S,fog-d
füled,4,füle,N.SG-PSS2S,füle-d
sütve,3,süt,V.IND.PRS.INDF.3.SG-V.CVB,süt-ve
meggyógyitom,2,meggyógy,meggyógy-PSS3S.PL-ACC-PSS1S,meggyógy-i-t-om
fülecskéje,1,fülecs,fülecs-PL-PSS4S-PSS3S,fülecs-k-é-je
fájott,1,fáj,V-V.PTCP.PST,fáj-ott
szegenyke,1,szegeny,szegeny-PL-PSS3S,szegeny-k-e
csinált,64,csinál,V.IND.PRS.INDF.3.SG-ACC,csinál-t
pisilt,6,pisil,V.IND.PRS.INDF.3.SG-ACC,pisil-t
törültél,1,tör,V.IND.PRS.INDF.3.SG-BYWAY-IND.PST.INDF.2.SG,tör-ül-tél
csinálsz,230,csinál,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,csinál-sz
gyógyitom,1,gyógy,gyógy-PSS3S.PL-ACC-PSS1S,gyógy-i-t-om
évike,24,év,N.NOM-PSS3P.PL-PSS3S,év-ik-e
rétest,1,rétes,N.NOM-ACC,rétes-t
lepisilte,1,lepisil,lepisil-IND.PST.DEF.3.SG,lepisil-te
gyertek,25,gyer,gyer-IND.PST.INDF.3.PL,gyer-tek
takard,4,takar,V.IND.PRS.INDF.3.SG-PSS2S,takar-d
rajta,59,rajt,N.NOM-PSS3S,rajt-a
adja,18,ad,V.IND.PRS.INDF.3.SG-PSS3S,ad-ja
lábán,7,lábá,lábá-ON+ESS,lábá-n
fehérrel,1,fehérr,fehérr-IND.PRS.INDF.2.SG,fehérr-el
megstoppoljuk,1,megstopp,megstopp-IND.PRS.INDF.2.SG-PSS3P,megstopp-ol-juk
énnekem,7,én,N.NOM-DAT-PSS1S,én-nek-em
kékem,1,kék,ADJ.NOM.SG-PSS1S,kék-em
helyen,7,hely,N.NOM-ON+ESS,hely-en
persze,44,per,N.NOM-IND.PRS.INDF.2.SG-PSS3S,per-sz-e
megszelyelt,1,megszely,megszely-IND.PRS.INDF.2.SG-ACC,megszely-el-t
szegénykémnek,1,szegény,ADJ.NOM.SG-PL-PSS4S-PSS1S-DAT,szegény-k-é-m-nek
meggyógyultam,1,meggyógy,meggyógy-BYWAY-IND.PST.INDF.1.SG,meggyógy-ul-tam
meggyógyitottad,1,meggyógy,meggyógy-PSS3S.PL-ACC-IND.PST.DEF.2.SG,meggyógy-i-t-ottad
csavarogni,2,csavarog,csavarog-NFIN,csavarog-ni
pista,3,pis,pis-IND.PST.DEF.3.SG,pis-ta
összeszedni,3,összeszed,V.IND.PRS.INDF.3.SG-NFIN,összeszed-ni
meggyógyult,19,meggyógy,meggyógy-BYWAY-ACC,meggyógy-ul-t
értem,26,ért,V.IND.PRS.INDF.3.SG-PSS1S,ért-em
végig,6,vég,N.NOM-TERM,vég-ig
takarni,3,takar,V.IND.PRS.INDF.3.SG-NFIN,takar-ni
fejét,8,fej,V.IND.PRS.INDF.3.SG-PSS4S-ACC,fej-é-t
magdi,25,mag,N.NOM-PSS2S-PSS3S.PL,mag-d-i
fáradva,1,fárad,V.IND.PRS.INDF.3.SG-V.CVB,fárad-va
gondolom,6,gondol,V.IND.PRS.INDF.3.SG-PSS1S,gondol-om
ebédre,2,ebéd,N.NOM-ON+ALL,ebéd-re
csecsem,12,csecs,N.NOM-PSS1S,csecs-em
megszurjátok,1,megszur,megszur-SBJV.PRS.DEF.2.PL,megszur-játok
egymást,5,egy,N.NOM-PSS1S-V.MSDR-ACC,egy-m-ás-t
elvisz,1,elvi,ADJ.SG-IND.PRS.INDF.2.SG,elvi-sz
gurigázzunk,1,gurigázz,gurigázz-PSS1P,gurigázz-unk
kötényt,19,kötény,N.NOM-ACC,kötény-t
mondta,58,mond,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,mond-ta
adta,9,ad,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,ad-ta
odaadni,17,odaad,V.IND.PRS.INDF.3.SG-NFIN,odaad-ni
odaadani,1,odaad,V.IND.PRS.INDF.3.SG-NFIN,odaad-ani
megnézzem,2,megnézz,megnézz-PSS1S,megnézz-em
essen,10,ess,N.NOM-ON+ESS,ess-en
vigyázol,8,vigyáz,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,vigyáz-ol
gyere,831,gy,gy-PSS3S-ON+ALL,gy-e-re
gabi,25,gab,gab-PSS3S.PL,gab-i
évikém,17,év,N.NOM-PSS3P.PL-PSS4S-PSS1S,év-ik-é-m
beszélj,20,beszél,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,beszél-j
levest,12,leves,N.NOM-ACC,leves-t
zöldséget,7,zöldség,N.NOM-ACC,zöldség-et
pucolni,2,pucol,V.IND.PRS.INDF.3.SG-NFIN,pucol-ni
reszelni,1,reszel,V.IND.PRS.INDF.3.SG-NFIN,reszel-ni
csukni,6,csuk,V.IND.PRS.INDF.3.SG-NFIN,csuk-ni
ajtót,33,ajtó,N.NOM-ACC,ajtó-t
fölrakod,1,fölr,fölr-PL-PSS2S,fölr-ak-od
akarod,56,akar,V.IND.PRS.INDF.3.SG-PSS2S,akar-od
beszélni,29,beszél,V.IND.PRS.INDF.3.SG-NFIN,beszél-ni
közben,12,köz,N.NOM-IN+ESS,köz-ben
adod,43,ad,V.IND.PRS.INDF.3.SG-PSS2S,ad-od
nyitni,12,nyit,V.IND.PRS.INDF.3.SG-NFIN,nyit-ni
gázt,3,gáz,N.NOM-ACC,gáz-t
fölteszed,1,föl,N.NOM-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG-PSS2S,föl-te-sz-ed
lábast,1,lábas,ADJ.SG-ACC,lábas-t
gázra,1,gáz,N.NOM-ON+ALL,gáz-ra
rakni,38,rak,V.IND.PRS.INDF.3.SG-NFIN,rak-ni
sütjük,1,süt,V.IND.PRS.INDF.3.SG-PSS3P,süt-jük
süteményt,3,sütemény,N.NOM-ACC,sütemény-t
föltettem,4,föl,N.NOM-ACC-IND.PST.DEF.1.SG,föl-t-ettem
mivel,76,m,N.NOM-PSS3S.PL-INST,m-i-vel
fogjuk,10,fog,V.IND.PRS.INDF.3.SG-PSS3P,fog-juk
megtölteni,2,megtölt,V.IND.PRS.INDF.3.SG-NFIN,megtölt-eni
megfött,3,megf,megf-V.PTCP.PST,megf-ött
gyujtani,1,gyu,gyu-SBJV.PRS.INDF.2.SG-ACC-NFIN,gyu-j-t-ani
oltani,1,olt,V.IND.PRS.INDF.3.SG-NFIN,olt-ani
erre,45,err,N.NOM-PSS3S,err-e
veszed,12,vesz,V.IND.PRS.INDF.3.SG-PSS2S,vesz-ed
belle,22,bell,bell-PSS3S,bell-e
teszem,33,tesz,V.IND.PRS.INDF.3.SG-PSS1S,tesz-em
ebbe,59,eb,N.NOM-IN+ALL,eb-be
készen,25,kész,ADJ.NOM.SG-ON+ESS,kész-en
mosd,23,mos,V.IND.PRS.INDF.3.SG-PSS2S,mos-d
adok,69,ad,V.IND.PRS.INDF.3.SG-PL,ad-ok
eltörölgetni,1,eltörölg,eltörölg-ACC-NFIN,eltörölg-et-ni
ügyesen,49,ügyes,ADJ.NOM.SG-ON+ESS,ügyes-en
zárd,6,zár,V.IND.PRS.INDF.3.SG-PSS2S,zár-d
minden,39,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-ON+ESS,m-i-n-d-en
közösen,1,közös,ADJ.SG-ON+ESS,közös-en
ebédet,24,ebéd,N.NOM-ACC,ebéd-et
sikerült,15,sikerül,V-ACC,sikerül-t
mindig,63,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-TERM,m-i-n-d-ig
reszelt,3,reszel,V.IND.PRS.INDF.3.SG-ACC,reszel-t
finomat,10,finom,ADJ.NOM.SG-ACC,finom-at
minket,5,m,N.NOM-PSS1P.PL-ACC,m-ink-et
visszatettem,7,vissza,N.NOM-ACC-IND.PST.DEF.1.SG,vissza-t-ettem
menni,138,m,N.NOM-PSS3S-NFIN,m-e-nni
lyukakba,1,lyuk,N.NOM-PL-IN+ALL,lyuk-ak-ba
kiszedni,5,kisz,kisz-PSS2S-NFIN,kisz-ed-ni
állitani,2,áll,V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-NFIN,áll-i-t-ani
lábosokat,1,lábos,lábos-PL-ACC,lábos-ok-at
megsült,1,megs,megs-BYWAY-ACC,megs-ül-t
gyereknek,3,gyer,gyer-PL-DAT,gyer-ek-nek
leszedjük,3,leszed,V.IND.PRS.INDF.3.SG-PSS3P,leszed-jük
asztalt,25,asztal,N.NOM-ACC,asztal-t
mosogatásban,1,mosogat,V.IND.PRS.INDF.3.SG-V.MSDR-IN+ESS,mosogat-ás-ban
gyerek,60,gyer,gyer-PL,gyer-ek
tudom,197,tud,V.IND.PRS.INDF.3.SG-PSS1S,tud-om
csukd,23,csuk,V.IND.PRS.INDF.3.SG-PSS2S,csuk-d
fogok,30,fog,V.IND.PRS.INDF.3.SG-PL,fog-ok
sokat,52,sok,ADJ.SG-ACC,sok-at
evett,10,evet,N.NOM-ACC,evet-t
kornélnak,4,kor,N.NOM-AT+ESS-DAT,kor-nél-nak
ebéded,1,ebéd,N.NOM-PSS2S,ebéd-ed
törve,8,tör,V.IND.PRS.INDF.3.SG-V.CVB,tör-ve
fogom,32,fog,V.IND.PRS.INDF.3.SG-PSS1S,fog-om
megenni,12,meg,meg-PSS3S-NFIN,meg-e-nni
akarsz,160,akar,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,akar-sz
megeszem,17,meg,meg-PSS3S-IND.PRS.INDF.2.SG-PSS1S,meg-e-sz-em
eszik,41,esz,N.NOM-PSS3P.PL,esz-ik
galuskával,1,galuská,galuská-INST,galuská-val
reszelsz,1,reszel,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,reszel-sz
kérünk,12,kér,V.IND.PRS.INDF.3.SG-PSS1P,kér-ünk
pörköltöt,1,pörkölt,ADJ.SG-ACC,pörkölt-öt
hozni,17,hoz,V.IND.PRS.INDF.3.SG-NFIN,hoz-ni
oldalon,5,oldal,N.NOM-ON+ESS,oldal-on
láthat,1,lát,V.IND.PRS.INDF.3.SG-POT,lát-hat
másikat,58,más,ADJ.NOM.SG-PSS3P.PL-ACC,más-ik-at
takaritani,4,takar,V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-NFIN,takar-i-t-ani
fújni,8,fúj,V.IND.PRS.INDF.3.SG-NFIN,fúj-ni
visszatesszük,14,visszates,visszates-IND.PRS.INDF.2.SG-PSS3P,visszates-sz-ük
visszatenni,6,vissza,N.NOM-IND.PST.DEF.3.SG-NFIN,vissza-te-nni
kornél,3,kor,N.NOM-AT+ESS,kor-nél
kitalálják,1,kitalál,V.IND.PRS.INDF.3.SG-SBJV.PRS.DEF.3.PL,kitalál-ják
akarnak,5,akar,V.IND.PRS.INDF.3.SG-DAT,akar-nak
ügyesek,3,ügyes,ADJ.NOM.SG-PL,ügyes-ek
bácsival,10,bácsi,ADJ.SG-INST,bácsi-val
együtt,36,együ,együ-V.PTCP.PST,együ-tt
akarja,19,akar,V.IND.PRS.INDF.3.SG-PSS3S,akar-ja
kakaót,9,kakaó,N.NOM-ACC,kakaó-t
kaptam,19,kap,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,kap-tam
zsebedbe,17,zseb,N.NOM-PSS2S-IN+ALL,zseb-ed-be
csinálok,60,csinál,V.IND.PRS.INDF.3.SG-PL,csinál-ok
angyalt,2,angyal,N.NOM-ACC,angyal-t
koszt,7,kosz,N.NOM-ACC,kosz-t
visszamenni,13,vissza,N.NOM-PSS1S-PSS3S-NFIN,vissza-m-e-nni
malacok,4,malac,ADJ.SG-PL,malac-ok
láttam,27,lát,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,lát-tam
tepsit,2,tepsi,N.NOM-ACC,tepsi-t
elvitte,56,elvi,ADJ.SG-IND.PST.DEF.3.SG,elvi-tte
lelle,1,lell,lell-PSS3S,lell-e
kórházba,11,kórház,N.NOM-IN+ALL,kórház-ba
figyelj,130,figyel,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,figyel-j
megnézed,7,megnéz,V.IND.PRS.INDF.3.SG-PSS2S,megnéz-ed
nézze,10,nézz,nézz-PSS3S,nézz-e
ujjad,17,ujj,N.NOM-PSS2S.SG,ujj-ad
lángja,2,láng,N.NOM-PSS3S,láng-ja
hozom,128,hoz,V.IND.PRS.INDF.3.SG-PSS1S,hoz-om
csináltok,14,csinál,V.IND.PRS.INDF.3.SG-PSS2P,csinál-tok
kalácsot,4,kalács,N.NOM-ACC,kalács-ot
szeretitek,1,szeret,V.IND.PRS.INDF.3.SG-PSS2P.PL,szeret-itek
gyúrni,4,gyúr,V.IND.PRS.INDF.3.SG-NFIN,gyúr-ni
tésztát,4,tésztá,tésztá-ACC,tésztá-t
lenni,25,lenn,ADJ.NOM.SG-PSS3S.PL,lenn-i
lisztet,1,liszt,N.NOM-ACC,liszt-et
belerakni,2,beler,beler-PL-NFIN,beler-ak-ni
sütöben,2,sütö,sütö-IN+ESS,sütö-ben
csinálod,13,csinál,V.IND.PRS.INDF.3.SG-PSS2S,csinál-od
darálva,2,darál,V.IND.PRS.INDF.3.SG-V.CVB,darál-va
melyikkel,10,mely,mely-PSS3P.PL-PL-IND.PRS.INDF.2.SG,mely-ik-k-el
darált,1,darál,V.IND.PRS.INDF.3.SG-ACC,darál-t
magasabbra,5,magas,ADJ.NOM.SG-CMPR-ON+ALL,magas-abb-ra
palacsintát,11,palacsintá,palacsintá-ACC,palacsintá-t
alacsonyan,2,alacsony,ADJ.NOM.SG-PSS3S-ON+ESS,alacsony-a-n
földobni,1,földob,földob-NFIN,földob-ni
látom,108,lát,V.IND.PRS.INDF.3.SG-PSS1S,lát-om
magasra,5,magas,ADJ.NOM.SG-ON+ALL,magas-ra
hadd,78,had,N.NOM-PSS2S,had-d
nézzük,101,nézz,nézz-PSS3P,nézz-ük
szeretnék,26,szeret,V.IND.PRS.INDF.3.SG-COND.PRS.INDF.1.SG,szeret-nék
kacsák,8,kacsá,kacsá-PL,kacsá-k
levelet,10,level,level-ACC,level-et
szereti,39,szeret,V.IND.PRS.INDF.3.SG-PSS3S.PL,szeret-i
kukoricadarát,1,kukoricadará,kukoricadará-ACC,kukoricadará-t
engedd,4,enged,V.IND.PRS.INDF.3.SG-PSS2S,enged-d
visszaadom,6,visszaad,V.IND.PRS.INDF.3.SG-PSS1S,visszaad-om
kacsát,8,kacsá,kacsá-ACC,kacsá-t
mindent,31,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-ON+ESS-ACC,m-i-n-d-en-t
feltartja,1,feltart,V.IND.PRS.INDF.3.SG-PSS3S,feltart-ja
akarok,40,akar,V.IND.PRS.INDF.3.SG-PL,akar-ok
veszekedni,5,vesz,V.IND.PRS.INDF.3.SG-PL-PSS2S-NFIN,vesz-ek-ed-ni
feje,27,fej,V.IND.PRS.INDF.3.SG-PSS3S,fej-e
vendégünk,2,vendég,N.NOM-PSS1P,vendég-ünk
tönkrement,1,tönkr,tönkr-PSS1S-ON+ESS-ACC,tönkr-em-en-t
megsértödött,1,megs,megs-PRP-IND.PRS.DEF.2.SG-V.PTCP.PST,megs-ért-öd-ött
hazament,4,haza,N.NOM-PSS1S-ON+ESS-ACC,haza-m-en-t
tapsi,3,taps,N.NOM-PSS3S.PL,taps-i
ragasztva,4,ragaszt,V.IND.PRS.INDF.3.SG-V.CVB,ragaszt-va
falon,4,fal,V.IND.PRS.INDF.3.SG-ON+ESS,fal-on
fölakasztva,1,föl,N.NOM-PL-IND.PRS.INDF.2.SG-ACC-V.CVB,föl-ak-asz-t-va
ragasztani,1,ragaszt,V.IND.PRS.INDF.3.SG-NFIN,ragaszt-ani
kapott,14,kap,V.IND.PRS.INDF.3.SG-V.PTCP.PST,kap-ott
elvenni,16,elve,N.SG-NFIN,elve-nni
mutasd,142,mutas,mutas-PSS2S,mutas-d
rókát,34,róká,róká-ACC,róká-t
kérek,148,kér,V.IND.PRS.INDF.3.SG-PL,kér-ek
hintázni,4,hintáz,hintáz-NFIN,hintáz-ni
hintázunk,5,hintáz,hintáz-PSS1P,hintáz-unk
sokan,25,sok,ADJ.SG-PSS3S-ON+ESS,sok-a-n
löktyek,1,lökty,lökty-PL,lökty-ek
löktek,1,lök,V.IND.PRS.INDF.3.SG-IND.PST.INDF.3.PL,lök-tek
csináljunk,127,csinál,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.1.PL,csinál-junk
sárgát,24,sárgá,sárgá-ACC,sárgá-t
csinálta,14,csinál,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,csinál-ta
adsz,68,ad,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,ad-sz
fehéret,16,fehér,ADJ.NOM.SG-ACC,fehér-et
pedig,122,p,N.NOM-PSS2S-TERM,p-ed-ig
pirosat,29,piros,ADJ.NOM.SG-ACC,piros-at
kéket,21,kék,ADJ.NOM.SG-ACC,kék-et
csinálni,99,csinál,V.IND.PRS.INDF.3.SG-NFIN,csinál-ni
hagyjuk,13,hagy,V.IND.PRS.INDF.3.SG-PSS3P,hagy-juk
sarkon,2,sark,N.NOM-ON+ESS,sark-on
tudok,70,tud,V.IND.PRS.INDF.3.SG-PL,tud-ok
éváé,6,évá,évá-PSS4S,évá-é
köténye,4,kötény,N.NOM-PSS3S,kötény-e
egymás,11,egy,N.NOM-PSS1S-V.MSDR,egy-m-ás
mellé,16,mell,N.NOM-PSS4S,mell-é
oldálon,1,oldál,oldál-ON+ESS,oldál-on
visszajöttek,2,vissza,N.NOM-SBJV.PRS.INDF.2.SG-IND.PST.INDF.3.PL,vissza-j-öttek
gyerekek,94,gyer,gyer-PL-PL,gyer-ek-ek
sorat,1,sora,N.SG-ACC,sora-t
pirost,6,piros,ADJ.NOM.SG-ACC,piros-t
hagyjad,6,hagy,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG-PSS2S.SG,hagy-j-ad
teszi,6,tesz,V.IND.PRS.INDF.3.SG-PSS3S.PL,tesz-i
adtál,26,ad,V.IND.PRS.INDF.3.SG-IND.PST.INDF.2.SG,ad-tál
mellett,9,melle,N.SG-V.PTCP.PST,melle-tt
poci,1,poc,poc-PSS3S.PL,poc-i
ajándékoztam,2,ajándékoz,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,ajándékoz-tam
fiut,3,fiu,fiu-ACC,fiu-t
misi,15,mis,mis-PSS3S.PL,mis-i
néninek,25,néni,N.NOM-DAT,néni-nek
rakjunk,7,rak,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.1.PL,rak-junk
sorban,7,sor,N.NOM-IN+ESS,sor-ban
rakjuk,44,rak,V.IND.PRS.INDF.3.SG-PSS3P,rak-juk
tojásot,1,tojás,N.NOM-ACC,tojás-ot
fejéje,1,fej,V.IND.PRS.INDF.3.SG-PSS4S-PSS3S,fej-é-je
maradni,8,marad,V.IND.PRS.INDF.3.SG-NFIN,marad-ni
órám,4,órá,órá-PSS1S,órá-m
világit,3,világi,ADJ.SG-ACC,világi-t
faludi,22,falu,N.NOM-PSS2S-PSS3S.PL,falu-d-i
párnát,15,pár,N.NOM-COND.PRS.DEF.3.SG-ACC,pár-ná-t
csináljak,56,csinál,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.1.SG,csinál-jak
puskát,8,puská,puská-ACC,puská-t
mint,79,m,N.NOM-PSS3S.PL-ON+ESS-ACC,m-i-n-t
pusákt,1,pusá,pusá-PL-ACC,pusá-k-t
puskával,3,puská,puská-INST,puská-val
belerakja,2,beler,beler-PL-PSS3S,beler-ak-ja
dobozt,15,doboz,N.NOM-ACC,doboz-t
lelötted,3,lel,V.IND.PRS.INDF.3.SG-IND.PST.DEF.2.SG,lel-ötted
motorkám,1,motorká,motorká-PSS1S,motorká-m
belelöttem,1,belel,belel-IND.PST.INDF.1.SG,belel-öttem
rádióba,1,rádió,N.NOM-IN+ALL,rádió-ba
gyerkek,1,gyer,gyer-PL-PL,gyer-k-ek
elrontotta,8,elront,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,elront-otta
rontotta,4,ront,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,ront-otta
peti,10,p,N.NOM-ACC-PSS3S.PL,p-et-i
petike,2,p,N.NOM-ACC-PSS3P.PL-PSS3S,p-et-ik-e
mondasz,9,monda,N.NOM-IND.PRS.INDF.2.SG,monda-sz
elrontottál,2,elront,V.IND.PRS.INDF.3.SG-IND.PST.INDF.2.SG,elront-ottál
hétfön,1,hétf,hétf-ON+ESS,hétf-ön
eldobta,12,eldob,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,eldob-ta
tóban,6,tó,N.NOM-IN+ESS,tó-ban
eldobtam,5,eldob,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,eldob-tam
eldobom,7,eldob,V.IND.PRS.INDF.3.SG-PSS1S,eldob-om
visszanó,1,vissza,N.NOM-ON+ESS-V.PTCP.PRS,vissza-n-ó
fiatalabb,1,fiatal,ADJ.NOM.SG-CMPR,fiatal-abb
voltam,23,volta,N.NOM-PSS1S,volta-m
szakállom,1,szakáll,N.NOM-PSS1S,szakáll-om
szakállodat,1,szakáll,N.NOM-PSS2S-ACC,szakáll-od-at
bedobtam,3,bedob,V.IND.PRS.INDF.3.SG-IND.PST.INDF.1.SG,bedob-tam
lelöttelek,2,lel,V.IND.PRS.INDF.3.SG-ACC-IND.PST.LGSPEC1.1.SG,lel-öt-telek
puskám,26,puská,puská-PSS1S,puská-m
egyik,56,egy,N.NOM-PSS3P.PL,egy-ik
egyiket,8,egyike,N.SG-ACC,egyike-t
elviszi,22,elvi,ADJ.SG-IND.PRS.INDF.2.SG-PSS3S.PL,elvi-sz-i
sírjak,3,sír,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.1.SG,sír-jak
zsebkendöt,2,zseb,N.NOM-PL-ON+ESS-PSS2S-ACC,zseb-k-en-d-öt
csinálunk,62,csinál,V.IND.PRS.INDF.3.SG-PSS1P,csinál-unk
csinálj,28,csinál,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,csinál-j
sírni,39,sír,V.IND.PRS.INDF.3.SG-NFIN,sír-ni
történt,50,tört,ADJ.SG-PSS4S-ON+ESS-ACC,tört-é-n-t
bármi,1,bár,N.NOM-PSS1S-PSS3S.PL,bár-m-i
papucsot,26,papucs,N.NOM-ACC,papucs-ot
puskámat,2,puská,puská-PSS1S-ACC,puská-m-at
könnyet,1,könny,N.NOM-ACC,könny-et
csinálja,20,csinál,V.IND.PRS.INDF.3.SG-PSS3S,csinál-ja
például,22,példá,példá-BYWAY,példá-ul
testvéred,9,testvér,N.NOM-PSS2S,testvér-ed
