Word,Frequency
eldobom,7
annyiszor,2
visszanó,1
amikor,106
fiatalabb,1
voltam,23
szakállom,1
szakáll,1
haja,15
letépem,1
szakállodat,1
bedobtam,3
viz,31
lelöttelek,2
puskám,26
egyik,56
egyiket,8
elviszi,22
tőlem,21
sírjak,3
zsebkendöt,2
csinálunk,62
csinálj,28
azér,8
sírni,39
történt,50
bármi,1
papucsot,26
puskámat,2
könnyet,1
könny,1
Krampusz,6
csinálja,20
például,22
testvéred,9
testvére,11
nagyobb,28
félem,3
ettől,7
farkastól,3
birom,6
ti,37
farkasok,6
előre,3
farkas,82
foga,5
fogaidat,1
kozik,1
Mici,7
fogaid,2
fog,201
farkasnak,2
sza,1
szájból,1
képeld,1
sírt,14
modtál,1
bekaptad,6
ige,6
harapja,4
fogkefe,3
akit,4
tisztelt,1
otthon,23
fogkefém,1
man,1
pici,107
má,11
mamaikám,1
jött,47
lettem,10
fájt,19
ujjam,11
anyukám,3
vótál,1
sírtál,11
ujja,8
orood,1
beleesett,5
vizből,2
megmérem,2
cicát,9
csókot,9
nembibis,1
nézzétek,7
tinta,2
ceruzával,1
csináltam,22
megmosom,4
rendetlen,9
velem,36
bicikli,7
beülni,1
hétfö,1
legnehezebb,2
legnehézebb,1
napig,1
voltak,14
szokták,6
ad,25
töszem,1
ni,104
Gabika,4
rózsaszint,3
pipi,6
magadnak,13
mostan,8
odatesszünk,1
szappant,6
miröl,1
ketten,20
arrólbeszéltünk,1
bácsik,20
hallották,1
kopogtatták,1
hallottál,1
hallod,17
hallottam,3
csinálnak,75
azok,49
mozgó,2
lepcsö,1
mozgólépcsöt,1
mozgólépcsö,9
metróban,3
mentél,9
trolibusszal,7
mentem,9
csináltad,19
ugráltad,1
ugráltál,1
metrö,1
trolibusz,3
körülbelül,3
metro,7
szebb,7
ujabb,3
annak,36
metronak,2
trolinak,1
házat,57
naa,4
lépcsöt,4
ebből,22
ház,45
házikó,26
beletesszük,9
róka,186
hivaják,2
zsbedből,1
bejönni,16
tetejét,8
háznak,6
teteje,31
évikém,8
totó,1
fölébredte,1
fölébredt,3
nyissuk,3
nyitjuk,3
esik,74
esö,17
bejön,4
keress,4
odavaló,8
doboz,18
ateteje,1
odanézz,6
szétrontotta,1
bujni,1
eza,3
olvassunk,7
olvassuk,4
könyvet,42
foglaljatok,2
helyet,6
olvasok,4
rajzolunk,22
papirt,4
rajzolom,2
nevedet,2
rajzolni,24
papirral,3
kérlek,5
papir,10
rajzolj,9
festés,2
jóllaktál,4
koma,13
rókakoma,3
tették,12
kugli,8
tete,2
kuglisz,1
veszel,13
elvinni,9
vigyed,3
szivesen,14
adom,181
kérni,2
valódi,1
ellölek,1
lelőlek,1
engemet,3
löjjél,2
lödd,7
lelöttem,13
meghaltak,1
visszalö,2
darus,2
auto,16
csigabiga,9
csiga,17
biga,7
fekszik,19
monnd,2
traktor,38
mozog,24
szétszedem,2
szét,39
visszategyem,2
szedem,2
szojuzd,1
szöress,1
piszkálja,1
leveszem,26
tied,89
piszkálj,1
torony,51
tornyot,44
nyulsz,2
hozzá,44
nyulni,2
abba,50
tépve,1
való,53
hozzatok,3
idevaló,2
dobozba,22
lábom,14
lábam,7
mind,51
lábod,6
láb,1
ennél,3
lelött,4
lelötte,3
avvak,2
rókával,2
fürödtél,4
szia,153
fiuk,6
lány,17
kislány,79
jönnek,21
kockákat,36
félre,1
többsége,1
szedjed,1
szorgoskodjatok,1
kamion,2
teherautó,12
bácsinak,66
parancsolsz,1
odaado,1
odadom,7
csokoládét,3
megmutatom,26
mutatom,7
félsz,41
mitől,6
nahát,19
föltette,2
ujból,1
leesik,23
beteszem,13
bent,56
másszál,3
érte,5
mássz,14
nemtudok,2
bemászni,8
hajolj,2
behajolni,1
adoma,1
rókának,7
szemüvegemet,2
szemüvegem,3
hujjaj,1
erős,14
lát,12
próbáld,25
fölvette,4
mászik,4
láttad,28
láthatsz,2
nehezen,6
Katinak,2
látni,17
Miklós,17
menjetek,22
napra,3
marafjatok,1
hüvösön,1
hüvös,2
ebben,48
jaja,8
tettél,14
megkavarom,1
csokit,7
kapok,15
csészéket,1
mosni,44
csokoládé,3
teszel,4
limonádé,1
melegben,1
esni,17
máma,3
ennei,1
málnaszörp,1
cocacola,1
jobb,24
hideg,80
behütötted,1
hoppá,71
borsó,12
Kati,46
mogyoró,2
fözzek,1
paprikás,2
csirkét,1
foghatom,1
kézzel,6
fözted,2
meséld,39
tett,2
cukrot,6
fözte,1
fózöl,1
édesen,1
szeretem,25
megittam,6
partedlit,2
Zsuzsa,5
kötényed,9
paterdlije,1
Domiról,1
evvel,24
leszem,1
keverni,2
ebédelnjünk,1
föztem,1
föztél,1
imádom,1
negyon,4
leves,3
kanállal,9
retetetete,1
péterkém,2
hatalmas,10
edényt,3
beletettem,2
borsót,5
mosogatsz,1
nehogy,26
maradjon,5
edény,3
eltörülheted,1
segutek,1
nyuszi,68
egyedül,52
tiszták,1
edények,1
Évi,36
Évikének,2
megetetsz,1
eper,8
nyakamba,2
teszed,17
megeszi,32
szépe,2
kanalat,18
becukroztad,1
ham,61
cukros,3
törülközö,1
ennyi,13
rémes,2
Petikém,1
feküdj,39
angyal,3
angyalom,3
aludj,7
fordulj,2
fá,10
felé,5
álszol,1
kislányom,21
egészet,17
huuu,4
megütöd,2
bácsit,39
cumi,30
kend,9
baj,136
bánom,3
leszel,24
sírsz,17
menjél,73
innen,50
Eniköm,1
fiam,20
fektessünk,2
valakit,4
fektessük,9
homokot,33
adtam,13
homok,26
kijönni,14
csokija,1
mondom,15
leszek,28
köptöm,1
csoki,10
szereted,59
Feri,10
kastélyt,1
ó,118
csinálom,43
csináljál,8
kocká,1
forró,45
nadrágom,5
nadrág,15
elszkadt,2
sport,4
porosnadrág,1
egyet,126
elrontjátok,1
haragudj,2
haragszom,5
elszaladjál,1
elszaladgáljatok,1
rontani,8
enyémet,3
kiabált,7
előbbet,1
Ferike,2
kiabáltál,1
minek,9
tudtam,7
megnézni,20
gyorsan,90
elrontották,1
megmutattuk,1
rontottuk,1
rontjuk,1
elvágtad,1
elvagtam,1
nadrágja,4
mennyi,31
zsebem,5
zseb,2
hátra,6
zsebe,5
gombolod,2
gombolva,1
szóródjon,2
gombom,2
bácsira,4
dolog,34
szórni,3
rád,12
dobom,3
rendben,9
óvódába,2
kocsiba,5
kocsi,64
akarom,30
bácsié,21
láttátok,1
jönni,33
fürészed,1
Dinike,5
verd,6
fürésszel,4
próbáljunk,1
utolsó,2
fürészelni,1
rrrrrr,1
megmutataom,1
fürész,1
brrrr,4
összevágom,1
vitamin,2
kacska,1
koszos,13
piszkot,2
gyógyszer,4
ettem,3
vitamint,1
gyógyszertől,1
tiéd,9
vágom,6
fát,13
karddal,6
arra,53
kereszt,2
rosszat,8
csináljatok,3
mehetsz,23
roentgent,6
busz,6
börtönbe,12
katona,28
löttem,2
mennek,74
huj,3
seprő,3
maradsz,22
kocsival,10
jöttem,5
kocsimat,1
rozsdás,2
tiszta,37
jaaj,1
abban,28
óvodában,3
pusakával,2
lövöldözni,1
óvódában,1
térre,1
menjünk,363
börtön,1
jössz,63
reho,10
megvert,4
Laci,74
megharap,2
magardra,1
eh,8
vész,1
szijvel,1
vert,2
gagaga,1
nézzek,6
Jánoskám,1
Gyurikának,3
itten,7
csusztam,1
pa,17
gombóc,10
lekváros,6
szilvás,3
mileyn,1
cukorkát,1
dobd,20
beleöle,1
elviszem,9
paprikát,6
viszem,11
töröm,1
oroszlányt,1
fölmenni,11
autó,148
vigyük,9
salátát,4
uborka,2
talán,27
adunk,18
megfelel,2
kötnél,1
kész,69
kössek,1
bottal,1
kötéllel,1
kötve,12
tud,110
megmozdulni,1
lekötöttétek,1
mozogni,3
nyelvem,1
bekötni,3
nyelvemet,1
ejejejej,1
bajuszomat,1
szúr,12
kötöd,1
kötlek,1
kösd,5
amerre,1
lelölek,4
rehót,1
hozzál,19
ajándékot,16
verni,3
őt,9
midjárt,4
tele,17
Bélia,1
gombócot,11
salátával,1
megennei,1
birod,1
hamm,23
dobtál,7
teherautót,6
rontsd,4
rontod,3
elrontasz,1
hógolyó,5
szorulni,1
nemeszel,1
vegyél,43
szádba,14
eszi,7
tudja,44
hogynehéz,1
lapát,9
mintha,2
majmok,13
királya,3
nam,4
látsz,14
televizión,1
tévén,1
nézel,5
tévét,8
szoktál,16
nézni,54
tévé,6
bekapcsoltam,6
macit,30
kapcsolva,12
csináld,35
lefekszenek,3
macik,3
lefekteted,1
pusakám,2
vonat,92
ááá,1
elrontod,2
hú,59
nehéz,34
ezta,1
virágot,37
enneivalót,1
vizet,37
bumm,43
beleestél,2
brrrrr,3
Debrecenbe,1
kellene,13
mennem,3
zárva,26
bölcsőde,1
bemenni,14
délután,20
apukád,5
did,1
didi,1
darabot,3
eperszörp,1
Ica,12
hoztam,25
üljünk,13
csaináltál,1
csináltál,54
tegnap,24
barátnöm,8
hazamentél,1
játszottál,13
játszótéren,3
lent,12
hintáztál,1
kivel,29
Lacival,2
akinél,2
Frédi,1
ját,2
szottatok,1
nemond,1
harapott,1
ugatott,1
féltél,3
ijedtél,3
okos,55
vag,2
kutyától,4
holnap,35
mentek,16
valahova,10
kirádulni,1
hegyekbe,1
Dunára,2
nagymamával,2
hü,9
csónakázni,5
sárik,1
Andi,55
belebujtam,1
bokorba,8
elmentek,14
onna,3
megyünk,117
menj,65
érted,15
innét,4
Enikö,1
kukac,1
nekimentem,1
évi,5
kerek,3
naaaa,2
álltam,1
szégyeltem,1
orrod,8
baba,378
tettérek,1
fésüt,4
fésü,13
kettőt,12
mondtam,20
kat,1
vetköztesd,1
dobta,8
valamelyik,5
vette,29
törte,4
keziket,1
kezit,2
Tünde,11
Tündének,2
kezibe,2
kit,34
szeretel,2
kérdi,2
epret,7
szeretsz,18
nénit,27
Jánost,1
válasz,1
melyiket,37
macát,1
paci,4
icukát,1
háza,10
ajtó,26
azon,13
keresztül,2
mehet,27
kivcsi,1
nagyot,35
csiánljunk,1
ablak,31
nézzed,6
farkast,3
juj,62
leesett,88
nemoda,1
rátettem,2
lezárjuk,1
pályaudvarras,1
nehány,1
an,3
kockátak,1
elveszem,28
rl,1
róla,14
mókust,12
halacska,222
csöngöje,4
csöngetni,1
bejönnek,1
csiling,4
vigyázzunk,3
kémény,38
bemegy,15
ajtón,10
bezárjuk,3
tegye,13
villamos,7
fel,92
mmnn,1
fán,2
összement,1
nekiment,2
karambolta,1
szétment,2
összes,10
szedjük,6
Évika,2
szedni,16
fogni,10
elkészit,1
hosszú,31
útra,1
svédországba,2
fölszáll,4
vonatra,3
játszhat,4
svájcba,2
fölhozzuk,1
kelenci,1
tajra,1
velenci,1
pálya,9
velencei,1
tóba,2
Balatonra,6
keletibe,1
szoktam,3
keleti,2
pályaudvarra,2
beestem,2
irtö,1
bántsd,22
kicsikét,5
övodás,2
visszadobálom,1
megverlek,1
ledül,3
ledöl,4
döntsd,7
akkora,4
várat,21
nics,1
zsebembe,5
elindulok,2
villamoson,3
odadod,4
maci,190
vigyázok,3
rája,1
ojaj,3
rókám,2
nagyuon,1
kelen,1
pályaudvarba,1
elmenjünk,4
szék,62
csoport,2
idejött,1
virág,27
tornyom,2
móni,1
föltettél,1
ideteszem,31
teszünk,5
elfolyik,2
benzin,2
ledölt,2
paff,2
puff,8
ujjaj,2
megmutatod,10
inkább,71
hozzáért,1
lelökte,3
bogár,100
bogaras,2
miben,6
Miklóson,3
lesöpörtem,1
meyik,1
harap,22
hangya,16
fig,1
hanga,1
mem,1
harapnak,2
betet,1
lemész,4
onnan,66
izé,3
számoljunk,13
homokba,5
csináljam,2
hangulatod,1
mafláskodik,1
merto,1
fogunk,24
utazni,4
igazitds,1
rendesen,12
metrón,1
bizony,237
izgalmas,3
tul,11
övé,11
milyet,10
raktár,1
Lacika,9
kitől,20
kaptál,16
karácsonykor,3
télapó,11
me,14
jézuska,2
mindegy,7
gondoltam,5
gyár,1
kemencével,1
csö,1
nekünk,20
hidat,15
kanyarodni,1
megnézem,37
mik,221
hallom,6
képek,3
hala,18
érdekes,18
föztetek,1
ettek,1
délelőtt,2
vendégség,1
gyerekzsúr,1
társaság,1
répa,18
tálaltál,2
ebédlöben,1
ebéddel,2
játékebéd,1
kérdezi,3
ettetek,3
halacskát,139
ba,11
hal,29
alma,35
fözeléket,1
halat,10
almát,21
ropogott,2
fofad,1
alatt,39
foguskád,1
kutyát,26
dio,3
hazasiet,1
mókuska,9
lakik,15
adják,5
mókusnak,8
csináltaok,1
elől,3
fa,48
marad,29
sose,13
becsuktuk,2
falat,2
kéményt,3
levesszük,20
mókuskát,2
felborult,6
törjétek,1
halacskáját,2
zzz,1
dugtál,3
uszik,27
lábában,1
elveszi,39
édesek,2
nagymamádnak,1
iróasztalban,1
elefánt,34
kérd,8
kérjed,1
hagyod,3
elkérjük,2
hmmmmmmmm,1
megette,25
megevett,9
semmit,41
földugjuk,1
emlékmü,3
hösi,2
meleg,50
osztályban,1
levenni,20
valahol,28
helyünk,3
hallani,4
idefigyel,1
János,20
megmarad,3
varva,1
tudjuk,23
próbald,1
akvárium,3
akváriumba,1
gonosz,21
benn,16
elromlott,52
próbalta,1
kerék,23
romolva,4
megkapod,2
kapom,7
hiszem,41
jólesz,1
kalapács,36
kalapácsunk,2
kapja,15
biciklit,8
odaadtam,2
Évának,5
tudnak,5
meleged,7
elmész,14
kakálni,5
vehetem,1
veheti,1
kép,13
brrr,15
szinüt,1
úgyanaz,2
cipőt,5
kikötöm,1
cipő,5
levegyem,4
legcsunyább,1
farmer,2
kislánynak,6
fiu,7
hozzátok,5
csináljuk,19
brrrrrr,3
kivetted,5
csengik,2
csengett,1
csengés,1
megszerelem,1
megcserélni,1
nemjó,1
dugni,5
nyelve,5
madár,46
elrepült,12
telefonálj,1
Tomi,8
anyukát,6
hívod,2
szaladgáljatok,1
hóember,5
huuú,1
ment,74
visszament,7
gyer,2
veled,23
engedje,2
gyereket,6
játékokat,21
becsukom,2
halacskával,3
játszom,12
rontsak,2
megcsinálod,3
rontsuk,3
rontva,1
legnagyobb,10
tötönöm,1
térem,1
tépen,1
mondtál,15
teté,2
mondtad,22
kötyönöm,1
anyuci,84
utcán,12
tetted,9
eldobni,2
óóo,1
vetted,15
szépem,1
csikot,1
csikós,1
csikos,1
szemit,6
szemét,20
mondja,66
látja,7
köpködni,4
modják,1
szemedbe,8
sötét,13
sirtam,1
sirtál,1
mond,78
visszakapcsolta,1
villany,4
bekapcsoltál,1
kapcsoltál,1
villanyt,6
éjjel,3
szilárd,2
kemény,9
bejött,7
késziti,1
készitje,1
ennek,61
látszik,28
elbujt,13
pepe,1
csunyán,3
beszélsz,15
halacs,6
cica,47
reggeliztem,3
verekedjetek,22
székre,17
ülni,36
ülök,12
mászni,13
belemászok,1
tőletek,1
eeeee,1
eeea,1
legyél,13
repülőgéppel,4
drága,25
járunk,1
jártam,3
pirinyó,2
állatkertbe,13
oroszlánt,3
tigriseket,1
brr,8
rosszabb,1
vagyik,1
ördög,18
legrosszabb,1
borzasztó,6
borzamos,1
bemászik,3
ládába,1
mér,25
labába,1
oroszlánnak,2
ismered,9
vizilót,2
vizilovat,2
ismerem,9
vizilomat,2
vizilónak,2
mekkora,6
sovány,1
vizilóról,1
beszélünk,1
szépet,13
pisilni,59
autónak,3
hid,18
kimegy,8
hidon,11
át,41
átmegy,9
szétromlott,3
ahid,1
eveszi,1
Bácsi,1
autóbusszal,2
beleestem,6
megharapta,10
afarkas,1
macskát,2
átmenni,1
mennni,1
lassan,33
beszéljél,4
eldül,1
megcsinálom,25
szedve,3
tornyt,1
törpe,48
bumtata,2
mumtata,5
mondfani,1
fogalmam,1
sincs,8
értelme,2
mimtete,1
mintete,1
szétszedünk,1
leülni,17
aszéken,1
székem,2
kéred,58
széket,34
széken,15
nálad,16
harmadik,6
visszanéz,1
szétdobálni,2
kockát,26
dobálás,1
szétrontottam,1
kámat,1
belőled,4
játszol,37
piacre,1
megvesz,2
viszi,16
fiuval,1
avval,24
toronyt,19
nemlesz,2
mondod,42
megvancsinálva,1
várnak,4
toronya,3
tornya,2
szeme,50
kihúzott,1
fánci,3
föll,1
föltetted,1
orrát,13
vár,19
leborul,2
babák,26
vigyázni,14
sullya,1
leszakad,1
juuj,4
leboritottad,1
dölni,2
dülni,7
csodálatos,10
majdnem,30
földrengés,1
ledoül,1
Jancsikám,1
nene,4
rázd,5
er,2
rázzam,1
döntsed,1
rázzad,2
ledülni,1
figyeljétek,1
figyeljetek,4
házakat,3
alacsony,1
errébb,1
eldúlt,1
dült,3
eldöntötted,1
megya,1
repülő,7
kutyusod,1
nézzem,39
házikót,15
ebédem,1
délkor,1
vacsorázom,1
Karcsikám,1
vacsorázol,2
ebédel,1
ágyon,6
anyu,272
ideülök,5
forog,20
évikám,1
vanneked,1
találjuk,2
Gyuri,21
adjuk,24
őneki,1
öneki,2
elége,1
korona,3
pis,4
régo,1
beszéljünk,2
telefonon,9
ütni,1
csecse,3
kötényedben,2
bogárka,1
kicsike,5
hintapalinta,2
iskola,3
mutatni,3
gyerekeknek,5
szeretné,2
mingyárt,1
tapikó,1
béka,17
giga,2
aaa,4
miga,1
figa,1
elesni,1
vegyek,2
alsó,2
kötény,16
kiabálás,2
nádi,3
hededü,1
hegedü,2
számoljál,4
számolj,1
Béla,4
hoz,21
játsszatok,4
dobóval,1
husz,1
mást,15
Miklóska,1
beletegyem,2
fözzél,1
teát,18
tegyünk,24
készitesz,1
szólok,7
kevés,10
megiszod,3
kapsz,50
ittál,6
fé,3
füzni,5
várj,24
várni,4
mamikám,2
telefon,31
mamikának,1
számolsz,2
hálom,1
öt,25
épitve,1
e,70
ketoö,1
hat,15
hét,6
Gáborka,1
Erzsitől,1
daru,25
mentö,4
darut,3
fordits,2
számolni,4
számolunk,2
kilenc,8
Györika,1
Györike,1
kössz,1
nyolc,18
elromlik,3
negy,4
beleeszik,1
kapcsoljál,1
kaptad,18
karkötöt,10
jöttél,17
tizre,1
használom,1
tettem,7
tetete,2
