SF	Freq	Lemma	Analysis	Segmentation
mondani	36	mond	V-NFIN	mond-ani
én	2778	én	N.NOM.SG	én
mondok	5	mond	V-IND.PRS.INDF.1.SG	mond-ok
éva	55	éva	N.NOM.SG	éva
tudod	593	tud	V-IND.PRS.DEF.2.SG	tud-od
keze	33	kéz	N.NOM-PSS3S.SG	kéz-e
kutyának	5	kutya	N.SG-DAT.SG	kutya-nak
lába	82	lába	N.NOM.SG	lába
négy	64	négy	N.NOM.SG	négy
szeret	20	szeret	V.IND.PRS.INDF.3.SG	szeret
ebédelni	31	ebédel	V-NFIN	ebédel-ni
tésztát	5	tészta	N.SG-ACC	tészta-t
levest	16	leves	N.SG-ACC	leves-t
hús	13	hús	N.NOM.SG	hús
csontot	1	csont	N.SG-ACC	csont-ot
föl	264	föl	N.NOM.SG	föl
állj	23	áll	V-SBJV.PRS.INDF.2.SG	áll-j
mondd	129	mond	V-SBJV.PRS.DEF.2.SG	mond-d
viktor	32	viktor	N.NOM.SG	viktor
kérdez	1	kérdez	V.IND.PRS.INDF.3.SG	kérdez
lábát	31	láb	N.SG-PSS3S-ACC	láb-a-t
hallottad	4	hall	V-IND.PST.DEF.2.SG	hall-ottad
micsoda	173	micsoda	N.NOM.SG	micsoda
tedd	190	tesz	V-SBJV.PRS.DEF.2.SG	tesz-d
elvette	86	elvesz	V-IND.PST.DEF.3.SG	elvesz-tte
vidd	33	visz	V-SBJV.PRS.DEF.2.SG	visz-d
adja	31	ad	V-IND.PRS.DEF.3.SG	ad-ja
kecske	14	kecske	N.NOM.SG	kecske
hangja	8	hang	N.NOM-PSS3S.SG	hang-ja
kérsz	307	kér	V-IND.PRS.INDF.2.SG.asz	kér-sz
kicsit	268	kicsi	ADJ.SG-ACC	kicsi-t
odaadja	10	odaad	V-IND.PRS.DEF.3.SG	odaad-ja
gyenge	3	gyenge	N.NOM.SG	gyenge
legény	1	legény	N.NOM.SG	legény
vedd	158	vesz	V-SBJV.PRS.DEF.2.SG	vesz-d
legyen	71	lesz	V-SBJV.PRS.INDF.3.SG	lesz-jen
odaadom	38	odaad	V-IND.PRS.DEF.1.SG	odaad-om
fogadj	2	fogad	V-SBJV.PRS.INDF.2.SG	fogad-j
képzeld	19	képzel	V-SBJV.PRS.DEF.2.SG	képzel-d
kávét	39	kávé	N.SG-ACC	kávé-t
tejes	2	tejes	ADJ.NOM.SG	tejes
fekete	81	fekete	N.NOM.SG	fekete
oroszlán	56	oroszlán	N.NOM.SG	oroszlán
állat	36	állat	N.NOM.SG	állat
figyelj	145	figyel	V-SBJV.PRS.INDF.2.SG	figyel-j
fog	234	fog	N.NOM.SG	fog
jönni	43	jön	V-NFIN	jön-ni
néni	795	néni	N.NOM.SG	néni
fáradt	24	fárad	V-IND.PST.INDF.3.SG	fárad-t
sír	143	sír	N.NOM.SG	sír
bajusza	33	bajusz	N.NOM-PSS3S.SG	bajusz-a
bajuszom	5	bajusz	N.NOM-PSS1S.SG	bajusz-om
sírok	12	sír	N.NOM-PL	sír-ok
látod	372	lát	V-IND.PRS.DEF.2.SG	lát-od
görbe	10	görbe	N.NOM.SG	görbe
szegénynek	3	szegény	N.SG-DAT.SG	szegény-nek
hát	1188	há	N.SG-ACC	há-t
vigasztald	1	vigasztal	V-SBJV.PRS.DEF.2.SG	vigasztal-d
fogd	62	fog	V-SBJV.PRS.DEF.2.SG	fog-d
füled	6	fül	N.NOM-PSS2S.SG	fül-ed
sütve	3	süt	V-V.CVB	süt-ve
ma	130	ma	N.NOM.SG	ma
popsija	3	popsi	N.NOM-PSS3S.SG	popsi-ja
csinált	71	csinál	V-IND.PST.INDF.3.SG	csinál-t
pisilt	9	pisil	V-IND.PST.INDF.3.SG	pisil-t
rontotta	5	ront	V-IND.PST.DEF.3.SG	ront-otta
fülét	6	fül	N.SG-PSS3S-ACC	fül-e-t
mért	108	mér	V-IND.PST.INDF.3.SG	mér-t
beteg	84	beteg	N.NOM.SG	beteg
csinálsz	256	csinál	V-IND.PRS.INDF.2.SG.asz	csinál-sz
rétest	1	rétes	N.SG-ACC	rétes-t
rétes	1	rétes	N.NOM.SG	rétes
megint	126	megint	V.IND.PRS.INDF.3.SG	megint
nagy	674	nagy	N.NOM.SG	nagy
ágy	42	ágy	N.NOM.SG	ágy
takard	10	takar	V-SBJV.PRS.DEF.2.SG	takar-d
takaró	25	takaró	N.NOM.SG	takaró
szép	575	szép	ADJ.NOM.SG	szép
paplan	5	paplan	N.NOM.SG	paplan
jaj	721	jaj	N.NOM.SG	jaj
adom	277	ad	V-IND.PRS.DEF.1.SG	ad-om
folyik	23	folyik	V.IND.PRS.INDF.3.SG	folyik
vér	5	vér	N.NOM.SG	vér
lábán	7	láb	N.SG-PSS3S-ON+ESS	láb-a-n
fehérrel	1	fehér	N.SG-INST	fehér-vel
kékem	1	kék	N.NOM-PSS1S.SG	kék-em
kicsi	445	kicsi	ADJ.NOM.SG	kicsi
helyen	7	hely	N.SG-ON+ESS	hely-en
vérzik	12	vérzik	V.IND.PRS.INDF.3.SG	vérzik
vérzett	5	vérzik	V-IND.PST.INDF.3.SG	vérz-ett
aranyos	95	aranyos	ADJ.NOM.SG	aranyos
gyógyult	5	gyógyul	V-IND.PST.INDF.3.SG	gyógyul-t
összeszedni	3	összeszed	V-NFIN	összeszed-ni
légy	54	légy	N.NOM.SG	légy
anyuka	39	anyuka	N.NOM.SG	anyuka
ennek	89	enn	N.NOM-PL	enn-ek
nézem	24	néz	V-IND.PRS.DEF.1.SG	néz-em
farkát	4	farok	N.SG-PSS3S-ACC	farok-a-t
farka	38	farka	N.NOM.SG	farka
értem	26	ér	V-IND.PST.INDF.1.SG	ér-tem
végig	6	vég	N.SG-TERM	vég-ig
takarni	4	takar	V-NFIN	takar-ni
igaza	2	igaz	N.NOM-PSS3S.SG	igaz-a
aludni	200	alszik	V-NFIN	alud-ni
leveszik	2	levesz	V-IND.PRS.DEF.3.PL.ik	levesz-ik
biztos	79	biztos	N.NOM.SG	biztos
álmos	14	álmos	ADJ.NOM.SG	álmos
lehet	395	lesz	V-POT	lesz-het
fáradva	1	fárad	V-V.CVB	fárad-va
gondolom	6	gondol	V-IND.PRS.DEF.1.SG	gondol-om
éhes	45	éhes	ADJ.NOM.SG	éhes
akar	45	akar	V.IND.PRS.INDF.3.SG	akar
ebédre	2	ebéd	N.SG-ON+ALL	ebéd-re
vacsorát	3	vacsora	N.SG-ACC	vacsora-t
lesz	636	lesz	V.IND.PRS.INDF.3.SG	lesz
vacsora	3	vacsora	N.NOM.SG	vacsora
szegényke	7	szegényke	N.NOM.SG	szegényke
szabad	539	szabad	N.NOM.SG	szabad
kivenni	55	kivesz	V-NFIN	kivesz-nni
fölösleges	1	fölösleges	ADJ.NOM.SG	fölösleges
játék	68	játék	N.NOM.SG	játék
beteszem	28	betesz	V-IND.PRS.DEF.1.SG	betesz-em
kivette	2	kivesz	V-IND.PST.DEF.3.SG	kivesz-tte
helikopter	13	helikopter	N.NOM.SG	helikopter
levegyük	9	levesz	V-SBJV.PRS.DEF.1.PL	levesz-jük
vegyük	45	vesz	V-SBJV.PRS.DEF.1.PL	vesz-jük
kötényt	27	kötény	N.SG-ACC	kötény-t
mondta	75	mond	V-IND.PST.DEF.3.SG	mond-ta
kérlek	10	kér	V-IND.PRS.LGSPEC1.1.SG	kér-lek
adta	15	ad	V-IND.PST.DEF.3.SG	ad-ta
odaadni	19	odaad	V-NFIN	odaad-ni
megnézzem	4	megnéz	V-SBJV.PRS.DEF.1.SG	megnéz-jem
adod	50	ad	V-IND.PRS.DEF.2.SG	ad-od
ügyes	192	ügyes	ADJ.NOM.SG	ügyes
essen	11	ess	N.SG-ON+ESS	ess-en
vigyázz	270	vigyáz	V-SBJV.PRS.INDF.2.SG	vigyáz-j
vigyázol	10	vigyáz	V-IND.PRS.INDF.2.SG.Ol	vigyáz-ol
igyekezz	1	igyekezik	V-SBJV.PRS.INDF.2.SG	igyekez-j
jövök	97	jön	V-IND.PRS.INDF.1.SG	jön-ök
goromba	1	goromba	ADJ.NOM.SG	goromba
menjen	41	megy	V-SBJV.PRS.INDF.3.SG	megy-jen
gabi	34	gabi	N.NOM.SG	gabi
beszélj	22	beszél	V-SBJV.PRS.INDF.2.SG	beszél-j
finom	146	finom	ADJ.NOM.SG	finom
zöldséget	7	zöldség	N.SG-ACC	zöldség-et
pucolni	2	pucol	V-NFIN	pucol-ni
reszelni	1	reszel	V-NFIN	reszel-ni
csukni	6	csuk	V-NFIN	csuk-ni
ajtót	39	ajtó	N.SG-ACC	ajtó-t
elveszem	50	elvesz	V-IND.PRS.DEF.1.SG	elvesz-em
akarod	58	akar	V-IND.PRS.DEF.2.SG	akar-od
tenni	56	tesz	V-NFIN	tesz-nni
beszélni	33	beszél	V-NFIN	beszél-ni
közben	12	köz	N.SG-IN+ESS	köz-ben
tej	16	tej	N.NOM.SG	tej
betetted	3	betesz	V-IND.PST.DEF.2.SG	betesz-tted
betettem	7	betesz	V-IND.PST.INDF.1.SG	betesz-ttem
sok	245	sok	ADJ.NOM.SG	sok
nyitni	13	nyit	V-NFIN	nyit-ni
nyiss	4	nyit	V-SBJV.PRS.INDF.2.SG	nyit-j
gázt	7	gáz	N.SG-ACC	gáz-t
lábast	2	lábas	N.SG-ACC	lábas-t
tette	8	tette	N.NOM.SG	tette
gázra	1	gáz	N.SG-ON+ALL	gáz-ra
rakni	42	rak	V-NFIN	rak-ni
bele	192	bel	N.NOM-PSS3S.SG	bel-e
sütjük	1	süt	V-IND.PRS.DEF.1.PL	süt-jük
süteményt	3	sütemény	N.SG-ACC	sütemény-t
teszem	46	tesz	V-IND.PRS.DEF.1.SG	tesz-em
sütemény	11	sütemény	N.NOM.SG	sütemény
fogjuk	12	fog	V-IND.PRS.DEF.1.PL	fog-juk
megtölteni	2	megtölt	V-NFIN	megtölt-eni
fogom	52	fog	V-IND.PRS.DEF.1.SG	fog-om
sül	1	sül	N.NOM.SG	sül
pirul	1	pirul	V.IND.PRS.INDF.3.SG	pirul
kihúzom	2	kihúz	V-IND.PRS.DEF.1.SG	kihúz-om
forró	48	forr	V-V.PTCP.PRS	forr-ó
oltani	1	olt	V-NFIN	olt-ani
erre	62	err	N.SG-ON+ALL	err-re
becsukom	10	becsuk	V-IND.PRS.DEF.1.SG	becsuk-om
veszed	20	vesz	V-IND.PRS.DEF.2.SG	vesz-ed
kisebb	11	kisebb	ADJ.NOM.SG	kisebb
fér	73	fér	V.IND.PRS.INDF.3.SG	fér
ebbe	120	eb	N.SG-IN+ALL	eb-be
készen	27	kész	ADJ.SG-ON+ESS	kész-en
mosogatok	5	mosogat	V-IND.PRS.INDF.1.SG	mosogat-ok
mosd	24	mos	V-SBJV.PRS.DEF.2.SG	mos-d
adok	106	ad	V-IND.PRS.INDF.1.SG	ad-ok
ügyesen	53	ügyes	ADJ.SG-ON+ESS	ügyes-en
zárd	6	zár	V-SBJV.PRS.DEF.2.SG	zár-d
kész	113	kész	ADJ.NOM.SG	kész
ebédet	30	ebéd	N.SG-ACC	ebéd-et
tud	136	tud	V.IND.PRS.INDF.3.SG	tud
sikerült	23	sikerül	V-IND.PST.INDF.3.SG	sikerül-t
eszek	9	esz	N.NOM-PL	esz-ek
tészta	14	tészta	N.NOM.SG	tészta
leteszem	4	letesz	V-IND.PRS.DEF.1.SG	letesz-em
elcsúszik	1	elcsúszik	V.IND.PRS.INDF.3.SG	elcsúszik
lássam	6	lát	V-SBJV.PRS.DEF.1.SG	lát-jam
betesszük	17	betesz	V-IND.PRS.DEF.1.PL	betesz-jük
finomat	11	finom	ADJ.SG-ACC	finom-at
menni	167	megy	V-NFIN	megy-nni
vegyétek	2	vesz	V-SBJV.PRS.DEF.2.PL	vesz-jétek
ebéd	62	ebéd	N.NOM.SG	ebéd
sajt	18	sajt	N.NOM.SG	sajt
palacsinta	8	palacsinta	N.NOM.SG	palacsinta
hasa	49	hasa	N.NOM.SG	hasa
leszedjük	3	leszed	V-IND.PRS.DEF.1.PL	leszed-jük
asztalt	26	asztal	N.SG-ACC	asztal-t
vizes	37	vizes	ADJ.NOM.SG	vizes
asztal	61	asztal	N.NOM.SG	asztal
tudom	445	tud	V-IND.PRS.DEF.1.SG	tud-om
baja	28	baj	N.NOM-PSS3S.SG	baj-a
csukd	38	csuk	V-SBJV.PRS.DEF.2.SG	csuk-d
fogok	43	fog	V-IND.PRS.INDF.1.SG	fog-ok
viktornak	3	viktor	N.SG-DAT.SG	viktor-nak
sokat	68	sok	ADJ.SG-ACC	sok-at
gulyás	1	gulyás	N.NOM.SG	gulyás
pörkölt	5	pörkölt	N.NOM.SG	pörkölt
kávé	37	kávé	N.NOM.SG	kávé
villa	15	villa	N.NOM.SG	villa
kanál	24	kanál	N.NOM.SG	kanál
eszünk	21	eszünk	N.NOM.SG	eszünk
ebéded	1	ebéd	N.NOM-PSS2S.SG	ebéd-ed
igaz	80	igaz	N.NOM.SG	igaz
törve	11	tör	V-V.CVB	tör-ve
akarsz	169	akar	V-IND.PRS.INDF.2.SG.asz	akar-sz
eszem	12	eszem	N.NOM.SG	eszem
eszed	4	eszed	N.NOM.SG	eszed
esz	11	esz	N.NOM.SG	esz
galuskával	1	galuska	N.SG-INST	galuska-val
sajtot	4	sajt	N.SG-ACC	sajt-ot
reszelsz	1	reszel	V-IND.PRS.INDF.2.SG.asz	reszel-sz
elég	94	elég	N.NOM.SG	elég
kérünk	12	kér	V-IND.PRS.INDF.1.PL	kér-ünk
pörköltöt	1	pörkölt	N.SG-ACC	pörkölt-öt
hozni	20	hoz	V-NFIN	hoz-ni
konyhából	1	konyha	N.SG-IN+ABL	konyha-ból
várj	32	vár	V-SBJV.PRS.INDF.2.SG	vár-j
nézze	11	néz	V-SBJV.PRS.DEF.3.SG	néz-je
oldalon	6	oldal	N.SG-ON+ESS	oldal-on
láthat	1	lát	V-POT	lát-hat
volt	528	volt	N.NOM.SG	volt
hülyéskedj	1	hülyéskedik	V-SBJV.PRS.INDF.2.SG	hülyésked-j
fújni	9	fúj	V-NFIN	fúj-ni
száddal	3	száj	N.SG-PSS2S-INST	száj-d-val
orral	1	orr	N.SG-INST	orr-val
mer	25	mer	V.IND.PRS.INDF.3.SG	mer
háta	17	háta	N.NOM.SG	háta
pohár	26	pohár	N.NOM.SG	pohár
lett	84	lett	N.NOM.SG	lett
venni	55	vesz	V-NFIN	vesz-nni
lusta	3	lusta	ADJ.NOM.SG	lusta
kitalálják	1	kitalál	V-IND.PRS.DEF.3.PL	kitalál-ják
feküdni	15	fekszik	V-NFIN	feküd-ni
akarnak	5	akar	V-IND.PRS.INDF.3.PL	akar-nak
hasad	17	has	N.NOM-PSS2S.SG	has-ad
fényes	1	fényes	ADJ.NOM.SG	fényes
ügyesek	3	ügyes	ADJ.NOM-PL	ügyes-ek
bácsival	15	bácsi	N.SG-INST	bácsi-val
kakaó	26	kakaó	N.NOM.SG	kakaó
akarja	20	akar	V-IND.PRS.DEF.3.SG	akar-ja
kakaót	12	kakaó	N.SG-ACC	kakaó-t
mostoha	1	mostoha	N.NOM.SG	mostoha
kaptam	38	kap	V-IND.PST.INDF.1.SG	kap-tam
betenni	20	betesz	V-NFIN	betesz-nni
csinálok	111	csinál	V-IND.PRS.INDF.1.SG	csinál-ok
angyalt	3	angyal	N.SG-ACC	angyal-t
angyal	5	angyal	N.NOM.SG	angyal
magyar	3	magyar	N.NOM.SG	magyar
koszt	7	kosz	N.SG-ACC	kosz-t
szobába	61	szoba	N.SG-IN+ALL	szoba-ba
visszamenni	14	visszamegy	V-NFIN	visszamegy-nni
akarok	83	akar	V-IND.PRS.INDF.1.SG	akar-ok
tepsi	16	tepsi	N.NOM.SG	tepsi
malacok	8	malac	N.NOM-PL	malac-ok
vitte	13	visz	V-IND.PST.DEF.3.SG	visz-tte
láttam	38	lát	V-IND.PST.INDF.1.SG	lát-tam
tepsit	4	tepsi	N.SG-ACC	tepsi-t
malac	18	malac	N.NOM.SG	malac
kórházba	16	kórház	N.SG-IN+ALL	kórház-ba
vinni	11	visz	V-NFIN	visz-nni
bevinni	3	bevisz	V-NFIN	bevisz-nni
letesszük	1	letesz	V-IND.PRS.DEF.1.PL	letesz-jük
nyisd	39	nyit	V-SBJV.PRS.DEF.2.SG	nyit-d
megnézed	7	megnéz	V-IND.PRS.DEF.2.SG	megnéz-ed
ujjad	19	ujj	N.NOM-PSS2S.SG	ujj-ad
egész	37	egész	N.NOM.SG	egész
piszkos	175	piszkos	ADJ.NOM.SG	piszkos
kalács	2	kalács	N.NOM.SG	kalács
láng	4	láng	N.NOM.SG	láng
lángja	2	láng	N.NOM-PSS3S.SG	láng-ja
hozom	153	hoz	V-IND.PRS.DEF.1.SG	hoz-om
csináltok	14	csinál	V-IND.PRS.INDF.2.PL	csinál-tok
kalácsot	6	kalács	N.SG-ACC	kalács-ot
szeretitek	1	szeret	V-IND.PRS.DEF.2.PL	szeret-itek
lenni	29	lesz	V-NFIN	lesz-nni
lisztet	1	liszt	N.SG-ACC	liszt-et
csinálod	16	csinál	V-IND.PRS.DEF.2.SG	csinál-od
darálva	4	darál	V-V.CVB	darál-va
daráló	1	daráló	N.NOM.SG	daráló
darált	1	darál	V-IND.PST.INDF.3.SG	darál-t
magasra	17	magas	ADJ.SG-ON+ALL	magas-ra
palacsintát	12	palacsinta	N.SG-ACC	palacsinta-t
rágó	1	rágó	N.NOM.SG	rágó
magas	44	magas	ADJ.NOM.SG	magas
látom	126	lát	V-IND.PRS.DEF.1.SG	lát-om
nézzük	118	néz	V-IND.PRS.DEF.1.PL	néz-jük
jön	416	jön	V.IND.PRS.INDF.3.SG	jön
kacsa	46	kacs	N.NOM-PSS3S.SG	kacs-a
szeretnék	40	szeret	V-COND.PRS.INDF.1.SG	szeret-nék
kacsák	8	kacs	N-NOM.PSS3S-PL	kacs-a-k
saláta	7	saláta	N.NOM.SG	saláta
levelet	10	levél	N.SG-ACC	levél-et
szereti	42	szeret	V-IND.PRS.DEF.3.SG.i	szeret-i
add	303	ad	V-SBJV.PRS.DEF.2.SG	ad-d
engedd	7	enged	V-SBJV.PRS.DEF.2.SG	enged-d
visszaadom	9	visszaad	V-IND.PRS.DEF.1.SG	visszaad-om
kacsát	12	kacs	N.SG-PSS3S-ACC	kacs-a-t
poros	3	poros	ADJ.NOM.SG	poros
feltartja	1	feltart	V-IND.PRS.DEF.3.SG	feltart-ja
veszekedni	6	veszekedik	V-NFIN	veszeked-ni
kacs	2	kacs	N.NOM.SG	kacs
vége	46	vége	N.NOM.SG	vége
kijött	39	kijön	V-IND.PST.INDF.3.SG	kijön-tt
feje	41	fej	N.NOM-PSS3S.SG	fej-e
vendégünk	2	vendég	N.NOM-PSS1P.SG	vendég-ünk
vendég	4	vendég	N.NOM.SG	vendég
játszunk	113	játszik	V-IND.PRS.INDF.1.PL	játsz-unk
ragasztva	5	ragaszt	V-V.CVB	ragaszt-va
falon	4	fal	N.SG-ON+ESS	fal-on
ragasztani	1	ragaszt	V-NFIN	ragaszt-ani
elment	176	elment	V.IND.PRS.INDF.3.SG	elment
mérges	31	mérges	ADJ.NOM.SG	mérges
kapott	16	kap	V-IND.PST.INDF.3.SG	kap-ott
kap	40	kap	V.IND.PRS.INDF.3.SG	kap
megcsinálom	31	megcsinál	V-IND.PRS.DEF.1.SG	megcsinál-om
lót	4	lót	V.IND.PRS.INDF.3.SG	lót
szállok	5	száll	V-IND.PRS.INDF.1.SG	száll-ok
leestél	9	leesik	V-IND.PST.INDF.2.SG	lees-tél
mókus	94	mókus	N.NOM.SG	mókus
elvenni	20	elvesz	V-NFIN	elvesz-nni
koros	1	koros	ADJ.NOM.SG	koros
mutasd	172	mutat	V-SBJV.PRS.DEF.2.SG	mutat-d
rókát	46	róka	N.SG-ACC	róka-t
leült	2	leül	V-IND.PST.INDF.3.SG	leül-t
leülsz	8	leül	V-IND.PRS.INDF.2.SG.asz	leül-sz
löktek	1	lök	V-IND.PST.INDF.3.PL	lök-tek
csináljunk	158	csinál	V-SBJV.PRS.INDF.1.PL	csinál-junk
sárgát	25	sárga	ADJ.SG-ACC	sárga-t
csinálta	15	csinál	V-IND.PST.DEF.3.SG	csinál-ta
adsz	70	ad	V-IND.PRS.INDF.2.SG.asz	ad-sz
fehéret	18	fehér	N.SG-ACC	fehér-et
feketét	45	fekete	N.SG-ACC	fekete-t
kéket	26	kék	N.SG-ACC	kék-et
tegyük	82	tesz	V-SBJV.PRS.DEF.1.PL	tesz-jük
csinálni	111	csinál	V-NFIN	csinál-ni
hagyjuk	13	hagy	V-IND.PRS.DEF.1.PL	hagy-juk
játszani	121	játszik	V-NFIN	játsz-ani
sarkon	2	sark	N.SG-ON+ESS	sark-on
tudok	168	tud	V-IND.PRS.INDF.1.SG	tud-ok
éváé	6	éva	N.SG-PSS4S	éva-é
köténye	4	kötény	N.NOM-PSS3S.SG	kötény-e
mellé	17	mell	N.SG-TRANS	mell-vé
tegyétek	2	tesz	V-SBJV.PRS.DEF.2.PL	tesz-jétek
fia	1	fi	N.NOM-PSS3S.SG	fi-a
tesszük	22	tesz	V-IND.PRS.DEF.1.PL	tesz-jük
pirost	6	piros	N.SG-ACC	piros-t
teszi	8	tesz	V-IND.PRS.DEF.3.SG.i	tesz-i
raktam	4	rak	V-IND.PST.INDF.1.SG	rak-tam
adtál	26	ad	V-IND.PST.INDF.2.SG	ad-tál
tegyen	1	tesz	V-SBJV.PRS.INDF.3.SG	tesz-jen
visszamegy	9	visszamegy	V.IND.PRS.INDF.3.SG	visszamegy
ajándékoztam	2	ajándékoz	V-IND.PST.INDF.1.SG	ajándékoz-tam
misi	23	misi	N.NOM.SG	misi
néninek	33	néni	N.SG-DAT.SG	néni-nek
rakjunk	7	rak	V-SBJV.PRS.INDF.1.PL	rak-junk
sorban	7	sor	N.SG-IN+ESS	sor-ban
rakjuk	44	rak	V-IND.PRS.DEF.1.PL	rak-juk
fehér	55	fehér	N.NOM.SG	fehér
maradni	8	marad	V-NFIN	marad-ni
órám	5	óra	N.NOM-PSS1S.SG	óra-m
világit	3	világi	ADJ.SG-ACC	világi-t
lámpa	35	lámpa	N.NOM.SG	lámpa
bácsit	69	bácsi	N.SG-ACC	bácsi-t
párnát	20	párna	N.SG-ACC	párna-t
csináljak	56	csinál	V-SBJV.PRS.INDF.1.SG	csinál-jak
puskám	49	puska	N.NOM-PSS1S.SG	puska-m
puska	44	puska	N.NOM.SG	puska
kocka	70	kocka	N.NOM.SG	kocka
igazi	26	igazi	N.NOM.SG	igazi
puskát	20	puska	N.SG-ACC	puska-t
puskával	4	puska	N.SG-INST	puska-val
szobában	27	szoba	N.SG-IN+ESS	szoba-ban
dobozt	15	doboz	N.SG-ACC	doboz-t
motor	41	motor	N.NOM.SG	motor
rádióba	1	rádió	N.SG-IN+ALL	rádió-ba
hány	70	hány	V.IND.PRS.INDF.3.SG	hány
rádió	36	rádió	N.NOM.SG	rádió
három	110	három	N.NOM.SG	három
elrontotta	19	elront	V-IND.PST.DEF.3.SG	elront-otta
peti	16	peti	N.NOM.SG	peti
mondasz	9	mond	V-IND.PRS.INDF.2.SG.asz	mond-asz
elrontottál	2	elront	V-IND.PST.INDF.2.SG	elront-ottál
rossz	89	rossz	N.NOM.SG	rossz
legjobb	11	legjobb	ADJ.NOM.SG	legjobb
legszebb	15	legszebb	ADJ.NOM.SG	legszebb
hajam	14	hajam	N.NOM.SG	hajam
fiatal	3	fiatal	N.NOM.SG	fiatal
hajad	8	haj	N.NOM-PSS2S.SG	haj-ad
eldobom	10	eldob	V-IND.PRS.DEF.1.SG	eldob-om
eldobtam	17	eldob	V-IND.PST.INDF.1.SG	eldob-tam
eldobta	18	eldob	V-IND.PST.DEF.3.SG	eldob-ta
tóban	8	tó	N.SG-IN+ESS	tó-ban
fiatalabb	1	fiatal	ADJ.NOM.SG-CMPR	fiatal-abb
szakáll	4	szakáll	N.NOM.SG	szakáll
haja	19	haj	N.NOM-PSS3S.SG	haj-a
bedobtam	4	bedob	V-IND.PST.INDF.1.SG	bedob-tam
sírjak	3	sír	V-SBJV.PRS.INDF.1.SG	sír-jak
csinálunk	76	csinál	V-IND.PRS.INDF.1.PL	csinál-unk
csinálj	40	csinál	V-SBJV.PRS.INDF.2.SG	csinál-j
sírni	42	sír	V-NFIN	sír-ni
történt	50	történik	V-IND.PST.INDF.3.SG	történ-t
papucsot	38	papucs	N.SG-ACC	papucs-ot
könnyet	1	könny	N.SG-ACC	könny-et
könny	1	könny	N.NOM.SG	könny
csinálja	20	csinál	V-IND.PRS.DEF.3.SG	csinál-ja
farkas	114	farkas	N.NOM.SG	farkas
például	22	példa	N.SG-BYWAY	példa-ul
