Word,Frequency
löktek,1
lépjél,7
csináljunk,158
sárgát,25
aki,47
csinálta,15
adsz,70
fehéret,18
pedig,164
feketét,45
pirosat,34
kéket,26
tegyük,82
szivem,7
csinálni,111
ezeket,41
rakjál,10
hagyjuk,13
feketél,1
tegyél,43
játszani,121
ezen,44
sarkon,2
tudok,168
segitsz,1
szönyegen,1
Éváé,6
köténye,4
egymás,11
mellé,17
tegyétek,2
fia,1
tesszük,22
olyat,34
oldálon,1
visszajöttek,2
gyerekek,112
odarakni,2
uj,30
sorat,1
elôször,33
pirost,6
hagyjad,10
en,20
mittegyél,1
idetettem,1
teszi,8
jo,28
raktam,4
ami,54
adtál,26
tegeyen,1
tegyen,1
két,142
mellett,10
más,42
összetépte,2
focival,2
bumm,86
poci,2
visszamegy,9
addig,78
ajándékoztam,2
fiut,3
Misi,23
néninek,33
rakjunk,7
szbad,8
sorban,7
rakjuk,44
tojásot,1
fehér,55
fejéje,1
hova,544
maradni,8
órám,5
ezek,263
világit,3
kint,65
lámpa,35
lödd,38
bácsit,69
falud,1
Faludi,40
forditsak,2
párnát,20
csináljak,56
puskám,49
puska,44
kocka,70
igazi,26
úgyanazt,1
puskát,20
mint,91
pusákt,1
puskával,4
löni,6
szobában,27
belerakja,2
dobozt,15
lölek,1
lelötted,6
engem,61
motorkám,1
motor,41
rádio,25
belelöttem,1
rádióba,1
gyerkek,1
hány,70
rádió,36
kettó,4
három,110
odanézz,40
elrontotta,19
elôrontotta,1
hivják,17
hivnak,12
Peti,16
Petike,3
mondasz,9
elrontottál,2
hétfön,1
birni,1
rossz,89
legjobb,11
legszebb,15
ahaja,1
szöke,1
hajam,14
mikor,76
fiatal,3
hajad,8
eldobom,10
eldobtam,17
vizbe,105
eldobta,18
tóban,8
hhhh,2
visszanö,1
ahányszor,1
annyiszor,2
visszanó,1
amikor,117
fiatalabb,1
voltam,37
szakállom,1
szakáll,4
haja,19
letépem,1
szakállodat,1
bedobtam,4
viz,42
lelöttelek,2
egyik,82
egyiket,13
elviszi,24
sírjak,3
zsebkendöt,2
csinálunk,76
csinálj,40
azér,14
sírni,42
történt,50
bármi,1
elvitt,13
pacsa,1
papucsot,38
puskámat,5
könnyet,1
könny,1
Krampusz,15
csinálja,20
farkas,114
például,22
testvéred,9
beledobja,1
testvére,12
nagyobb,32
megharapta,18
félem,3
ettôl,8
mitôl,8
farkastól,3
birom,7
vagyunk,61
ti,56
farkasok,10
szokott,43
ugrálni,10
hátra,10
elôre,7
ugrál,19
foga,6
fogaidat,1
kozik,1
Mici,11
fogaid,2
farkasnak,2
sza,2
szájból,1
erdöben,1
csináltam,33
voltak,15
nyuszikák,2
kézeld,1
képeld,1
bekapták,1
sírt,18
modtál,1
kapta,13
salátát,9
bekaptad,8
ige,64
harapja,4
hhhö,1
fogkefe,3
akit,4
tisztelt,1
otthon,36
fogkefém,1
könyv,30
könyvem,1
man,1
meséskönyvet,1
pici,295
mamaikám,1
jött,78
lettem,11
fájt,28
ujjam,17
anyukám,13
vótál,1
sírtál,13
ujja,13
nnnnekem,1
orood,1
beesett,5
vv,1
bizbe,1
beleesett,9
nnnem,5
tó,7
vizbôl,4
lattad,1
mitcsináltam,1
puszilni,1
megpuszilom,5
megmérem,2
cicát,16
csókot,10
nembibis,1
nézzétek,7
tinta,2
ceruzával,1
megmosom,7
rendetlen,11
velem,38
bicikli,12
kockázni,2
kezdtem,2
beülni,1
hétfö,1
legnehezebb,2
legnehézebb,1
napig,1
szokták,7
ad,61
töszem,1
köszem,1
szépe,3
Gabika,6
rózsaszint,3
pipi,27
magadnak,13
mostan,16
odatesszünk,1
szappant,11
miröl,1
ketten,29
kettét,1
arrólbeszéltünk,1
bácsik,29
hallották,1
kopogtatták,1
hallottál,1
hallod,23
hallottam,3
csinálnak,86
azok,54
mozgólépcsö,12
mozgó,2
lepcsö,1
mozgólépcsöt,1
földre,15
metróban,3
mentél,12
metróval,3
trolibusszal,7
hhhhj,1
akkora,6
kepzeld,1
ugráltam,2
mozgölépcsöröl,1
csináltad,21
ugráltad,1
ugráltál,1
m,336
metrö,1
trolibusz,4
körülbelül,3
metro,16
szebb,9
ujabb,3
annak,49
metronak,2
trolinak,1
házat,81
nnem,1
naa,4
lépcsöt,5
ebbôl,32
ház,67
házikó,35
beletesszük,10
róka,288
hivaják,2
zsbedbôl,1
hhhé,1
aaa,17
bejönni,17
tetejét,11
háznak,6
teteje,45
évikém,8
totók,1
totó,6
fölébredte,1
fölébredt,3
nyissuk,7
nyitjuk,3
szeretne,9
esik,85
esö,18
bejön,19
keress,5
odavaló,11
doboz,19
ateteje,1
szétrontotta,1
bujnna,1
bujni,1
eza,3
olvassunk,7
olvassuk,4
könyvet,49
foglaljatok,2
helyet,8
olvasok,4
rajzolunk,22
papirt,4
rajzolom,2
nevedet,2
rajzolni,25
papirral,4
papir,11
rajzolj,9
beledobtam,1
festés,2
jóllaktál,4
koma,19
rókakoma,4
tették,22
kugli,9
tett,4
tete,29
kuglisz,1
veszel,13
elvinni,11
sírhatsz,2
vigyem,4
vigyed,3
szivesen,14
kérni,2
valódi,1
valód,1
ellölek,1
lelôlek,1
engemet,13
löjjél,2
lelöttem,16
meghaltak,2
visszalöjjék,1
visszalö,2
darus,3
auto,27
csigabiga,12
csiga,31
biga,11
szia,294
kák,2
fekszik,28
mmm,30
monnd,2
traktor,49
mozog,27
szoritsad,5
szétszedem,10
szétszedted,1
szét,68
visszategyem,2
szedem,3
mm,58
szoritsd,7
szojuzd,1
szöress,1
piszkálja,1
leveszem,28
tied,105
piszkálj,1
torony,75
tornyot,52
toronyt,25
dülni,17
nyulsz,2
hozzá,50
nyulni,2
abba,71
tépve,1
való,54
hozzatok,3
idevaló,4
dobozba,23
lábom,17
lábam,9
mind,59
lábod,6
láb,3
térded,3
ennél,3
köp,4
lelött,5
lelötte,3
brüa,2
avvak,2
rókával,2
fürödtél,4
fiuk,7
lány,19
kislány,86
fiu,13
jönnek,35
kockákat,41
félre,1
többsége,1
szedjed,1
szorgoskodjatok,1
kamion,2
teherautó,20
bácsinak,95
parancsolsz,1
kavicsot,9
odaado,1
odadom,12
csokoládét,6
megmutatom,32
mutatom,15
önek,3
félsz,44
megrúglak,1
Ferike,4
buuu,3
elestem,17
hüm,3
nahát,19
föltette,2
ujból,1
leesik,27
á,130
ham,188
bent,84
úgyse,2
tudja,45
másszál,3
érte,5
másszunk,2
mássz,14
nemtudok,2
bemászni,10
hajolj,4
behajolni,1
adoma,1
rókának,9
szemüvegemet,2
hihihihi,5
szemüvegem,4
hujjaj,1
erôs,19
lát,17
próbáld,25
fölvette,4
mászik,8
láttad,31
láthatsz,2
nehezen,14
Katinak,2
látni,19
Miklós,25
leeste,1
tenekét,1
menjetek,22
napra,3
marafjatok,1
hüvösön,1
hüvös,3
almákat,1
kopasz,4
ebben,57
jaja,11
tettél,14
megkavarom,1
csoki,12
csokit,23
kapok,19
csészéket,1
mosni,46
csokoládé,4
hozok,48
teszel,6
semmit,49
teszek,10
limonádét,1
limonádé,1
melegben,1
esni,19
máma,4
ennei,2
málnaszörp,1
cocacola,2
jobb,29
hideg,91
behütötted,1
hoppá,99
borsó,23
Kati,76
mogyoró,2
fözzek,2
paprikás,2
csirkét,1
paprika,6
foghatom,1
kézzel,11
fözted,2
meséld,43
beletettem,8
cukort,2
föztem,2
leülök,13
cukrot,8
fözte,1
mama,186
fózöl,1
édesen,1
szeretem,40
megittam,8
partedlit,2
Zsuzsa,6
kötényed,9
paterdlije,1
Domiról,1
leszem,1
keverni,2
ebédelnjünk,1
föztél,1
imádom,1
negyon,5
leves,4
kanállal,9
retetetete,1
péterkém,2
hatalmas,12
fogni,15
takaritni,1
edényt,5
borsót,6
mosogatsz,1
nehogy,27
maradjon,5
edény,6
elmosogatom,1
teritek,1
eltörülheted,1
törülgetek,1
segutek,1
pillanat,16
nyuszi,103
mosogatam,1
eltörölgetem,1
tiszták,2
edények,1
Évi,36
Évikének,2
megetetsz,1
eper,10
nyakamba,2
teszed,19
nyakadba,3
megeszi,50
kapsz,59
epert,1
kanalat,18
becukroztad,1
cukros,3
törülközö,2
ennyi,17
rémes,2
törülközöm,1
Petikém,1
mosakodni,2
indul,65
vonat,136
brüm,1
brüü,6
Miklóskám,2
kislányod,1
feküdj,54
angyalom,3
aludj,7
fordulj,2
fá,13
felé,5
fal,16
álszol,1
kislányom,26
egészet,21
huuu,5
egészen,14
megütöd,3
Laci,89
köll,2
cumi,57
kend,10
baj,157
bánom,3
cuki,1
cumit,20
leszel,29
sírsz,20
menjél,85
innen,75
Eniköm,1
fiam,20
fektessünk,2
valakit,5
fektessük,10
homokot,58
adtam,22
homok,51
kijönni,19
nagyonszép,1
kötényet,2
köpd,9
csokija,1
mondom,18
leszek,35
köptöm,1
szereted,65
edd,38
Feri,11
belül,4
kastélyt,1
ó,153
csinálom,51
csináljál,24
kocká,1
nadrágom,7
nadrág,17
elszkadt,2
sport,4
cipôt,10
porosnadrág,1
egyet,213
elrontjuk,1
elrontjátok,1
haragudj,2
haragszom,6
elszaladjál,1
elszaladgáljatok,1
rontani,9
enyémet,6
kiabált,8
elôbbet,1
kiabáltál,2
minek,10
tudtam,11
megnézni,30
gyorsan,113
elrontották,2
megmutattuk,1
rontottuk,1
rontjuk,1
elvágtad,1
elvagtam,1
nadrágja,4
mennyi,34
zsebem,6
zseb,3
zsebe,11
gombolod,2
gombolva,1
szóródjon,2
gombom,2
rádszór,1
szórd,6
rá,139
bácsira,4
dolog,35
szórni,3
rád,13
dobom,4
szórom,1
rendben,9
hórukk,5
óvódába,2
szeptemberbe,1
kocsiba,9
kocsi,94
akarom,47
bácsié,35
láttátok,1
kocsid,2
fürészed,1
Dinike,8
verd,6
fürésszel,4
próbáljunk,1
fürészelt,1
utolsó,2
fürészelni,1
rrrrrr,2
megmutataom,1
fürész,1
brrrr,11
összevágom,1
eldöntöttem,2
vitamin,2
kacska,2
koszos,18
moszost,1
piszkot,2
takaritok,1
hihi,16
gyógyszer,5
ettem,9
vitamint,1
gyógyszertôl,1
tiéd,9
Délia,7
vágom,6
fát,16
karddal,8
arra,69
ajjaj,27
roentgent,10
busz,13
mentö,7
kereszt,2
rosszat,8
csináljatok,3
pupu,7
puu,1
uuuu,3
döl,2
uuu,2
eldölt,9
megkalapállak,1
mehetsz,24
börtönbe,12
pupát,1
kalapálom,1
csináltunk,8
naaaa,3
katona,47
löttem,3
itthon,15
mennek,106
leölek,1
romlott,16
megcsináltam,14
poty,3
boty,2
szerv,3
szer,3
lapát,21
tele,23
tsu,9
hu,64
huj,3
seprô,4
prr,5
elesett,14
kalapálnom,1
lábomat,11
maradsz,23
megkalapáltam,1
kocsival,11
jöttem,7
kocsimat,1
rozsdás,2
húú,6
tiszta,47
megcsinálni,15
jaaj,3
abban,34
Fakudi,2
óvodában,4
pusakával,2
lövöldözni,1
óvódában,1
elmegyünk,25
térre,3
ekmegyünk,1
menjünk,427
böböbö,2
börtön,1
jössz,89
reho,10
megvert,4
megharap,9
magardra,1
elverted,1
béliát,1
vész,1
szijvel,1
vert,4
azzal,85
söprüvel,1
ráültem,1
puskámra,1
gagaga,1
nézzek,10
Jánoskám,1
Gyurikának,3
itten,33
csusztam,1
pa,103
elcsúsztam,1
tetet,2
brunn,2
bram,1
brumban,1
gombóc,11
lekváros,7
szilvás,5
mileyn,1
cukorkát,2
cseresznyét,1
dobd,26
vettem,11
köt,8
gombócot,14
teszünk,9
fel,110
fölállt,3
hjaj,1
hordani,1
beleöle,1
cukor,6
elviszem,13
paprikát,6
viszem,19
tyele,1
töröm,1
oroszlányt,1
fölmenni,15
autó,249
op,1
betyárját,1
betyárja,1
betyár,1
betyára,1
betyárosz,3
visszük,19
viszek,1
emelgetjük,1
vigyük,11
kocsiját,1
uborka,2
ajajaj,2
iszzük,1
talán,27
adunk,20
megfelel,2
kötnél,1
kössek,1
bottal,6
kötlek,2
megmozdulni,2
kötéllel,1
megkötellek,1
kötve,14
mozdulj,1
lekötöttétek,1
mozogni,3
nézzem,67
nyelvem,1
bekötni,4
nyelvemet,1
ejejejej,1
hamm,35
bekaptam,3
nyelvedet,2
bajuszomat,1
szúr,16
kötöd,1
kötsz,1
kösd,5
amerre,1
lelölek,5
g,8
rehót,1
hozzál,21
ajándékot,24
verni,3
ôt,34
midjárt,5
Bélia,2
emeljük,5
nehéz,39
salátával,1
kivesszük,12
megennei,1
birod,1
dobtál,7
teherautót,9
nagyot,66
rontsd,4
rontod,8
elrontasz,1
hógolyó,7
szorulni,1
hógolyót,6
ahm,7
nemeszel,1
vegyél,50
szádba,16
eszi,8
hogynehéz,1
mintha,2
majmok,14
királya,3
lehül,1
nam,8
kidobjam,1
kidobom,6
látsz,17
televizión,1
tévén,1
nézel,8
tévét,11
szoktál,17
nézni,61
mak,8
tévé,16
bekapcsoltam,6
macit,40
kapcsolt,1
nézed,13
kapcsolva,12
csináld,51
lefekszenek,3
macik,3
lefekteted,1
pusakám,3
ááá,5
elrontod,3
hú,64
ezta,2
virágot,80
enneivalót,1
vizet,57
beleestél,2
brrrrr,4
Debrecenbe,2
kellene,13
mennem,3
kaviccsal,4
legalább,7
zárva,27
bölcsôde,5
bemenni,20
délután,26
bezárva,1
apukád,5
did,1
didi,6
ban,4
zsebembe,13
darabot,3
zsebbe,1
homokos,12
Ica,19
áá,5
tetszett,4
eperszörp,2
pan,11
almaszörp,1
tetszerem,1
ezezezt,1
tetszeremezt,1
hoztam,38
Délika,1
üljünk,23
csaináltál,1
pem,3
estem,5
kucs,1
kucskucs,1
elmegyek,18
csináltál,66
tegnap,25
barátnöm,8
hazamentél,1
játszottál,13
játszottam,2
játszótéren,5
lent,16
hintáztam,2
hintáztál,1
Lacival,6
kivel,30
akinél,3
Frédi,3
ját,2
szottatok,1
Frédivel,2
játszottunk,7
nemond,1
aszija,1
harapott,1
ugatott,2
féltél,3
ijedtél,3
okos,60
vag,2
kutyától,4
holnap,51
mentek,17
valahova,10
kirádulni,1
hegyekbe,1
Dunára,4
nagymamával,2
mamikával,1
taxival,2
tavasszal,2
hü,16
csónakázni,5
sárika,1
sárik,1
Andi,102
belebujtam,1
bokorba,10
mér,31
bujtál,1
guriga,2
elmentek,17
onna,4
sakarikák,1
megyünk,172
menj,96
érted,18
innét,4
át,50
fején,11
Enikö,8
kukac,2
fuj,3
bü,2
brü,4
nekimentem,1
Mikloty,3
lenszki,1
manci,5
hi,60
évi,5
kerek,5
veled,26
álltam,1
szégyeltem,1
orrod,8
jujj,4
babát,149
fésülni,2
baba,884
tettérek,1
fésüt,8
fésü,16
kettôt,14
mondtam,23
kat,1
vetköztesd,1
dobta,12
valamelyik,8
vette,33
kitörött,6
törte,6
keziket,1
kezit,2
Tünde,52
Tündének,2
kezibe,2
kit,37
szeretel,2
kérdi,2
epret,8
szeretsz,19
nénit,33
Jánost,2
válasz,1
melyiket,41
sziasztok,18
macát,1
paci,12
emeld,19
fejedet,11
icukát,1
épitünk,29
háza,13
mókusnak,9
ajtó,36
eb,1
tudjon,8
azon,15
keresztül,2
mehet,29
kivcsi,1
csiánljunk,1
ablak,54
nézzed,8
farkast,4
juj,78
leesett,96
rámegy,3
nemoda,1
rátettem,2
lezárjuk,1
pályaudvarras,1
nehány,1
an,8
kockátak,1
rl,1
róla,17
mókust,14
halacskát,200
kapod,4
halacska,295
csöngöje,6
csöngetni,1
csöngöjét,1
nyomd,19
szállnak,1
bejönnek,1
csiling,7
csilingetni,1
brr,36
megáll,6
nyikor,1
vigyázzunk,3
kémény,46
bemegy,18
ajtón,10
bezárjuk,4
tegye,13
villamos,12
ap,24
lefelé,6
mmnn,1
fán,5
összement,3
nekiment,2
karambolta,1
rókus,4
ku,10
szétment,2
összes,10
megfogom,9
eeeeee,2
lesepertem,1
szedjük,10
Évika,2
csináljuk,26
szedni,17
elkészit,1
hosszú,31
útra,1
svédországba,2
fölszáll,4
vonatra,4
játszhat,4
svájcba,2
fölhozzuk,1
kelenci,2
tajra,1
velenci,1
pálya,15
velencei,1
tóba,4
szoktam,6
Balatonra,7
Balagonra,1
keletibe,1
la,4
balagojára,1
keleti,3
pályaudvarra,2
beestem,4
essél,5
irtö,1
bántsd,22
kicsikét,6
övodás,2
visszadobálom,1
nesze,3
versz,1
megverlek,1
ledül,3
ledöl,4
puff,25
döntsd,7
Barnát,3
kötem,1
várat,21
nics,4
aa,9
elindulok,2
villamoson,3
odadod,7
villamososn,2
szék,124
indulunk,14
maci,300
vigyázok,4
rája,1
ojaj,3
ajaj,28
rókám,3
nagyuon,1
kelen,1
pályán,4
pályaudvarba,1
elmenjünk,5
csoport,3
idejött,6
virág,46
eltette,4
tornyom,2
móni,1
föltettél,1
ideteszem,34
elfolyik,2
benzin,3
ledölt,4
paff,10
dudába,1
ment,105
eee,9
hihihi,12
hess,4
megütöttem,3
kezedet,27
ujjaj,2
megmutatod,11
inkább,90
ellökte,3
hozzáért,1
lelökte,4
bogár,158
bogaras,2
miben,7
Miklóson,3
lesöpörtem,1
próbálni,2
meyik,1
harap,25
hangya,25
fig,1
hanga,1
mem,1
harapnak,2
betet,1
adj,19
rám,8
lemész,4
onnan,72
izé,3
Domi,13
brruuu,1
leültem,2
fálmos,1
számoljunk,18
picikét,21
homokba,13
levelek,2
virágok,11
vonatot,37
csináljam,3
hangulatod,1
mafláskodik,2
János,32
merto,1
fogunk,24
utazni,4
igazitds,1
rendesen,12
mozgólepcsö,1
földalattin,1
metrón,1
bizony,254
izgalmas,3
tul,11
övé,12
szépet,14
milyet,11
raktár,2
