row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	predicted_sr	predicted_nAk
2293	205	21	male	gi	ginek	ginak	nek	1	7	-6	ginek	nek
2302	206	61	female	trír	trírnek	trírnak	nek	1	7	-6	trírnek	nek
2309	206	61	female	anóte	anótének	anóténak	nak	7	1	6	anótenak	nak
2367	210	22	male	it	itnek	itnak	nek	2	6	-4	itnek	nek
2376	210	22	male	féj	féjnak	féjnek	nek	2	6	-4	féjnek	nek
2381	210	22	male	talmér	talmérnek	talmérnak	nak	5	4	1	talmérnak	nak
2382	210	22	male	rer	rernak	rernek	nek	1	4	-3	rernek	nek
2421	214	31	male	buvig	buvignak	buvignek	nak	7	3	4	buvignak	nak
2447	216	55	female	orír	orírnek	orírnak	nak	7	3	4	orírnak	nak
2450	216	55	female	tázádi	tázádinak	tázádinek	nak	7	1	6	tázádinak	nak
2461	217	60	male	fandállir	fandállirnek	fandállirnak	nak	6	2	4	fandállirnak	nak
2468	217	60	male	fápaki	fápakinek	fápakinak	nak	7	1	6	fápakinak	nak
2469	218	18	female	kalazé	kalazénak	kalazének	nak	6	4	2	kalazénak	nak
2475	218	18	female	gámer	gámernak	gámernek	nak	6	4	2	gámernak	nak
2481	218	18	female	gyet	gyetnek	gyetnak	nek	2	6	-4	gyetnek	nek
2491	219	35	female	fanaser	fanasernak	fanasernek	nak	7	7	0	fanasernak	nak
2495	219	35	female	csadve	csadvénak	csadvének	nak	7	4	3	csadvenak	nak
2515	221	20	male	nacség	nacségnek	nacségnak	nak	5	3	2	nacségnak	nak
2516	221	20	male	onir	onirnak	onirnek	nak	5	3	2	onirnak	nak
2523	221	20	male	malgé	malgének	malgénak	nak	7	1	6	malgénak	nak
2535	222	59	female	szet	szetnak	szetnek	nek	1	6	-5	szetnek	nek
2549	223	70	male	deg	degnek	degnak	nek	2	6	-4	degnek	nek
2551	222	59	female	feg	fegnak	fegnek	nek	2	6	-4	fegnek	nek
2561	224	23	female	gyet	gyetnek	gyetnak	nek	1	7	-6	gyetnek	nek
2569	224	23	female	feg	fegnek	fegnak	nek	1	7	-6	fegnek	nek
2571	225	38	female	arzi	arzinek	arzinak	nak	6	3	3	arzinak	nak
2620	230	20	female	tardadik	tardadiknek	tardadiknak	nak	7	1	6	tardadiknak	nak
2629	230	20	female	vályaszi	vályaszinak	vályaszinek	nak	7	1	6	vályaszinak	nak
2648	232	25	female	okfig	okfignak	okfignek	nak	5	2	3	okfignak	nak
2649	232	25	female	gyiv	gyivnak	gyivnek	nek	1	7	-6	gyivnek	nek
2673	234	20	female	zét	zétnek	zétnak	nek	1	7	-6	zétnek	nek
2732	238	18	male	rárlollgi	rárlollginek	rárlollginak	nak	7	1	6	rárlollginak	nak
2740	240	37	female	varé	varének	varénak	nak	6	2	4	varénak	nak
2744	240	37	female	aér	aérnak	aérnek	nak	7	2	5	aérnak	nak
2747	240	37	female	ké	kénak	kének	nek	1	7	-6	kének	nek
2807	247	41	male	áté	áténak	átének	nak	7	1	6	áténak	nak
2810	247	41	male	záze	zázének	zázénak	nak	7	1	6	zázenak	nak
2815	247	41	male	szambír	szambírnak	szambírnek	nak	4	4	0	szambírnak	nak
2816	248	51	female	ig	ignek	ignak	nek	1	7	-6	ignek	nek
2819	248	51	female	pagze	pagzének	pagzénak	nak	6	4	2	pagzenak	nak
2868	253	70	female	bócsíg	bócsígnak	bócsígnek	nak	7	1	6	bócsígnak	nak
2874	253	70	female	ze	zének	zénak	nek	1	7	-6	zenek	nek
2898	256	45	male	gyék	gyéknek	gyéknak	nek	1	7	-6	gyéknek	nek
2908	256	45	male	vákség	vákségnak	vákségnek	nak	7	4	3	vákségnak	nak
2947	263	19	female	ásszir	ásszirnek	ásszirnak	nak	6	2	4	ásszirnak	nak
2950	263	19	female	szek	szeknek	szeknak	nek	2	6	-4	szeknek	nek
3055	271	38	female	ig	ignak	ignek	nek	4	4	0	ignek	nek
3057	271	38	female	mámer	mámernak	mámernek	nak	7	2	5	mámernak	nak
3061	271	38	female	eg	egnek	egnak	nek	1	7	-6	egnek	nek
3085	274	20	female	jér	jérnek	jérnak	nek	4	7	-3	jérnek	nek
3169	281	38	female	jéj	jéjnek	jéjnak	nek	1	7	-6	jéjnek	nek
3172	281	38	female	ket	ketnak	ketnek	nek	1	7	-6	ketnek	nek
3214	285	26	female	záve	závénak	závének	nak	7	1	6	závenak	nak
3292	292	57	female	kársir	kársirnek	kársirnak	nak	7	1	6	kársirnak	nak
3298	292	57	female	keg	kegnek	kegnak	nek	1	7	-6	kegnek	nek
3306	293	43	male	jotkik	jotkiknak	jotkiknek	nak	6	1	5	jotkiknak	nak
3317	294	18	male	lázmepé	lázmepénak	lázmepének	nak	6	3	3	lázmepénak	nak
3324	294	18	male	frunysir	frunysirnek	frunysirnak	nak	6	2	4	frunysirnak	nak
3333	296	28	female	zset	zsetnek	zsetnak	nek	2	6	-4	zsetnek	nek
3368	298	54	male	tátamir	tátamirnek	tátamirnak	nak	7	1	6	tátamirnak	nak
3369	299	39	male	teg	tegnak	tegnek	nek	1	7	-6	tegnek	nek
3383	298	54	male	tozodit	tozoditnak	tozoditnek	nak	7	1	6	tozoditnak	nak
3387	299	39	male	szóráget	szórágetnek	szórágetnak	nak	7	1	6	szórágetnak	nak
3435	305	18	male	nodi	nodinak	nodinek	nak	5	2	3	nodinak	nak
3440	305	18	male	ágéjtik	ágéjtiknek	ágéjtiknak	nak	4	4	0	ágéjtiknak	nak
3449	306	37	male	málemir	málemirnak	málemirnek	nak	7	6	1	málemirnak	nak
3478	308	19	female	teg	tegnek	tegnak	nek	1	7	-6	tegnek	nek
3481	308	19	female	honyé	honyének	honyénak	nak	7	1	6	honyénak	nak
3486	308	19	female	fárser	fársernek	fársernak	nak	7	1	6	fársernak	nak
3492	311	75	male	góttsit	góttsitnek	góttsitnak	nak	7	4	3	góttsitnak	nak
3499	311	75	male	lonyove	lonyovének	lonyovénak	nak	7	1	6	lonyovenak	nak
3508	311	75	male	sér	sérnak	sérnek	nek	1	7	-6	sérnek	nek
