Subject code:	City where test taken:	Version of questionnaire:	BONTEL	CSÁDIK	FÁNYEDEG	GYÜLÜT	HÁDÉL	HÍNY	KÁZEN	KOLÉN	LÁNYITÉG	LUTEKER	MONYIL	ÓREL	PORIBIT	SZANDAT	ZEFÉT
85	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
138	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
133	Budapest	1	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nak	nek	nak	nak	nek
132	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
131	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nak	nak	nek	nek	nek	nek
122	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek
117	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
100	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek
97	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	**ben	nak	nak	nek
144	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
145	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
146	Budapest	1	nek	nak	nek	nek	nak	nak	nek	nek	nek	nek	nak	nak	nak	nak	nek
147	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
148	Budapest	1	nek	nak	nek	nek	nak	BLANK	nek	nek	NO SUFFIX ATTACHED	nek	nak	nek	nek	nak	nek
3	Budapest	2	nek	nak	nek	nek	nek	*hínyilnak	nek	nek	nek	nek	nak	nek	nek	nak	nek
8	Budapest	2	NO SUFFIX ATTACHED	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
19	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
20	Budapest	2	nek	nak	NO SUFFIX ATTACHED	nek	**r?l	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
21	Budapest	2	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
22	Budapest	2	nek	nak	nek	nek	nek	BLANK	nek	nak	nek	nek	nak	nek	nek	nak	nek
55	Budapest	2	nek	nak	nek	nek	nak	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
54	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
63T	Tiszafüred	2	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
60T	Tiszafüred	2	nek	nak	nek	nek	nek	nak	nek	nak	nak	nek	nak	nek	nak	nak	nek
39	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	**ben	nak	nek
71	Budapest	2	NO SUFFIX ATTACHED	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nak	nek	nak	nek
72	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
73	Budapest	2	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nak	nak	nek
89	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
90	Budapest	2	nek	nak	NO SUFFIX ATTACHED	nek	nek	nek	nek	nak	nak	nek	nek	nek	**borbitnak	nak	nek
140	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
139	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
130	Budapest	2	nak	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
114	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
109	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek
108	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	**ben	nak	nek
98	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	nak	nek
95	Budapest	2	nak	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	NO SUFFIX ATTACHED	nek
149	Budapest	2	nek	nak	nek	nek	nek	nak	nek	nak	nek	nek	nak	nek	nak	nak	nek
150	Budapest	2	nek	nak	nek	nek	nek	nak	nek	nek	nek	nek	nak	nek	nak	nak	nek
151	Budapest	2	nek	nak	nek	nek	nek	nek	nak	nak	nek	nek	nak	nek	nak	nak	nek
152	Budapest	2	nek	nak	nek	nek	nak	nek	nek	nek	**ert	nek	nak	nak,nek	nek	nak	nek
153	Budapest	2	nek	nak	nek	nek	nek	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
1.1	Budapest	3	nak	nak	**en	nek	nek	nek	nak	nek	nek	nek	nak	nek	nak	nak	nek
10	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
23	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
24	Budapest	3	nek	nak	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nak	nek	nek	nak	nek
25	Budapest	3	nek	nak	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nak	nek	nek	nak	nek
26	Budapest	3	nek	nak	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nak	nek	nek	nak	nek
27	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
28	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
61T	Tiszafüred	3	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nak	nek	nak	nek
57	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
56	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
65T	Tiszafüred	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
45	Budapest	3	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
74	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
75	Budapest	3	nek	nak	nek	nek	nak	nek	nak	nek	nek	nek	nak	nek	nak	nak	nek
88	Budapest	3	NO SUFFIX ATTACHED	nak	nek	nek	nek	NO SUFFIX ATTACHED	NO SUFFIX ATTACHED	nek	nek	nek	nak	nek	nak	nak	nek
141	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
129	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
125	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
103	Budapest	3	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek
99	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
96	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
154	Budapest	3	nak	nak	nek	nek	nek	nek	nek	nak	nak	nek	nak	nak	nak	nak	nek
155	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
156	Budapest	3	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
157	Budapest	3	nak	nak	nak	nak	nek	nek	nak	nak	nek	nek	nak	nek	nak	nek	nek
158	Budapest	3	nek	nak	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nak	nek	nak	nek	nek	nak	nek
