row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
129	7	26	female	ádzeskell	ádzeskellnek	ádzeskellnak	nek	4	7	-3	1	1	1	1	0	1	0	1	0
130	7	26	female	kávíd	kávídnek	kávídnak	nak	7	1	6	1	0	0	0	0	0	0	0	0
131	7	26	female	fokreg	fokregnak	fokregnek	nak	6	6	0	1	1	1	0	0	0	0	0	0
132	7	26	female	morogéns	morogénsnek	morogénsnak	nek	2	7	-5	1	1	0	0	0	0	1	1	0
133	7	26	female	kosis	kosisnek	kosisnak	nak	7	2	5	1	0	0	0	0	0	1	0	0
134	7	26	female	il	ilnek	ilnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
135	7	26	female	szes	szesnak	szesnek	nek	1	7	-6	0	1	1	0	0	0	1	0	0
136	7	26	female	málédt	málédtnek	málédtnak	nak	6	4	2	1	1	0	0	0	0	0	1	0
137	7	26	female	vém	vémnek	vémnak	nek	2	7	-5	0	1	0	0	1	0	0	0	0
160	11	23	male	ir	irnek	irnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
161	11	23	male	fareb	farebnek	farebnak	nek	2	6	-4	1	1	1	0	1	0	0	0	0
162	11	23	male	bányorelt	bányoreltnak	bányoreltnek	nak	6	2	4	1	1	1	0	0	0	0	1	0
165	11	23	male	áhbés	áhbésnak	áhbésnek	nek	2	6	-4	1	1	0	0	0	0	1	0	0
167	11	23	male	gélt	géltnak	géltnek	nek	2	6	-4	0	1	0	0	0	0	0	1	0
168	11	23	male	valell	valellnak	valellnek	nak	6	2	4	1	1	1	0	0	1	0	1	0
169	11	23	male	unónem	unónemnek	unónemnak	nek	2	6	-4	1	1	1	0	1	0	0	0	0
170	11	23	male	szeny	szenynak	szenynek	nek	2	6	-4	0	1	1	0	0	1	0	0	0
171	11	23	male	mérm	mérmnek	mérmnak	nek	2	6	-4	0	1	0	0	1	0	0	1	0
172	11	23	male	pé	pénak	pének	nek	2	6	-4	0	1	0	0	0	0	0	0	0
173	11	23	male	ortávít	ortávítnek	ortávítnak	nak	6	2	4	1	0	0	0	0	0	0	0	0
174	11	23	male	hins	hinsnek	hinsnak	nek	2	6	-4	0	0	0	0	0	0	1	1	0
175	11	23	male	mogés	mogésnek	mogésnak	nak	6	2	4	1	1	0	0	0	0	1	0	0
243	18	34	female	lazind	lazindnek	lazindnak	nak	7	1	6	1	0	0	0	0	0	0	1	0
244	18	34	female	dónlozes	dónlozesnak	dónlozesnek	nek	1	7	-6	1	1	1	0	0	0	1	0	0
245	18	34	female	pangim	pangimnek	pangimnak	nak	7	1	6	1	0	0	0	1	0	0	0	0
247	18	34	female	kupirih	kupirihnak	kupirihnek	nak	7	1	6	1	0	0	1	0	0	0	0	0
248	18	34	female	áten	átennak	átennek	nek	1	7	-6	1	1	1	0	0	1	0	0	0
249	18	34	female	gyejn	gyejnnak	gyejnnek	nek	1	7	-6	0	1	1	0	0	1	0	1	0
250	18	34	female	gyámózemb	gyámózembnek	gyámózembnak	nek	1	7	-6	1	1	1	0	1	0	0	1	0
251	18	34	female	gye	gyénak	gyének	nak	7	1	6	0	1	1	0	0	0	0	0	0
252	18	34	female	vamélelt	vaméleltnek	vaméleltnak	nek	1	7	-6	1	1	1	1	0	0	0	1	0
253	18	34	female	kállém	kállémnek	kállémnak	nek	1	7	-6	1	1	0	0	1	0	0	0	0
254	18	34	female	mardeny	mardenynak	mardenynek	nek	1	7	-6	1	1	1	0	0	1	0	0	0
255	18	34	female	gázzezis	gázzezisnek	gázzezisnak	nek	1	7	-6	1	0	0	1	0	0	1	0	0
256	18	34	female	kicc	kiccnak	kiccnek	nek	1	7	-6	0	0	0	0	0	0	1	1	0
277	21	44	male	árargen	árargennek	árargennak	nek	1	7	-6	1	1	1	0	0	1	0	0	0
278	21	44	male	káres	káresnak	káresnek	nek	1	7	-6	1	1	1	0	0	0	1	0	0
279	21	44	male	grarki	grarkinak	grarkinek	nak	7	1	6	1	0	0	0	0	0	0	0	0
280	21	44	male	káteny	kátenynak	kátenynek	nek	1	7	-6	1	1	1	0	0	1	0	0	0
281	21	44	male	dakelc	dakelcnak	dakelcnek	nak	7	1	6	1	1	1	0	0	0	1	1	0
282	21	44	male	óndiszles	óndiszlesnek	óndiszlesnak	nek	1	7	-6	1	1	1	1	0	0	1	0	0
283	21	44	male	odvidt	odvidtnek	odvidtnak	nek	1	7	-6	1	0	0	0	0	0	0	1	0
284	21	44	male	ogyet	ogyetnek	ogyetnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
285	21	44	male	csútotibb	csútotibbnak	csútotibbnek	nak	7	1	6	1	0	0	0	1	0	0	1	0
286	21	44	male	alérny	alérnynek	alérnynak	nek	1	7	-6	1	1	0	0	0	1	0	1	0
287	21	44	male	fólitt	fólittnek	fólittnak	nek	1	7	-6	1	0	0	0	0	0	0	1	0
288	21	44	male	álleb	állebnek	állebnak	nek	1	7	-6	1	1	1	0	1	0	0	0	0
289	21	44	male	nyem	nyemnek	nyemnak	nek	1	7	-6	0	1	1	0	1	0	0	0	0
296	25	32	male	átúngyér	átúngyérnek	átúngyérnak	nak	6	2	4	1	1	0	0	0	1	0	0	0
297	25	32	male	fiz	fiznak	fiznek	nek	1	7	-6	0	0	0	0	0	0	1	0	0
298	25	32	male	csit	csitnak	csitnek	nek	1	7	-6	0	0	0	0	0	0	0	0	0
299	25	32	male	hipt	hiptnek	hiptnak	nek	1	7	-6	0	0	0	0	0	0	0	1	0
300	25	32	male	fómill	fómillnek	fómillnak	nak	5	2	3	1	0	0	0	0	1	0	1	0
301	25	32	male	ís	ísnak	ísnek	nek	1	7	-6	0	0	0	0	0	0	1	0	1
302	25	32	male	páde	pádének	pádénak	nak	7	3	4	1	1	1	0	0	0	0	0	0
303	25	32	male	orim	orimnak	orimnek	nak	6	1	5	1	0	0	0	1	0	0	0	0
304	25	32	male	trússakens	trússakensnek	trússakensnak	nek	1	7	-6	1	1	1	0	0	0	1	1	0
305	25	32	male	havasmem	havasmemnek	havasmemnak	nek	1	7	-6	1	1	1	0	1	0	0	0	0
306	25	32	male	forórest	forórestnek	forórestnak	nek	1	7	-6	1	1	1	0	0	0	0	1	0
307	25	32	male	érp	érpnak	érpnek	nek	1	7	-6	0	1	0	0	1	0	0	1	0
308	25	32	male	kálensel	kálenselnek	kálenselnak	nek	1	7	-6	1	1	1	1	0	1	0	0	0
309	28	28	male	jasesztjig	jasesztjignak	jasesztjignek	nek	2	6	-4	1	0	0	1	0	0	0	0	0
310	27	26	male	szángíszt	szángísztnak	szángísztnek	nek	4	4	0	1	0	0	0	0	0	0	1	0
312	27	26	male	csoill	csoillnek	csoillnak	nak	6	2	4	1	0	0	0	0	1	0	1	0
313	28	28	male	vosen	vosennak	vosennek	nek	2	5	-3	1	1	1	0	0	1	0	0	0
314	28	28	male	kéb	kébnek	kébnak	nek	1	7	-6	0	1	0	0	1	0	0	0	0
315	28	28	male	sorgens	sorgensnak	sorgensnek	nek	4	6	-2	1	1	1	0	0	0	1	1	0
316	27	26	male	rozeleg	rozelegnak	rozelegnek	nek	2	6	-4	1	1	1	1	0	0	0	0	0
317	28	28	male	nyokárik	nyokáriknak	nyokáriknek	nak	5	2	3	1	0	0	0	0	0	0	0	0
318	27	26	male	fer	fernak	fernek	nek	1	7	-6	0	1	1	0	0	1	0	0	0
319	28	28	male	avizís	avizísnak	avizísnek	nek	2	6	-4	1	0	0	1	0	0	1	0	0
320	27	26	male	mép	mépnak	mépnek	nek	2	6	-4	0	1	0	0	1	0	0	0	0
321	28	28	male	vávell	vávellnak	vávellnek	nek	1	7	-6	1	1	1	0	0	1	0	1	0
322	27	26	male	számázmé	számázménak	számázmének	nek	4	4	0	1	1	0	0	0	0	0	0	0
323	28	28	male	kázmink	kázminknak	kázminknek	nek	3	4	-1	1	0	0	0	0	0	0	1	0
324	28	28	male	rábim	rábimnak	rábimnek	nek	2	5	-3	1	0	0	0	1	0	0	0	0
325	28	28	male	berszt	bersztnak	bersztnek	nek	1	7	-6	0	1	1	0	0	0	0	1	0
326	27	26	male	enc	encnak	encnek	nek	1	7	-6	0	1	1	0	0	0	1	1	0
327	28	28	male	fagyádebb	fagyádebbnek	fagyádebbnak	nek	3	5	-2	1	1	1	0	1	0	0	1	0
328	28	28	male	búkregér	búkregérnek	búkregérnak	nek	1	7	-6	1	1	0	1	0	1	0	0	0
329	27	26	male	kamplitt	kamplittnak	kamplittnek	nak	5	3	2	1	0	0	0	0	0	0	1	0
330	28	28	male	zonyungjés	zonyungjésnek	zonyungjésnak	nek	3	5	-2	1	1	0	0	0	0	1	0	0
331	27	26	male	kázen	kázennak	kázennek	nak	4	4	0	1	1	1	0	0	1	0	0	0
332	27	26	male	agés	agésnek	agésnak	nek	3	5	-2	1	1	0	0	0	0	1	0	0
333	27	26	male	vaníbb	vaníbbnek	vaníbbnak	nak	6	2	4	1	0	0	0	1	0	0	1	0
334	27	26	male	unyákim	unyákimnek	unyákimnak	nek	3	5	-2	1	0	0	0	1	0	0	0	0
335	27	26	male	kvószeles	kvószelesnak	kvószelesnek	nek	2	6	-4	1	1	1	1	0	0	1	0	0
336	29	33	male	sáhiszt	sáhisztnak	sáhisztnek	nak	7	3	4	1	0	0	0	0	0	0	1	0
337	29	33	male	hástir	hástirnak	hástirnek	nak	7	3	4	1	0	0	0	0	1	0	0	0
338	29	33	male	klúdé	klúdének	klúdénak	nek	5	6	-1	1	1	0	0	0	0	0	0	0
339	29	33	male	mosztakspip	mosztakspipnak	mosztakspipnek	nek	4	6	-2	1	0	0	0	1	0	0	0	0
340	29	33	male	atircs	atircsnak	atircsnek	nak	7	3	4	1	0	0	0	0	0	1	1	0
341	29	33	male	vatópzell	vatópzellnek	vatópzellnak	nek	3	6	-3	1	1	1	0	0	1	0	1	0
342	29	33	male	hózít	hózítnak	hózítnek	nak	6	4	2	1	0	0	0	0	0	0	0	0
343	29	33	male	emb	embnak	embnek	nek	1	7	-6	0	1	1	0	1	0	0	1	0
344	29	33	male	nyeb	nyebnak	nyebnek	nek	1	7	-6	0	1	1	0	1	0	0	0	0
345	29	33	male	búzkink	búzkinknak	búzkinknek	nek	4	7	-3	1	0	0	0	0	0	0	1	0
346	29	33	male	nér	nérnak	nérnek	nek	1	7	-6	0	1	0	0	0	1	0	0	0
347	29	33	male	ges	gesnak	gesnek	nek	1	7	-6	0	1	1	0	0	0	1	0	0
348	29	33	male	vogyverés	vogyverésnek	vogyverésnak	nek	2	7	-5	1	1	0	1	0	0	1	0	0
353	33	34	male	mónket	mónketnak	mónketnek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
354	33	34	male	karektes	karektesnek	karektesnak	nek	1	7	-6	1	1	1	1	0	0	1	0	0
357	33	34	male	nyédt	nyédtnek	nyédtnak	nek	1	7	-6	0	1	0	0	0	0	0	1	0
359	33	34	male	rels	relsnak	relsnek	nek	1	7	-6	0	1	1	0	0	0	1	1	0
361	32	30	female	barrés	barrésnek	barrésnak	nak	5	3	2	1	1	0	0	0	0	1	0	0
362	33	34	male	vundem	vundemnak	vundemnek	nek	1	7	-6	1	1	1	0	1	0	0	0	0
363	33	34	male	prir	prirnek	prirnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
365	33	34	male	fársetél	fársetélnek	fársetélnak	nek	1	7	-6	1	1	0	1	0	1	0	0	0
366	32	30	female	gyorén	gyorénnak	gyorénnek	nak	5	2	3	1	1	0	0	0	1	0	0	0
368	33	34	male	veg	vegnak	vegnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
370	33	34	male	fonemm	fonemmnak	fonemmnek	nek	1	7	-6	1	1	1	0	1	0	0	1	0
371	33	34	male	vazerj	vazerjnak	vazerjnek	nek	1	7	-6	1	1	1	0	0	0	0	1	0
372	33	34	male	szapoes	szapoesnak	szapoesnek	nek	1	7	-6	1	1	1	0	0	0	1	0	0
373	33	34	male	holejn	holejnnak	holejnnek	nek	1	7	-6	1	1	1	0	0	1	0	1	0
374	33	34	male	kakep	kakepnek	kakepnak	nek	1	7	-6	1	1	1	0	1	0	0	0	0
376	32	30	female	fogílkep	fogílkepnak	fogílkepnek	nek	1	6	-5	1	1	1	1	1	0	0	0	0
378	32	30	female	kásé	kásénak	kásének	nak	6	1	5	1	1	0	0	0	0	0	0	0
380	32	30	female	vebb	vebbnek	vebbnak	nek	1	7	-6	0	1	1	0	1	0	0	1	0
382	32	30	female	kanodelt	kanodeltnak	kanodeltnek	nek	1	5	-4	1	1	1	0	0	0	0	1	0
384	34	56	male	mókép	móképnek	móképnak	nek	1	7	-6	1	1	0	0	1	0	0	0	0
385	32	30	female	kasztrorsik	kasztrorsiknak	kasztrorsiknek	nak	5	1	4	1	0	0	0	0	0	0	0	0
386	34	56	male	kózik	kóziknek	kóziknak	nak	7	1	6	1	0	0	0	0	0	0	0	0
387	32	30	female	garmeny	garmenynek	garmenynak	nek	3	4	-1	1	1	1	0	0	1	0	0	0
388	32	30	female	dóssuktém	dóssuktémnak	dóssuktémnek	nak	6	1	5	1	1	0	0	1	0	0	0	0
389	32	30	female	pres	presnak	presnek	nek	1	6	-5	0	1	1	0	0	0	1	0	0
390	34	56	male	ákalill	ákalillnek	ákalillnak	nek	1	7	-6	1	0	0	0	0	1	0	1	0
391	34	56	male	óltín	óltínnek	óltínnak	nak	7	1	6	1	0	0	0	0	1	0	0	0
392	32	30	female	fatomszirr	fatomszirrnak	fatomszirrnek	nak	5	2	3	1	0	0	0	0	1	0	1	0
393	32	30	female	cséncs	cséncsnak	cséncsnek	nek	1	7	-6	0	1	0	0	0	0	1	1	0
394	34	56	male	tulyzalmebb	tulyzalmebbnek	tulyzalmebbnak	nek	1	7	-6	1	1	1	0	1	0	0	1	0
395	32	30	female	makédt	makédtnek	makédtnak	nak	4	1	3	1	1	0	0	0	0	0	1	0
396	34	56	male	szes	szesnek	szesnak	nek	1	7	-6	0	1	1	0	0	0	1	0	0
397	34	56	male	túskadem	túskademnak	túskademnek	nek	1	7	-6	1	1	1	0	1	0	0	0	0
398	34	56	male	feny	fenynek	fenynak	nek	1	7	-6	0	1	1	0	0	1	0	0	0
399	34	56	male	rázmes	rázmesnak	rázmesnek	nak	4	4	0	1	1	1	0	0	0	1	0	0
400	34	56	male	sameténg	sameténgnak	sameténgnek	nek	1	7	-6	1	1	0	1	0	0	0	1	0
402	34	56	male	halallédt	halallédtnek	halallédtnak	nek	1	7	-6	1	1	0	0	0	0	0	1	0
403	34	56	male	szens	szensnak	szensnek	nek	1	7	-6	0	1	1	0	0	0	1	1	0
404	34	56	male	tátélfet	tátélfetnak	tátélfetnek	nek	1	7	-6	1	1	1	1	0	0	0	0	0
407	36	45	male	áósek	áóseknak	áóseknek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
412	36	45	male	varvém	varvémnak	varvémnek	nak	5	2	3	1	1	0	0	1	0	0	0	0
417	36	45	male	stengy	stengynek	stengynak	nek	1	7	-6	0	1	1	0	0	0	0	1	0
420	36	45	male	kalev	kalevnek	kalevnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
422	36	45	male	ronszálméft	ronszálméftnak	ronszálméftnek	nek	1	7	-6	1	1	0	0	0	0	0	1	0
424	36	45	male	vinsz	vinsznak	vinsznek	nek	3	7	-4	0	0	0	0	0	0	1	1	0
427	36	45	male	bálalehn	bálalehnnak	bálalehnnek	nek	1	7	-6	1	1	1	0	0	1	0	1	0
430	36	45	male	kes	kesnak	kesnek	nek	3	7	-4	0	1	1	0	0	0	1	0	0
432	36	45	male	sonamém	sonamémnak	sonamémnek	nek	2	7	-5	1	1	0	0	1	0	0	0	0
434	36	45	male	hambiny	hambinynak	hambinynek	nek	1	7	-6	1	0	0	0	0	1	0	0	0
438	36	45	male	bátoszpepp	bátoszpeppnak	bátoszpeppnek	nek	1	7	-6	1	1	1	0	1	0	0	1	0
441	36	45	male	bárges	bárgesnak	bárgesnek	nek	1	7	-6	1	1	1	0	0	0	1	0	0
445	36	45	male	mázádiny	mázádinynek	mázádinynak	nek	3	7	-4	1	0	0	0	0	1	0	0	0
485	42	59	female	vágéncs	vágéncsnak	vágéncsnek	nak	7	1	6	1	1	0	0	0	0	1	1	0
486	42	59	female	fárzes	fárzesnek	fárzesnak	nek	1	7	-6	1	1	1	0	0	0	1	0	0
487	42	59	female	andebb	andebbnek	andebbnak	nek	1	7	-6	1	1	1	0	1	0	0	1	0
488	42	59	female	tósorem	tósoremnek	tósoremnak	nek	1	7	-6	1	1	1	0	1	0	0	0	0
489	42	59	female	askeny	askenynak	askenynek	nek	1	7	-6	1	1	1	0	0	1	0	0	0
490	42	59	female	rórtékk	rórtékknak	rórtékknek	nek	1	7	-6	1	1	0	0	0	0	0	1	0
491	42	59	female	josmig	josmignek	josmignak	nek	1	7	-6	1	0	0	0	0	0	0	0	0
492	42	59	female	famarehn	famarehnnek	famarehnnak	nek	1	7	-6	1	1	1	0	0	1	0	1	0
493	42	59	female	szozmitild	szozmitildnak	szozmitildnek	nek	1	7	-6	1	0	0	1	0	0	0	1	0
494	42	59	female	vótim	vótimnak	vótimnek	nek	1	7	-6	1	0	0	0	1	0	0	0	0
495	42	59	female	kes	kesnek	kesnak	nek	1	7	-6	0	1	1	0	0	0	1	0	0
496	42	59	female	káde	kádének	kádénak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
497	42	59	female	niny	ninynak	ninynek	nek	1	7	-6	0	0	0	0	0	1	0	0	0
521	46	49	female	kosip	kosipnek	kosipnak	nak	5	2	3	1	0	0	0	1	0	0	0	0
522	46	49	female	szóledt	szóledtnek	szóledtnak	nek	3	6	-3	1	1	1	0	0	0	0	1	0
524	46	49	female	get	getnak	getnek	nek	2	6	-4	0	1	1	0	0	0	0	0	0
527	46	49	female	duhirn	duhirnnak	duhirnnek	nak	6	2	4	1	0	0	0	0	1	0	1	0
531	46	49	female	káslen	káslennek	káslennak	nak	5	3	2	1	1	1	0	0	1	0	0	0
533	46	49	female	debb	debbnak	debbnek	nek	2	7	-5	0	1	1	0	1	0	0	1	0
538	46	49	female	nyórolles	nyórollesnak	nyórollesnek	nek	1	7	-6	1	1	1	0	0	0	1	0	0
540	46	49	female	kes	kesnek	kesnak	nek	2	7	-5	0	1	1	0	0	0	1	0	0
543	46	49	female	kosterért	kosterértnak	kosterértnek	nek	3	6	-3	1	1	0	1	0	0	0	1	0
545	46	49	female	hoprótszer	hoprótszernak	hoprótszernek	nek	2	6	-4	1	1	1	0	0	1	0	0	0
547	46	49	female	kálatím	kálatímnak	kálatímnek	nak	4	4	0	1	0	0	0	1	0	0	0	0
551	46	49	female	éjzs	éjzsnek	éjzsnak	nek	3	5	-2	0	1	0	0	0	0	1	1	0
552	48	54	male	golospill	golospillnak	golospillnek	nak	6	3	3	1	0	0	0	0	1	0	1	0
554	46	49	female	vordidé	vordidének	vordidénak	nek	3	6	-3	1	1	0	1	0	0	0	0	0
555	48	54	male	mes	mesnek	mesnak	nek	1	7	-6	0	1	1	0	0	0	1	0	0
561	48	54	male	anúgzem	anúgzemnek	anúgzemnak	nek	2	7	-5	1	1	1	0	1	0	0	0	0
566	48	54	male	bóséjt	bóséjtnak	bóséjtnek	nek	4	7	-3	1	1	0	0	0	0	0	1	0
574	48	54	male	dolegerc	dolegercnek	dolegercnak	nek	3	7	-4	1	1	1	1	0	0	1	1	0
575	48	54	male	drukáppén	drukáppénnek	drukáppénnak	nek	6	7	-1	1	1	0	0	0	1	0	0	0
576	48	54	male	plokvé	plokvének	plokvénak	nek	4	7	-3	1	1	0	0	0	0	0	0	0
577	48	54	male	szib	szibnak	szibnek	nek	5	7	-2	0	0	0	0	1	0	0	0	0
578	48	54	male	hébb	hébbnak	hébbnek	nek	5	7	-2	0	1	0	0	1	0	0	1	0
580	48	54	male	kápites	kápitesnak	kápitesnek	nek	4	7	-3	1	1	1	1	0	0	1	0	0
581	48	54	male	konyig	konyignek	konyignak	nak	7	6	1	1	0	0	0	0	0	0	0	0
582	48	54	male	talasén	talasénnek	talasénnak	nek	3	7	-4	1	1	0	0	0	1	0	0	0
583	48	54	male	énd	éndnek	éndnak	nek	5	7	-2	0	1	0	0	0	0	0	1	0
591	49	52	male	fátir	fátirnek	fátirnak	nek	3	7	-4	1	0	0	0	0	1	0	0	0
598	49	52	male	nyánsádín	nyánsádínnak	nyánsádínnek	nek	3	7	-4	1	0	0	0	0	1	0	0	0
599	49	52	male	savik	saviknak	saviknek	nak	6	3	3	1	0	0	0	0	0	0	0	0
600	49	52	male	gyokcet	gyokcetnek	gyokcetnak	nek	2	7	-5	1	1	1	0	0	0	0	0	0
601	49	52	male	kes	kesnak	kesnek	nek	1	7	-6	0	1	1	0	0	0	1	0	0
602	49	52	male	vatatinc	vatatincnak	vatatincnek	nek	2	7	-5	1	0	0	0	0	0	1	1	0
603	49	52	male	kogyotim	kogyotimnek	kogyotimnak	nek	2	7	-5	1	0	0	0	1	0	0	0	0
604	49	52	male	varrarell	varrarellnak	varrarellnek	nek	2	7	-5	1	1	1	0	0	1	0	1	0
605	49	52	male	ralárelt	raláreltnak	raláreltnek	nek	2	7	-5	1	1	1	0	0	0	0	1	0
606	49	52	male	ulvégis	ulvégisnak	ulvégisnek	nek	2	7	-5	1	0	0	1	0	0	1	0	0
607	49	52	male	tátem	tátemnak	tátemnek	nek	3	7	-4	1	1	1	0	1	0	0	0	0
608	49	52	male	kebb	kebbnek	kebbnak	nek	1	7	-6	0	1	1	0	1	0	0	1	0
609	49	52	male	nyélt	nyéltnak	nyéltnek	nek	1	7	-6	0	1	0	0	0	0	0	1	0
610	52	64	female	tebb	tebbnek	tebbnak	nek	4	7	-3	0	1	1	0	1	0	0	1	0
611	52	64	female	gir	girnek	girnak	nek	5	7	-2	0	0	0	0	0	1	0	0	0
612	52	64	female	beny	benynak	benynek	nek	3	7	-4	0	1	1	0	0	1	0	0	0
613	52	64	female	káltíllett	káltíllettnak	káltíllettnek	nek	4	7	-3	1	1	1	1	0	0	0	1	0
614	52	64	female	ik	iknek	iknak	nek	4	7	-3	0	0	0	0	0	0	0	0	0
615	52	64	female	véns	vénsnak	vénsnek	nek	3	7	-4	0	1	0	0	0	0	1	1	0
616	53	59	female	szányócsénny	szányócsénnynek	szányócsénnynak	nak	7	2	5	1	1	0	0	0	1	0	1	0
617	52	64	female	komésztes	komésztesnak	komésztesnek	nek	4	7	-3	1	1	1	1	0	0	1	0	0
618	53	59	female	dem	demnak	demnek	nek	2	7	-5	0	1	1	0	1	0	0	0	0
619	52	64	female	nyém	nyémnak	nyémnek	nek	3	7	-4	0	1	0	0	1	0	0	0	0
620	52	64	female	balily	balilynek	balilynak	nak	7	4	3	1	0	0	0	0	0	0	0	0
621	53	59	female	nyámpis	nyámpisnak	nyámpisnek	nak	7	2	5	1	0	0	0	0	0	1	0	0
622	52	64	female	éjn	éjnnak	éjnnek	nek	4	7	-3	0	1	0	0	0	1	0	1	0
623	53	59	female	vírm	vírmnek	vírmnak	nak	7	2	5	0	0	0	0	1	0	0	1	1
624	53	59	female	szélt	széltnek	széltnak	nek	2	7	-5	0	1	0	0	0	0	0	1	0
625	52	64	female	konyolés	konyolésnak	konyolésnek	nek	4	7	-3	1	1	0	0	0	0	1	0	0
626	53	59	female	nírs	nírsnak	nírsnek	nek	2	7	-5	0	0	0	0	0	0	1	1	1
627	52	64	female	csarmirt	csarmirtnek	csarmirtnak	nak	7	4	3	1	0	0	0	0	0	0	1	0
629	52	64	female	panyíp	panyípnak	panyípnek	nak	7	4	3	1	0	0	0	1	0	0	0	0
630	53	59	female	hártelyzek	hártelyzeknek	hártelyzeknak	nek	2	7	-5	1	1	1	1	0	0	0	0	0
631	53	59	female	fálenér	fálenérnek	fálenérnak	nak	7	2	5	1	1	0	1	0	1	0	0	0
632	53	59	female	fle	flének	flénak	nak	7	2	5	0	1	1	0	0	0	0	0	0
633	53	59	female	fes	fesnek	fesnak	nek	2	7	-5	0	1	1	0	0	0	1	0	0
634	53	59	female	valélín	valélínnek	valélínnak	nak	7	2	5	1	0	0	1	0	1	0	0	0
635	53	59	female	nálim	nálimnak	nálimnek	nak	7	2	5	1	0	0	0	1	0	0	0	0
636	53	59	female	agelt	ageltnak	ageltnek	nek	2	7	-5	1	1	1	0	0	0	0	1	0
650	55	22	female	zorsajlelm	zorsajlelmnak	zorsajlelmnek	nek	3	5	-2	1	1	1	0	1	0	0	1	0
651	55	22	female	ém	émnak	émnek	nek	2	6	-4	0	1	0	0	1	0	0	0	0
652	55	22	female	tolmóres	tolmóresnek	tolmóresnak	nek	1	6	-5	1	1	1	0	0	0	1	0	0
653	55	22	female	balézen	balézennek	balézennak	nek	1	4	-3	1	1	1	1	0	1	0	0	0
654	55	22	female	raploes	raploesnak	raploesnek	nak	3	3	0	1	1	1	0	0	0	1	0	0
655	55	22	female	gányem	gányemnak	gányemnek	nek	3	4	-1	1	1	1	0	1	0	0	0	0
656	55	22	female	iny	inynak	inynek	nek	3	5	-2	0	0	0	0	0	1	0	0	0
657	55	22	female	sasselink	sasselinknek	sasselinknak	nek	3	6	-3	1	0	0	1	0	0	0	1	0
658	55	22	female	réns	rénsnak	rénsnek	nek	1	5	-4	0	1	0	0	0	0	1	1	0
659	55	22	female	farirt	farirtnek	farirtnak	nek	2	4	-2	1	0	0	0	0	0	0	1	0
