subject_code	subject_age	subject_sex	stem	predicted_sr	predicted_nAk	option_chosen	nak_rating	nek_rating	nak_advantage	vowel_label
92	33	male	csogek	csogeknak	nak	nek	4	6	-2	BN
18	34	female	gye	gyenek	nek	nak	7	1	6	N
227	34	female	táskeg	táskegnak	nak	nek	2	6	-4	BN
227	34	female	fángég	fángégnak	nak	nek	2	6	-4	BN
227	34	female	áztelter	áztelternak	nak	nek	1	7	-6	BNN
33	34	male	mónket	mónketnak	nak	nek	1	7	-6	BN
124	35	female	totek	toteknak	nak	nek	1	7	-6	BN
219	35	female	vánzé	vánzénak	nak	nek	5	7	-2	BN
89	35	male	mosirer	mosirernak	nak	nek	5	7	-2	BNN
306	37	male	szakodev	szakodevnak	nak	nek	2	7	-5	BN
306	37	male	orene	orenenak	nak	nek	3	7	-4	BNN
191	38	female	szóselker	szóselkernak	nak	nek	1	7	-6	BNN
225	38	female	szálgutet	szálgutetnak	nak	nek	2	6	-4	BN
121	38	male	asszede	asszedenak	nak	nek	2	6	-4	BNN
169	39	male	moggászég	moggászégnak	nak	nek	1	7	-6	BN
135	40	female	ráltényé	ráltényénak	nak	nek	3	5	-2	BNN
154	40	male	kardég	kardégnak	nak	nek	2	6	-4	BN
90	42	male	csuékir	csuékirnak	nak	nek	2	6	-4	BNN
293	43	male	zóger	zógernak	nak	nek	1	6	-5	BN
293	43	male	basszalek	basszaleknak	nak	nek	1	6	-5	BN
265	44	female	soseg	sosegnak	nak	nek	2	6	-4	BN
265	44	female	tanláe	tanláenak	nak	nek	2	6	-4	BN
21	44	male	ogyet	ogyetnak	nak	nek	1	7	-6	BN
36	45	male	áósek	áóseknak	nak	nek	1	7	-6	BN
36	45	male	kalev	kalevnak	nak	nek	1	7	-6	BN
165	47	male	donéleg	donélegnak	nak	nek	1	7	-6	BNN
46	49	female	hoprótszer	hoprótszernak	nak	nek	2	6	-4	BN
46	49	female	vordidé	vordidénak	nak	nek	3	6	-3	BNN
164	49	male	kákeg	kákegnak	nak	nek	1	7	-6	BN
164	49	male	hálmengég	hálmengégnak	nak	nek	1	7	-6	BNN
72	50	female	kándézek	kándézeknak	nak	nek	2	7	-5	BNN
290	51	female	azek	azeknak	nak	nek	1	7	-6	BN
241	52	female	tómiged	tómigednak	nak	nek	1	7	-6	BNN
49	52	male	fátir	fátirnak	nak	nek	3	7	-4	BN
49	52	male	gyokcet	gyokcetnak	nak	nek	2	7	-5	BN
250	53	male	szuptíg	szuptígnak	nak	nek	1	7	-6	BN
250	53	male	ukek	ukeknak	nak	nek	1	7	-6	BN
48	54	male	plokvé	plokvénak	nak	nek	4	7	-3	BN
143	55	female	fozdene	fozdenenak	nak	nek	2	5	-3	BNN
216	55	female	acárgek	acárgeknak	nak	nek	1	7	-6	BN
186	56	female	lájér	lájérnak	nak	nek	2	7	-5	BN
186	56	female	száttsiked	száttsikednak	nak	nek	1	7	-6	BNN
34	56	male	tátélfet	tátélfetnak	nak	nek	1	7	-6	BNN
188	57	female	badédzé	badédzénak	nak	nek	3	6	-3	BNN
188	57	female	mulelig	mulelignak	nak	nek	3	7	-4	BNN
292	57	female	ólormek	ólormeknak	nak	nek	1	7	-6	BN
144	58	female	brodilze	brodilzenak	nak	nek	5	7	-2	BNN
42	59	female	josmig	josmignak	nak	nek	1	7	-6	BN
42	59	female	káde	kádenak	nak	nek	1	7	-6	BN
53	59	female	hártelyzek	hártelyzeknak	nak	nek	2	7	-5	BNN
53	59	female	fle	flenek	nek	nak	7	2	5	N
104	59	female	ralét	ralétnak	nak	nek	2	6	-4	BN
104	59	female	arzútlek	arzútleknak	nak	nek	2	6	-4	BN
151	60	female	ókezge	ókezgenak	nak	nek	3	5	-2	BNN
206	61	female	modéli	modélinak	nak	nek	1	7	-6	BNN
156	70	male	aveg	avegnak	nak	nek	1	7	-6	BN
223	70	male	kazec	kazecnak	nak	nek	2	6	-4	BN
223	70	male	tokekték	tokektéknak	nak	nek	2	6	-4	BNN
